name,address,city,postal,state,phone,websites,owners,primary_email,contacts,other_emails
Florence Carpet & Tile,1706 Pamplico Hwy,Florence,29504,SC,(803) 669-1851,http://www.florencecarpetandtile.com/,Walt Parker,,"Walt Parker,Allison Parker,Walt Parker",Allison Parker
Sanders Floor Coverings,2908 University Ave,Morgantown,26505,WV,(304) 599-4500,N/A,rick sanders,sandersflo@aol.com,",rick sanders,",sandersflo@aol.com
The Carpetman,633 COUNTY ROAD 39A,SOUTHAMPTON,11968,NY,(631) 283-0885,http://www.thecarpetman.net/,Robert Gill,the.carpetman@verizon.net,",Kristyn Poole,",the.carpetman@verizon.net
Swanson Floor Coverings,4400 Maray Dr.,Rockford,61107,IL,(815) 226-0011,N/A,Bruce Swanson,SWNFLOR@AOL.COM,"Bruce Swanson,,Bruce Swanson",
Newport Floor Covering,3500 East Coast Hwy,Corona Del Mar,92625,CA,(949) 675-1636,http://www.newportfloorcoronadelmar.com/,Steve Terpstra,,"Steve Terpstra,,Steve Terpstra",
"Rug Masters, Inc",1001 Morrison Dr,Charleston,29403,SC,(843) 723-2155,www.rugmastersinc.com/,John Kammeyer,rugchs@birch.net,"John Kammeyer,Vickie Kammeyer,John Kammeyer",rugchs@birch.net
Murison`s Flooring America,3278 Almaden Expressway 150,San Jose,95118,CA,(408) 267-0220,www.murisonsflooringamerica.com,Ed Lacina,carpet@pacbell.net,"Ed Lacina,Ed Lacina,Ed Lacina",carpet@pacbell.net
"Roberts Floorcovering, Inc.",1570 E Colfax Ave,Denver,80218,CO,(303) 831-7080,www.robertsfloorcoverings.com,Pat Rounds,par547@aol.com,"Pat Rounds,Patti Rounds,Pat Rounds",par547@aol.com
ABC Carpet & Home,777 S Congress Ave,Delray Beach,33445,FL,(561) 279-7777,abchome.com,Bob Boushehri,BBoushehri@abchome.com,"Michael Tesser,Michael Tesser,Michael Tesser",dhook@abchome.com
DLW LLC,3217 N SHADELAND AVE,INDIANAPOLIS,46226,IN,(317) 545-2174,http://www.drexelin.com/,,aweisenburger@drexelin.com,",,",
Krauseneck Carpet One Floor & Home,166 S. Main Street,Mount Clemens,48043,MI,(586) 463-0585,http://www.carpetone.com/,Ric Chouinard,carpet@krauseneck1.com,"Ric Chouinard,Ric Chouinard,Ric Chouinard",
Robert's Carpet,681 Spring Street,Herndon,20170,VA,(703) 471-7120,http://www.robertscarpet.com/,Chuck Roberts,linda@robertscarpets.co,",,",
Scharm Carpets & Interiors,1843 E Oakton,Des Plaines,60018,IL,(847) 298-8233,www.scharm.com,Fred Scharm Jr.,fred@scharmfloorcovering.com,"Fred Scharm Jr.,Lisa Monoson,Fred Scharm Jr.",
Mitchell's Floor Coverings,532 Stevens Ave,Solana Beach,92075,CA,(858) 755-8880,www.getfloored.com,Mitch Chavira,mchavira@getfloored.com,"Mitch Chavira,Melissa Richardson,Mitch Chavira",mrichardson@getfloored.com
Culver Rug Company,708 Mall Blvd.,Savannah,31406,GA,(912) 354-6232,www.culverrug.com,Eddie Culver,,",Sue Rinehart,",
Ambassador Floor Company,17770 Chesterfield Airport Rd.,Chesterfield,63005,MO,(636) 728-1600,www.ambassadorfloor.com,Kelly Taylor,ktaylor@ambassadorfloor.com,"Jeff Schwalb,Mike Hart,Jeff Schwalb",mikehart@ambassadorfloor.com
Sutton Carpet Company,123 W McClure Ave,Peoria,61604,IL,(309) 682-7711,http://suttoncarpetcenter.com/index.html,Dan Sutton,dmsutton53@hotmail.com,"Emert Emert,Emert Emert,Emert Emert",emert@comcast.net
Kemper Carpet of Maryland,12145 Rockville Pike,Rockville,20852,MD,(301) 231-6300,www.kempercarpetmd.com,Amir Mashajekhi,mashayekhi.amir@comcast.net,"Amir Mashajekhi,Amir Mashajekhi,Amir Mashajekhi",mashayekhi.amir@comcast.net
Carpeteria-Semerjian,5610 Hollister,Goleta,93117,CA,(805) 964-3551,http://www.carpeteriasantabarbara.com,Avo Semerjian,CarpetileA@aol.com,"Avo Semerjian,,Avo Semerjian",
Normans Carpet,60 Greenfield Ave,Ardmore,19003,PA,(610) 260-0333,http://www.normancarpet.net/,Norman Chaiken,,",David Sulkin,Norman Chaiken",
TOTAL FLOOR COVERING INC,600 N WESTHILL BLVD,APPLETON,54914,WI,(920) 735-9799,www.totalfloorcovering.com,Shane Lathrop,shane@totalfloorcovering.com,"Shane Lathrop,Shane Lathrop,Shane Lathrop",Shane Lathrop
Flooring America of Bradenton,3200 Cortez Rd West,Bradenton,34207,FL,(941) 756-1213,http://www.flooringamericaofbradenton.com/,Randy & Debbi Clark,,",Raymond,",Raymond
"Commercial Flooring, Inc.",3418 E Pershing Blvd,Cheyenne,82001,WY,(307) 632-6449,http://www.carpet1cheyenne.com/,DOUG FINCH,dwfinch@juno.com,"Valerie FINCH,VALERIE FINCH,Valerie FINCH",vjfinch@juno.com
Carpetland,274 Rickenbacker Circle,Livermore,94551,CA,(925) 455-7200,N/A,Sam Hassan & Judy Lund,carpetlandflooring@sbcglobal.net,"Sam Hassan or Judy Lund,Sam Hassan & Judy Lund,Sam Hassan or Judy Lund",carpetlandflooring@sbcglobal.net
Jamie's Carpet Shop,308 East Perkins Ave,Sandusky,44870,OH,(419) 624-9998,www.jamiescarpetshop.com,Chris Zeitler,jamiescarpetshop@gmail.com,"Jeff Gregory,Jeff Gregory,Jeff Gregory",jamiescarpetshop@gmail.com
Franey Carpet One,121 N Encina Ave.,Visalia,93291,CA,(559) 733-9990,http://www.franeysdesigncenter.com/,Mark Franey,mjfraney@att.net,"Mark Franey,Dean Harrington,",Dean Harrington
National Floor Covering,117 Old York Rd,Jenkintown,19046,PA,(215) 884-1212,http://www.nationalfloorcovering.net,Al Einhaber,al.e@cavtel.net,",Mike Cosgrove,",carpetman1@comcast.net
Migala Carpet One Floor & Home,1440 West Columbia Ave.,Battle Creek,49015,MI,(269) 965-0516,migalacarpetone.com,Lori Ruimveld,lori@migalac1.com,"Joe Sikkema,Joe Sikkema,Joe Sikkema",joe@migalac1.com
Floor Decor,456 Sunrise Highway,Rockville Centre,11570,NY,(516) 764-4466,www.carpetone.com/floordecor,Glen Altarac,,"Glen Altarac,Anthony Safonte,",Anthony Safonte
The Balentine Collection,533 E Hopkins Ave,Aspen,81611,CO,(970) 925-4440,balentinecarpets.com,Bridget Balentine,bbalentine@balentinecollection.com,"Bridget Balentine,Bridget Balentine,Bridget Balentine",bbalentine@balentinecollection.com
"Rod`s Carpet , Tile & Wood",99 West Granada,Ormond Beach,32174,FL,(386) 677-8721,RodsCarpet.com,Rodney Gammon,,"Eileen,,Sheila Gammon",Sheila Gammon
Carpets by Phillip`s,4001 Avenida De La Plata,Oceanside,92056,CA,(760) 757-5033,www.phillipsabbeycarpet.com,Chuck Ward,chuckw@phillipsabbeycarpet.com,"Chuck Ward,Debbie Gillia,Chuck Ward",Debbie Gillia
J&M Paint & Wallcovering Inc,1615 Buffalo Jones Ave,Garden City,67846,KS,(316) 276-3811,http://gardencity.abbeycarpet.com/,Jim,jandmpaint@odsgc.net,",Jim,",jandmpaint@gmail.com
Russell S Lee Flooring America,915 31st Ave,Tuscaloosa,35401,AL,(205) 345-1735,http://www.rslee.com,Russell S. Lee,,"Wanda Young,Wanda Young,Wanda Young",wyoung@rslee.com
Rite Loom Carpet Co,1295 N Kraemer Blvd,Anaheim,92806,CA,(714) 764-1122,www.RiteLoom.com,George Lowe,GloweJr@Aol.com,"George Lowe,Karyn Hadley,",Karyn@riteloom.com
Classic Carpets & Interiors,802 South 8th Street,Fernandina Beach,32034,FL,(904) 261-0242,http://classiccarpetsameliaisland.com/,Buddy Kellum,classic802@rocketmail.com,"Eric,,Eric",
World of Floors,46511 Van Dyke,Shelby Township,48317,MI,(586) 254-2000,http://www.worldoffloors.com/,Larry Bondra,lbondra@worldoffloors.com,"Larry Bondra,Larry Bondra,Larry Bondra",
Harry`s Carpet One,676 Hancock St,Quincy,2170,MA,(617) 328-4002,www.harryscarpetonequincy.com,Harry Balekjian,harry@harryscarpetone.com,"Harry Balekjian,Brian Lowe,Harry Balekjian",brian@harryscarpetone.com
Carillon Carpet & Rugs LLC,29450 US Hwy 19 N,Clearwater,33761,FL,(727) 771-0905,http://www.carillonrugs.com/,Tyler Rice,tylerr@carillonrugs.,",Kathie Rice,",Kathie Rice
Anderson Furniture,232 3rd Street,Huron,57350,SD,(605) 352-4115,N/A,Bill Anderson,furn4115@yahoo.com,"Bill Anderson,Bill Anderson,Bill Anderson",urn4115@yahoo.com
Tim`s Carpets,425 Pine ST. N.E.,Salem,97303,OR,(503) 371-7556,http://www.timscarpet.com/,Tim Youngkin,Tim@timscarpet.com,"Tim Youngkin,Angela Youngkin,Tim Youngkin",angela@timscarpet.com
Carroll's Carpet,726 E.Main Street,Lebanon,45036,OH,(513) 932-5898,www.carrollscarpets.com,Tracey Stacey,,"Tracey Stacey,,Tracey Stacey",
Floor To Ceiling Store,224 St. Andrews Dr.,Mankato,56001,MN,(507) 625-3472,http://www.floortoceiling.com/,Dave Munson,dmunson@mankato.floortoceiling.com,",Dave Munson,",dmunson@mankato.floortoceiling.com
Seldens Home Furnishings,1802 62nd. Ave. E.,Tacoma,98424,WA,(253) 922-5700,www.seldens.com,,,"Jake Cross,,Jake Cross",
Manas Torcom /Touch of Beauty,616 Bussy Hwy,Park Ridge,60068,IL,(847) 825-1116,N/A,Jim and Debbie,tobcarpet@yahoo.com,"Jeff Naataz,Jeff Naatz,Jeff Naataz",
CarpetBagger,800 Marshall Ave # 30,Williston,5495,VT,(888) 600-7915,http://www.flooringamerica-vt.com/,,,",,",
Zersen Flooring,412 S. 8th Street,Monroe,53566,WI,(608) 325-5044,http://www.zersenflooring.com/,Brad Zersen,,"Ben,,Ben",
Benjamin's Carpet One,527 East Main Street,Walla Walla,99362,WA,(509) 946-4506,http://www.benjaminscarpetonerichland.com/,Madie Thornhill,benjaminscarpet1@yahoo.com,"Madie,,Madie",
Mayfair Carpet,661 S Main Street,Crystal Lake,60014,IL,(815) 455-4070,www.mayfairfurnitureandcarpet.com,Pat Murphy,,"Patrick or Keith Murphy,Patrick Murphy,Patrick or Keith Murphy",pkmurphy71@yahoo.com
Exeter Decorating Center Inc,164 Epping Rd,Exeter,3833,NH,(603) 778-7540,www.exeterdecorating.com,Ralph Dutton,decorate@exeterdecorating.com,"Ralph Dutton,Troy Dutton,Ralph Dutton",decorate@exeterdecorating.com
California Design Inc,12800 US Hwy 1,Juno Beach,33408,FL,(561) 625-5250,www.californiadesigns.com,Ernie Rushing,califdesigns@aol.com,"Ernie Rushing,,Ernie Rushing",
Floors To Go Outlet,1762 Rogers Circle,Campbell,95008,CA,(408) 378-7700,N/A,Mike Rorie,floorstogo116@aol.com,"Mike Rorie,Mike Rorie,Mike Rorie",Mike Rorie
Jones Flooring America,3500 N Palofox St,Pensacola,32505,FL,(850) 438-4409,www.jfc-inc.com,Steve Faircloth,,"Kevin Pulford,Steve Faircloth,",Steve Faircloth
Carpets of Cape Cod,130 Route 6A,Orleans,2563,MA,(508) 775-4266,carpetsofcapecod.com,Mike Cote,cotebros.mc@comcast.net,",,Mike Cote",
America's Carpet,1518 N Atherton,State College,16803,PA,(814) 238-2103,http://www.americascarpetoutletinc.com,george mcmurtrey,george@americascarpetoutletinc.com,"george mcmurtrey,george mcmurtrey,george mcmurtrey",george mcmurtrey
Traynor`s Floors & Carpet,467 Baltimore Blvd,Westminister,21157,MD,(410) 876-1919,www.traynorsfloors.com,Ed Traynor,janell_traynorsfloors@hotmail.com,",Ed Traynor,",janell_traynorsfloors@hotmail.com
Luna Flooring Gallery,750 S. Rand Rd,Lake Zurich,60047,IL,(847) 540-8900,www.luna.com,Rob Bush,lunaflooring@sbcglobal.net,"Rob Bush,Mike Ishkanian,Rob Bush",
Sharp Carpet & Ceramic Tile Inc,2617 Hwy 77,Panama City,32405,FL,(850) 769-8505,http://panamacity.abbeycarpet.com/Default.aspx,Herb Sharp,sharpcarpet@comcast.net,"Ike Rhodes,Ike Rhodes,Gary Whiting",Ike Rhodes
Bailey's Carpet One Floor and Home,692 Theodore St,Joliet,60435,IL,(815) 727-7777,www.baileyscarpetonejoliet.com,Lee Bailey,lee@baileycarpetonefloorandhome.com,"Randal Bailey,Randal Bailey,",randal@baileycarpetonefloorandhome.com
Creative Floors,830 S.R. 436,Casselberry,32707,FL,(407) 265-9566,http://creativefloorsonline.com/,Bob Campbell,,"Bob Campbell,,",
Cartozian Fine Flooring,3320 South G St,Tacoma,98408,WA,(253) 474-8433,http://www.cartozian.com/,Rachel McLain,rachel@cartozian.com,"Rachel McLain,,Rachel McLain",
Bridgeport Carpets,11605 Jonesbridge Rd,Alpharetta,30022,GA,(770) 751-0702,http://bridgeportcarpets.com/,Matt Francoletti,,"Matt Francoletti,,Matt Francoletti",
Carpet Palace of Bethesda,7351 Wisconsin Avenue,Bethesda,20814,MD,(301) 718-0020,www.carpetpalacebethesda.com,,carpetpalace@yahoo.com,"Amir Bamdad,,",
PARKER FURNITURE,10375 SW BEAVERTON HWY,BEAVERTON,97008,OR,(503) 644-0155,www.parkerfurniture.com,Craig Parker,craig@parker-furniture.com,"Bruce Gibson,Bruce Gibson,Bruce Gibson",bruce@parker-furniture.com
Magic Carpet & Drapery,511 19th st,Sioux City,51105,IA,(712) 277-2565,http://www.magiccarpetanddrapery.com/,Greg Engel,carpet3333@aol.com,"Greg Engel,Greg Engel,Greg Engel",carpet3333@aol.com
Carpet World Carpet One,390 New Circle Rd NE,Lexington,40505,KY,(859) 253-0004,http://www.carpetworldcarpetonelexington.com/carpetone-about-us,Gordon Patterson,,",Carrie Patterson,",Carrie Patterson
Churchills,127 Grove St,Montclair,7042,NJ,(973) 746-6820,churchillrugs.com,Mark Friedman,mark@churchillrugs.com,"Mark Friedman,,",
Dalton Flooring Inc.,15986 Middlebelt Rd.,Livonia,48154,MI,(734) 522-5100,http://www.daltonflooringcenter.com/,Sam Salloum,,"Sam Salloum,Akram Ismail,",
Abbey Carpet and Floor Gallery,8590 Phillips Hwy,Jacksonville,32256,FL,(904) 739-7300,http://southjacksonville.abbeycarpetandfloor.com/,Davis Bradshaw,david@abbeyfloors.cc,"David Bradshaw,Marsha Bradshaw,David Bradshaw",david@abbeyfloors.cc
Higgins & Spencer,902 Talbot Street,St Michaels,21663,MD,(410) 745-5192,www.higginsandspencer.com,,,"Jim Plack,,",
Armstrong Carpets,369 West Portal Ave,San Francisco,94127,CA,(415) 751-2827,Armstrongcarpet.com,Steve Balestrieri,Floors@Armstrongcarpets.com,"Steve Balestrieri,,",
Flooring Distributors,1350 S. State College Blvd,Anaheim,92806,CA,(714) 687-1166,http://www.flooringdistributorsca.com/,Jim Winn,,"Jim Winn,,",
Lewis & Lewis Carpets,2615 N. Main St,Walnut Creek,94547,CA,(925) 939-2145,www.lewisandlewiscarpets.com,Mike Wenrich,,"Mike Wenrich,Mike Wenrich,Mike Wenrich",Mike Wenrich
Paramount Rug Co,71 Manley St,Brockton,2301,MA,(508) 583-5022,www.paramountrug.com,Greg Kashigian,greg@paramountrug.co,"Greg Kashigian,,",
Carpet Giant,139 Croton Ave,Ossining,10562,NY,(914) 941-2091,http://ossining.abbeycarpetandfloor.com/,Robert Rosbi,rrossicg@yahoo.com,"Robert Rosbi,,Bob Rossi",
Centex Carpet & Interiors,3716 Franklin Ave,Waco,76710,TX,(254) 753-7021,http://www.centexcarpet.com/,John Schwartz,john@centexmfg.com,"John Schwartz,John Schwartz,John Swartz",john@centexmfg.com
Shaw's Carpet,4367 Dale Blvd,Dale City,22193,VA,(703) 680-4021,http://www.shawfloors.com/,Joyce Shaw,shawdalecity@aol.com,"Todd Nash,Todd Nash,Todd Nash",shawdalecity@aol.com
JOE`S FLOOR STORE,145 N MAIN ST,BRANFORD,6405,CT,(203) 483-5667,www.joesfloorstore.com/,Joseph Pagliaro,joesfloorstore@gmail.com,"Joseph Pagliaro,N/A,Joseph Pagliaro",N/A
"John Moore Floorcovering, Inc",1629 Sun City Center Plaza,Sun City Center,33573,FL,(813) 633-7116,www.johnmoorefloorcovering.com,John Moore,,",Jacob Moore,",
Maguire's 5th Avenue Floors,2521 5th Avenue NW,Calgary,T2N0T4,AB,(403) 270-2205,http://www.maguiresflooring.com,Greg Maguire,,",Sheron Maguire,",Sean@maguires.ab.ca
Clemons Carpet Mill Direct,1018 E. Overland,Scottsbluff,69361,NE,(308) 632-2234,http://retailflooringstores.com/clemenscarpet/,Jerry Clemens,clemco@charter.net,"Jerry Clemens,Jerry Clemens,Jerry Clemons",clemco@charter.net
Friendly Floors,3815 Tamiami Trail,Port Chalotte,33952,FL,(941) 624-0077,http://www.friendlyfloors.com/,Marjorie Benson,,",Gary,",
Airam Carpet,284 Main St,West Orange,7052,NJ,(973) 325-3086,,richie barone,none,"Richie Barone,self,",
McQueen`s Carpets & Rugs Inc.,746 East Maple Road,Birmingham,48009,MI,(248) 647-5250,www.mcqueenscarpet.com,Greg McQueen,greg@mcqueenscarpet.com,"Greg McQueen,Greg McQueen,Greg McQueen",
Carpet Country,13268 Poway Rd,Poway,92064,CA,(858) 748-2997,http://www.carpetcountryflooring.com/,Nazem,Nazem@carpetcountryflooring.com,"Nazem,Scott,Nazem",Scott@carpetcountryflooring.com
Sutton's Western Wholesale,823 S Main,Salt Lake City,84111,UT,(801) 363-4563,N/A,Barry Sutton,,"Jim Florence,Jim Florence,Jim Florence",suttonscptone@hotmail.com
Terpstra's Floor Center,402 W Madison St,Ottawa,61350,IL,(815) 434-9800,terpstrasfloorcenter.com,Larry and Donna Terpstra,terpstrasfloorcenter.com,"Donna Terpstra,,Donna Terpstra",
Courtesy Carpet,921 White Plains Rd,Trumbull,6611,CT,(203) 261-2597,http://www.courtesycarpet.com/,Lester Cohen,,"Ellen Reilly,Ellen Reilly,Ellen",Ellen Reilly
Schillings Carpet,2728 West 8th St,Erie,16505,PA,(814) 835-6686,http://www.schillingscarpetoneerie.com/,,,"jeff weyand,,jeff weyand",
Inside Lines,506 Water St,Eau Claire,54703,WI,(715) 834-4230,http://www.insidelinesdesign.com/,,,"Robin,,Robin",
Fred Callaghan Carpet & Flooring,500 W lincoln Highway,Fraizer,19335,PA,(610) 647-5566,www.fredcallaghanflooring.com,Skip Callaghan,,"Skip Callaghan,Leo Woehlcke,Leo Woehlcke",leopaddy@yahoo.com
Floortex of Marin,5768 Paradise Dr,Corte Madera,94925,CA,(415) 924-6545,http://www.floortexdesign.com/,Rudy Hassid,Rudyhassid@yahoo.com,"Rudy Hassid,Rubin Kembikian,Rudy Hassid",
Poiema Flooring America,206 West Center Street,Kalispell,59901,MT,(406) 752-4995,www.flooringamericapoiema.com,Greg Scarff,,"Greg Scarff,Greg Scarff,",gscarff@montanasky.net
Floor Fashions,"990 S. Rogers Circle, suite #1",Boca Raton,33487,FL,(561) 997-2101,www.floridafloorfashions.com,Bob Dyer,floorfashionsboca@aol.com,"Bob Dyer,,Bob Dyer",
Sedlak Interiors,34300 Solon Rd.,Solon,44139,OH,(440) 248-2424,www.sedlakinteriors.com,J.P. Sedlak,,"June Sedlak Mooney,,June Sedlak Mooney",
"Sutton's Rugs & Carpet, Inc.",3520 South College Road,Wilmington,28412,NC,(910) 794-8100,www.suttonrugs.com,Hobbs Sutton,hobbs888@aol.com,"Hobbs Sutton,,Hobbs Sutton",
T.F. Andrew Co,607 Main Street,New Rochelle,10801,NY,(914) 654-8000,http://www.tfandrewfurniturestore.com/,Tom Fahey,tom@tfandrew.com,"Peter,Peter del Monaco,",
Schneider's Flooring America,400-3 Talcottville Rd. Route 83,Vernon,6066,CT,(860) 870-0055,www.flooringamerica.com,Maxine and Wayne Schneider,sfavernonct.com,"Maxine Schneider,Joe Virga,Maxine Schneider",Joe Virga
Meelan Carpet One,5126 Commercial Dr,Yorkville,13495,NY,(315) 736-7723,,Joe Meelan,,"Kyra Meelan,Kyra Meelan,kyra meelan",kyra meelan
Carpet Club,518 W Washington Ave,Escondido,92025,CA,(760) 740-9545,www.carpetclub.com,Denis Royer,,"Michael Kenny,,",
Stinson Carpet One Floor and Home,2188 Semoran Blvd,Apopka,32703,FL,(407) 889-4128,http://www.stinsoncarpetoneapopka.com/,Mark Stinson,marks@stinsonc1.com,"Mark Stinson,,Mark Stinson",
Haight Carpet & Interiors,12910 NE 178th St.,Woodinville,98072,WA,(425) 485-1354,www.haightcarpet.com,Mark Haight,,"Mark Haight,,Mark Haight",
Carpet Warehouse of Rutland,164 US Route 4 East,Rutland,5701,VT,(802) 747-3314,http://carpetwarehousevt.com,Tom Cohen,tcohen@sover.net,",Tom Cohen,",
Young's Floor Covering,460 S. E. Catawba Rd.,Port Clinton,43452,OH,(419) 734-2117,www.carpetone.com,Pete Spieldenner,youngs@cros.net,"Lisa Johnson,Lisa Johnson,Lisa Johnson",youngs@cros.net
Carlson's Floors,728 W State St,Geneva,60134,IL,(630) 232-4964,www.carlsonsfloors.com,Lisa Nelson,lnelson@carlsonsfloors.com,"Lisa Nelson,Lisa Nelson,Lisa Nelson",
Willis Wayside Furniture,4220 Virginia Beach Blvd,Virginia Beach,23450,VA,(757) 340-2112,www.willisfurniture.com/,Ben Willis,ben@willisfurniture.com,"Kappy Kaplan,Kappy Kaplan,Kappy Kaplan",Kappy Kaplan
Barnes Drapery & Floor Covering,2008 N Orange Ave,Orlando,32804,FL,(407) 898-5381,barnesdraperyandfloors.com,Bob / Bill Barnes,,"Bob / Bill Barnes,,Bob / Bill Barnes",
Fenway Floor Covering,346 North Ave,New Rochelle,10801,NY,(914) 235-0400,N/A,Gary Klotzko,garyfenway@aol.com,",Gary Klotzko,",
Colonial Brandywine Rug Co,2107 Concord Pike,Wilmington,19803,DE,(302) 654-1121,N/A,Norma Mcgee,,"Norma McGee,Noma McGee,Norma McGee",colbrarug@verizon.net
Anderson Carpet & Home,686 Guelph Line,Burlington,L7R3M8,ON,(905) 639-0666,www.andersoncarpetandhome.com,jim anderson,janderson@skylinc.net,"Kellie Kenney,,Kellie Kenney",
The Carpet Barn,227 Muse Business Parkway,Waynesville,28786,NC,(828) 456-7422,www.carpetbarncarolina.com,Joe Schneider,cbarnschneider@yahoo.com,"Karen Schneider,Joe Schneider,",cbarnschneider@yahoo.com
Vallow Floor Covering Inc,1009 Plummer Dr,Edwardsville,62025,IL,(618) 656-7788,www.vallowfloor.com,Rich Vallow,,"Seth Renkin,Mark Vallow,Seth Renkin",
Griffis Tile Company Inc,4901 E Silver Springs Blvd,Ocala,34470,FL,(352) 438-0060,www.griffistileandflooring.com,Doug Griffis,griff2001@earthlink.,"Doug Griffis,Debbie,Doug Griffis",griff2001@earthlink.net
HOME BEAUTIFUL INC,141 DANIEL WEBSTER HWY,BELMONT,3220,NH,(603) 524-5588,www.home-beautiful.com,Bruce Hamel,bruce@home-beautiful.com,"Brian Hamel,Skip Dubois,",skip@home-beautiful.com
Doug`s Carpet House,4901 Jefferson Davis Hwy,Fredricksburg,22408,VA,(540) 898-0003,http://www.carpethouseva.com/,Doug Simms,,"Brad Lamie,,Brad Lamie",
Carpet Depot,4485 Broadway,Eureka,95503,CA,(707) 442-3470,Thecarpetdepot.com,Debbie Mealhouse,Debbie@Thecarpetdepot.com,"Debbie Mealhouse,Debbie Mealhouse,Debbie Mealhouse",Debbie@Thecarpetdepot.com
BUDGET INTERIORS,355 HALL STREET,BRIDGEPORT,43912,OH,(740) 635-1144,www.budgetinteriors.com,Randy Dlesk,,"Randy Dlesk,Jennifer,Randy Dlesk",jennifer@budgetinteriors.com
Bradford Carpet One,880 Broadway,Saugus,1906,MA,(781) 231-2955,www.bradfordcarpet.com,Robert Mastrocola,rm@bradfordcarpet.com,"Bob Mastrocola,Dave Stevens,Bob Mastrocola",dave@bradfordcarpet.com
Modern Flooring,3619 S Carrollton Ave,New Orleans,70118,LA,(504) 488-1364,www.modernflooring.net/,Mark Levy,,"Keith Delaune,KEITH DELAUNE,Keith Dalune",KEITH DELAUNE
Craft Rug Mills,901 Line St,Easton,18042,PA,(610) 258-3947,www.craftrugmills.biz,Marvin Deemer,crm9858@aol.com,"Marvin Deemer,Marvin Deemer,",marvin.deemer@craftrugmills.biz
Flooring and More,2600 Morse Street,Janesville,53545,WI,(608) 757-1151,http://www.flooringandmoreinc.com/,Sandra Molski,smolski@flooringandmoreinc.com,"Sandi Molski,,Sandi Molski",
Alpine Carpet One,3961 Sepulveda Blvd.,Los Angeles,90230,CA,(310) 390-7639,http://www.alpinecarpetonela.com/,,johannes@alpinecarpetone.com,"Johnannes Van Ireland,,",
Tyson Furniture Co Inc,109 Broadway,Black Mountain,28711,NC,(704) 669-5000,http://www.tysonfurniture.com/,Joe Tyson,joetyson@tysonfurniture.com,",Tommy Logan,",tommylogan@tysonfurniture.com
Builder`s Floor Service,411 N 14th St,Leesburg,34748,FL,(352) 787-7909,www.floorsofdistinction.net,Steve / Patti Singer,buildersfloor@earthlink.net,"Patti Singer,,",
Paradise Carpet One Floor & Home,2108 West 27th St.. Suite E,Lawrence,66047,KS,(785) 856-8011,http://www.paradisefloors.com/,,,"Jeff Wyatt,,Jeff Wyatt",
C G Coe & Son,4905 Del Ray Ave,Bethesda,20814,MD,(301) 986-5800,www.coeandson.com,Chuck Coe,,"Matt,Chuck,Matt",Chuck
American Flooring,463646 Stae Rd. 200,Yulee,32097,FL,(904) 548-9906,www.americanflooring.info,Jeff Jones,mohawkcolorcenter@gmail.com,"Jeff Jones,,Jeff Jones",
The Rug Gallery of Zionsville,130 S Main St,Zionsville,46077,IN,(317) 873-6139,www.zionsvilleruggallery.com,MarkHilton,mark@zionsvilleruggallery.com,",Mark Hilton,",mark@zionsvilleruggallery.com
Thad's Carpet One,5110 Atlantic Ave,Raleigh,27616,NC,(919) 873-1115,thadscarpetone.com,T. J. Lewis III,,"Greg Johnson,Buddy Parrish,Greg Johnson",Buddy Parrish
Early's Carpet Inc,14574 Lee Highway,Amissville,20106,VA,(540) 937-5500,www.earlyscarpetinc.com,Lorraine Early,,"Sonja,,Sonja",
Petersen's Carpet & Flooring,1060 W. Patrick Street,Frederick,21703,MD,(301) 698-4789,www.petersenscarpetandflooring.com,Dave Petersen,,"Gayle Petersen,Gayle Petersen,Gayle Petersen",gpetersen@petersenscarpetandflooring.com
Anderson's Carpet One,19871 Coastal Highway,Rehoboth Beach,19971,DE,(302) 227-3244,www.andersoncarpetone.com,Steve Anderson,andersoncarpetone@comcast.net,"John Fleming,John Fleming,John Fleming",andersoncarpetone@comcast.net
J M Carpets,107 S Main St,Fort Atkinson,53538,WI,(920) 563-0820,http://www.jmcarpets.net/,Jerry Mooren,,"Jerry Mooren,,Jerry Mooren",
NASHUA PAINT & WALLPAPER CO,129 W PEARL ST,NASHUA,3060,VT,(603) 889-6200,www.universaldecor.com/,George Katis,,"Denis Depelteau,Denis Depelteau,Denis Depelteau",
Landers Premier Flooring,2601 McHale Ct,Austin,78758,TX,(512) 873-9470,www.landerspremierflooring.com,John Landers,landerspremier@austin.rr.com,"John Landers,,John Landers",
Carpet One Mentor,7625 Mentor Ave.,Mentor,44060,Ohio,(440) 975-0097,http://www.carpetonementor.com/,Larry Rakes,rakes731@yahoo.com,"Larry Rakes,Stacey Rakes,Larry Rakes",staceyr6@yahoo.com
David Morris Co,1378 Sutter St,San Francisco,94109,CA,(415) 346-8333,N/A,David Morris,none,",,",
Executive Floors Inc.,11400 Robertson Dr.,Manassas,20109,VA,(703) 530-8535,www.executivefloors.com,Paul Eskew,,",Jack Robinson,",Jack Robinson
Fitz Flooring,3817 Bow Trail SW,Calgary,T3C 2G6,AB,(403) 686-3370,www.fitzflooring.com,,,",,",
Jill's Carpets,315 E Main St,Aspen,81611,CO,(970) 925-7128,http://www.jillscarpets.com/,Jill Westerlind,ole@jillscarpets.com,"Jill Westerlind,Ole,Jill Westerlind",ole@jillscarpets.com
