Soft Region,Hard Region,name,ADDRESS LINE #1,ADDRESS LINE #2,ADDRESS LINE #3,city,state,ZIP CODE,website,phone
208 - MID CENTRAL,506 - HS NORTHEAST,SMITTY'S CPT CONNECTION INC,2700 SUNSET BLVD,,,STEUBENVILLE,OH,43952,,(740) 283-3199
201 - SOUTHEAST,501 - HS SOUTHEAST,BUDGET CARPET OUTLET INC,684 MAIN ST SW,,,GAINESVILLE,GA,30501,,(770) 287-8463
208 - MID CENTRAL,506 - HS NORTHEAST,FCB INC,DBA/FLOOR COVERING BROKERS,1794 BARLOW,,TRAVERSE CITY,MI,49686,,(231) 946-3661
206 - NORTHEAST,506 - HS NORTHEAST,TRISTATE CABINET DISTR INC,D/B/A TRISTATE INTERIORS,2925 WESTCHESTER AVE,,BRONX,NY,10461,,(718) 823-3400
201 - SOUTHEAST,501 - HS SOUTHEAST,"AMERICAN CATALOG CARPETS, INC",1050 W I65 SERVICES RD S,,,MOBILE,AL,36609,,(850) 484-8888
207 - SOUTH CENTRAL,505 - HS SOUTH WEST COAST,THE BURRELL CO LLC,DBA FLOORSCAPES,8515 PASEO ALAMEDA NE,,ALBUQUERQUE,NM,87113,,(505) 857-0438
208 - MID CENTRAL,506 - HS NORTHEAST,WILLOWBROOK INTERIORS,JANCCO INC,483 N WILLOWBROOK RD,,COLDWATER,MI,49036,,(517) 278-9889
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,DONLEN INC,CARPET FOR LESS,13520 TESSON FERRY RD,,SAINT LOUIS,MO,63128,,(314) 849-4420
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,MICHAEL S. BALIAN INC.,67555 E PALM CYN DR STE C113,,,CATHEDRAL CITY,CA,92234,,(760) 324-9797
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,COMMERCIAL FLOORING & MINI,BLINDS OF BATON ROUGE,11840 AIRLINE HWY,,BATON ROUGE,LA,70817,,(225) 293-2225
201 - SOUTHEAST,501 - HS SOUTHEAST,AMERICAN CARPET SALES OF,GULFSHORES,3845 GULF SHORES PKWY,,GULF SHORES,AL,36542,,(251) 967-1700
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,NORTH ACADEMY INTERIORS,3975 N ACADEMY BLVD,,,COLORADO SPRINGS,CO,80917,,(719) 637-9090
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,THE FLOOR STORE INC,THE FLOOR STORE,725 E BASELINE RD,,GILBERT,AZ,85233,,(480) 833-4455
201 - SOUTHEAST,501 - HS SOUTHEAST,MARQUIS FLOORS INC,4694 HIGHWAY 78,,,LILBURN,GA,30047,,(770) 972-1291
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,MARSH'S CARPET,9800A BUSINESS PARK DR,,,SACRAMENTO,CA,95827,,(916) 366-9387
208 - MID CENTRAL,506 - HS NORTHEAST,WILLIAMS CARPET INC,1575 HASLETT ROAD,PO BOX 622,,HASLETT,MI,48840,,(517) 339-4385
208 - MID CENTRAL,506 - HS NORTHEAST,CORVINS GENERAL STORE INC,CORVIN FURNITURE & CARPET,6727 N DIXIE HWY,,ELIZABETHTOWN,KY,42701,,(270) 737-5798
201 - SOUTHEAST,501 - HS SOUTHEAST,NORTH GEORGIA FLRS & INTERIORS,470 MONROE STREET,PO BOX 1826,,CLARKESVILLE,GA,30523,,(706) 754-4329
212 - CENTRAL CANADA,212 - CENTRAL CANADA,FLOORSOURCE INC,BOX 190 LAMBETH STATION,,ONTARIO,LONDON,CN,N6P 1P9,,(519) 652-0140
206 - NORTHEAST,506 - HS NORTHEAST,CARPET WAREHOUSE INC,WOOD STOCK AVE,164 US ROUTE 4 E,,RUTLAND,VT,5701,,(802) 747-3314
208 - MID CENTRAL,506 - HS NORTHEAST,HICKERSON FLOOR & TILE HAUS,2234 W M 32,,,GAYLORD,MI,49735,,(989) 731-2003
201 - SOUTHEAST,501 - HS SOUTHEAST,T R FLOORING INC,1328 BUFORD HWY,,,BUFORD,GA,30518,,(770) 945-4097
201 - SOUTHEAST,501 - HS SOUTHEAST,ALBRIGHT FLOORCOVERING CO INC,BILL ALBRIGHT,220 ATHENS HWY STE 500,,LOGANVILLE,GA,30052,,(770) 466-1005
209 - MID-ATLANTIC,506 - HS NORTHEAST,KAKAR LLC,T/A FIRST AMERICAN CARPET,13999 NOBLEWOOD PLZ,,WOODBRIDGE,VA,22193,,(703) 690-6900
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,A C & FLOOR DECOR INC.,ACTION CARPET & FLOOR DECOR,4095 D OCEANSIDE BLVD,,OCEANSIDE,CA,92056,,(760) 726-9777
212 - CENTRAL CANADA,212 - CENTRAL CANADA,RITCHIES CARPET WAREHOUSE,19 PLAZA BLVD,,NEW BRUNSWICK,MONCTON,CN,E1C OE8,,(506) 857-0400
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,FOREVER FLOORS INC,5407 GREEN BAY RD,,,KENOSHA,WI,53144,,(262) 654-6311
206 - NORTHEAST,506 - HS NORTHEAST,UNITED BUILDERS SUPPLY CO INC,10 OAK ST,,,WESTERLY,RI,2891,,(401) 596-2831
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,TEMPLETON FLOOR CO,734 S MAIN ST,PO BOX 277,,TEMPLETON,CA,93465,,(805) 434-2848
201 - SOUTHEAST,501 - HS SOUTHEAST,HOME CHOICE FLOORING LLC,DB HOME CHOICE WINDOWS,8719 KINGSTON PIKE,,KNOXVILLE,TN,37923,,(865) 357-7007
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,FLOORING CENTER THE,S4066 HIGHWAY 12,,,BARABOO,WI,53913,,(608) 356-3206
201 - SOUTHEAST,501 - HS SOUTHEAST,CAVENDER'S LLC,DBA: THE INTERIOR COMPANY,1641 E SPRING ST,,COOKEVILLE,TN,38506,,(931) 372-2112
209 - MID-ATLANTIC,506 - HS NORTHEAST,TUFT-TEX CARPET INC,1325 N RIVER ST STE 2,,,PLAINS,PA,18702-1899,,(570) 823-1201
208 - MID CENTRAL,506 - HS NORTHEAST,PONTRICH FLOOR COVERING,PONTRICH THOMAS E,522 HENRY CLAY STREET,,SHELBYVILLE,KY,40065,,(502) 633-3083
209 - MID-ATLANTIC,506 - HS NORTHEAST,NATIONAL CPT WHOLESALE,2431 CROFTON BLVD.,SUITE  #5,,CROFTON,MD,21114,,(410) 451-6100
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,ROBSON COMMUNITIES INC,DBA FLOORING GALLERY & MORE,9666 E RIGGS RD STE 116,,SUN LAKES,AZ,85248,,(480) 895-4241
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,COMFORT CARPETS INC,3120 N HOME ST,,,MISHAWAKA,IN,46545,,(574) 255-9034
209 - MID-ATLANTIC,506 - HS NORTHEAST,MATTRESS & CARPET EXPRESS,8196 TERMINAL RD.,,,LORTON,VA,22079,,(703) 550-1933
201 - SOUTHEAST,501 - HS SOUTHEAST,CHEROKEE FLOOR COV INC,PO BOX 184,HWY 5 & PALM RD,,LEBANON,GA,30146,,(770) 926-7500
208 - MID CENTRAL,506 - HS NORTHEAST,CORVINS FURNITURE & CARPET LLC,3465 E JOHN ROWAN BLVD,,,BARDSTOWN,KY,40004,,(502) 348-7474
201 - SOUTHEAST,501 - HS SOUTHEAST,CARPET CONCEPTS LLC,386 W MAIN ST STE 101,,,HENDERSONVILLE,TN,37075,,(615) 826-4496
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,TRADITIONAL FLOORS *FS,1800 HWY 23 NORTH EAST,,,SAINT CLOUD,MN,56304,,(320) 251-5200
206 - NORTHEAST,506 - HS NORTHEAST,WHOLESALE FLOORING,10 LAFAYETTE RD,,,NORTH HAMPTON,NH,3862,,(603) 964-8023
208 - MID CENTRAL,506 - HS NORTHEAST,SON-SHINE FLOOR COVERING LTD,31065 RYAN RD,,,WARREN,MI,48092,,(586) 795-8020
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,"ZERSEN FLOORING, INC.",412 8TH ST,,,MONROE,WI,53566,,(608) 325-5044
209 - MID-ATLANTIC,506 - HS NORTHEAST,EADEH HANNAH RUG,WELSH & N WALES,1196 WELSH RD,,NORTH WALES,PA,19454,,(215) 362-6800
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,THE PAINT DEPOT INC.,DBA THE PAINT & CARPET DEPOT,11600 CHENAL PKWY STE 3,,LITTLE ROCK,AR,72211,,(501) 225-1871
206 - NORTHEAST,506 - HS NORTHEAST,NORTHEAST INTERIOR CONST INC,NORTHEAST CARPET CENTER,280 DANBURY RD,,NEW MILFORD,CT,6776,,(860) 354-2600
207 - SOUTH CENTRAL,505 - HS SOUTH WEST COAST,DEVO CORPORATION,MCCRACKEN'S,1218 MECHEM DR,,RUIDOSO,NM,88345-7206,,(575) 258-8801
206 - NORTHEAST,506 - HS NORTHEAST,HOUSE OF CARPET INC,DBA/CARPET EXPRESS,721 RT 25A,,ROCKY POINT,NY,11778,,(631) 399-1890
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,MENKE INC,3142 S 27TH ST,,,ABILENE,TX,79605,,(325) 673-5096
201 - SOUTHEAST,501 - HS SOUTHEAST,H & H CARPETS INC,1251 WATSON BLVD,,,WARNER ROBINS,GA,31093,,(478) 922-7747
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,FACTORY FLOORING DIRECT,7666 HIGHWAY 36,,,LAKE POINT,UT,84074,,(801) 250-0799
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,GRAND STRAND FLOORS INC,1917 10TH AVE NORTH,,,MYRTLE BEACH,SC,29577-5652,,(843) 626-3226
202 - FLORIDA,502 - HS FLORIDA,BURNS FLOORING & DESIGN LLC,6256 CYPRESS GARDENS BLVD,,,WINTER HAVEN,FL,33884-3177,,(863) 299-9080
208 - MID CENTRAL,506 - HS NORTHEAST,BENNETTS CARPETS INC,ATTN: IVAN BENNETT,149 STEVE DRIVE,,RUSSELL SPRINGS,KY,42642,,(270) 866-6930
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,BY DESIGN FLOOR COV,2628 LAVERY CT STE 401,,,NEWBURY PARK,CA,91320,,(805) 376-9586
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,CARPET WORKS OF CHEYENNE INC,3573 E LINCOLN WAY STE G2,,,CHEYENNE,WY,82001,,(307) 778-3173
201 - SOUTHEAST,501 - HS SOUTHEAST,JAYNES RONNIE CARPET CTR INC,JAYNES FLOORING OUTLET,3245 E ANDREW JOHNSON HWY,P.O. BOX 339,GREENEVILLE,TN,37744,,(423) 639-1901
202 - FLORIDA,502 - HS FLORIDA,QUALITY CARPET OUTLET INC,3680 N. ACCESS ROAD,,,ENGLEWOOD,FL,34224,,(941) 474-0076
208 - MID CENTRAL,506 - HS NORTHEAST,PERRYSBURG FLOOR COVERING LLC,27072 CARRONADE DR STE H,,,PERRYSBURG,OH,43551,,(419) 872-4911
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,FLOORMART LLC,DBA/FLOOR RENDITIONS,4601 E BELL RD STE 5,,PHOENIX,AZ,85032,,(999) 999-9999
212 - CENTRAL CANADA,212 - CENTRAL CANADA,COLAUTTI BROS MARBLE TILE AND,CARPET (1985) INC,2779 HOWARD AVE,ONTARIO,WINDSOR,CN,N8X 3X7,,(519) 966-1111
208 - MID CENTRAL,506 - HS NORTHEAST,CUSTOM HOME INTERIORS INC,225 S COCHRAN AVE,,,CHARLOTTE,MI,48813,,(517) 543-7120
201 - SOUTHEAST,501 - HS SOUTHEAST,"110%, INC",DBA  GREAT AMERICAN FLOORS,5965 PEACHTREE CORNERS E,,NORCROSS,GA,30071,,(770) 399-9110
206 - NORTHEAST,506 - HS NORTHEAST,BOGARTS CPT & FLOOR COVERING,1011 US HIGHWAY 46,,,LEDGEWOOD,NJ,7852,,(973) 252-2400
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,MEYER FLOOR COV INC,8400 SOUTH TACOMA WAY,,,TACOMA,WA,98499,,(253) 588-6677
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,MID WISCONSIN FLOORING LLC,5600 WOODLAND ST STE B,,,STEVENS POINT,WI,54481,,(715) 343-5391
206 - NORTHEAST,506 - HS NORTHEAST,DCS WAREHOUSE OUTLET C/O,C/O WHSE,45 INDUSTRIAL PARK RD,,ALBANY,NY,12206,,(518) 459-0200
209 - MID-ATLANTIC,506 - HS NORTHEAST,FLOORWARE INC,1319 SHEPARD DR STE D,,,STERLING,VA,20164,,(703) 796-2292
206 - NORTHEAST,506 - HS NORTHEAST,NEW BEGINNINGS FLOORING,20 WHITTEN RD,,,AUGUSTA,ME,4330,,(207) 512-8650
208 - MID CENTRAL,506 - HS NORTHEAST,MIGALA RUG & TILE LLC,2670 NILES RD,,,SAINT JOSEPH,MI,49085,,(269) 429-8000
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,S & C FLOORING,OGDENS CARPET OUTLET,2232 N MAIN ST,,CEDAR CITY,UT,84721-9790,,(435) 867-1777
208 - MID CENTRAL,506 - HS NORTHEAST,WEST MICHIGAN CPT BROKERS INC,53109 MAIN STREET,PO BOX 428,,MATTAWAN,MI,49071-0428,,(269) 668-5378
206 - NORTHEAST,506 - HS NORTHEAST,JIMMY STUART'S,325 MARKET ST,,,WARREN,RI,2885,,(401) 289-2700
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,DESIGN PLUS INTERIORS LLC,4460 E MAIN ST,,,MESA,AZ,85205,,(480) 807-4460
206 - NORTHEAST,506 - HS NORTHEAST,WE'LL FLOOR U INC,201 W MONTAUK HWY,,,HAMPTON BAYS,NY,11946,,(631) 728-7359
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,MC CALLS FLOOR MART,458 W LITTLE OAKS RD,,,ROLLA,MO,65401,,(573) 364-7811
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,FLAGSHIP FLOORS INC,1246 E MAIN ST,,,LEAGUE CITY,TX,77573,,(281) 332-2272
208 - MID CENTRAL,506 - HS NORTHEAST,MILFAIR LINOLEUM & CPT CO INC,634 STEUBENVILLE AVE,,,CAMBRIDGE,OH,43725,,(740) 432-3938
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,CARPET MILL,715 N MAIN ST,,,MOSCOW,ID,83843,,(208) 883-5567
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,DONS MOBILE CARPET INC,1210 W COLLINS DR,,,CASPER,WY,82604,,(307) 265-8444
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,"CARPET SPECTRUM, INC.",2212 LOMITA BLVD,,,LOMITA,CA,90717,,(310) 539-8818
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,TILE WORKS & MORE INC,395 SOUTH LOCUST (RT 50),,,MANTENO,IL,60950,,(815) 468-8789
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,REAM INC,DBA FLOOR STORE USA,1676 CONTRA COSTA ST,,SAND CITY,CA,93955,,(831) 583-9124
206 - NORTHEAST,506 - HS NORTHEAST,WORLDWIDE IMPEX CORP.,KORKMAZ RUGS & FLOORING,10 ROUTE 17 S,,RUTHERFORD,NJ,7070,,(201) 372-0090
201 - SOUTHEAST,507 - HS SOUTH CENTRAL,FLOORING MART LLC THE,1261 PASS RD,,,GULFPORT,MS,39501,,(228) 864-4111
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,ARBUCKLE FLRG & FINE STONE INC,1211 VETERANS BLVD,,,ARDMORE,OK,73401,,(580) 223-4929
201 - SOUTHEAST,501 - HS SOUTHEAST,DESIGNER FLOORS,FROST DAVID,8200 HIGHWAY 100,,NASHVILLE,TN,37221,,(615) 646-2292
201 - SOUTHEAST,501 - HS SOUTHEAST,FLOOR WORKS INC,"BARNETT, DAVID",309 WEST AVE,,DALLAS,GA,30157,,(770) 445-6263
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,QUALITY FLOOR COVERING,3235 E HAMILTON AVE,,,EAU CLAIRE,WI,54701,,(715) 855-1140
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,PIEDMONT FLOOR DESIGN LLC,2011 ENTERPRISE DR,,,FOREST,VA,24551,,(434) 316-5985
206 - NORTHEAST,506 - HS NORTHEAST,CARPET & RUG DEPOT,AHJ MARKETING INC,659 WARREN AVE,,PORTLAND,ME,04103-5904,,(207) 775-7818
220 - SOUTHEAST CENTRAL,501 - HS SOUTHEAST,SHEPARDS FLOORS,413 WESTERN BLVD,,,JACKSONVILLE,NC,28546,,(910) 347-2226
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,MENOMONIE FLOORING CENTER,1701 STOUT RD STE A,,,MENOMONIE,WI,54751,,(715) 233-1000
206 - NORTHEAST,506 - HS NORTHEAST,FLOOR STORE THE,TFS COMPANY INC,904 RTE 110,,FARMINGDALE,NY,11735,,(631) 752-7520
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,FLETCHERS WAREHOUSE CARPET,FLETCHER DEE INC,2100 E TOTO RD,,KNOX,IN,46534,,(574) 772-7088
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,DANNYS HOUSE OF CARPET INC,1670 W SOUTH LOOP,,,STEPHENVILLE,TX,76401,,(254) 968-2880
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,LEATHER GALLERY,9901 INDIANA AVE STE 104,,,RIVERSIDE,CA,92503,,(951) 351-9911
206 - NORTHEAST,506 - HS NORTHEAST,CONTRACT INTERIORS INC,PO BOX 13,2488 GRAND ISLAND BLVD,,GRAND ISLAND,NY,14072,,(716) 773-6995
208 - MID CENTRAL,506 - HS NORTHEAST,GREER'S DON FASHION FLOOR,GREER DON JR,1265 JEFFERSON AVE,,WASHINGTON,PA,15301,,(724) 228-2250
209 - MID-ATLANTIC,506 - HS NORTHEAST,BAER INC,BILLING ACCT ONLY,901 LINE ST,,EASTON,PA,18042,,(610) 258-3947
204 - CENTRAL PLAINS,503 - HS NORTH CENTRAL,FINISHING TOUCH DESIGN STUDIO,302 S 2ND ST,,,ABERDEEN,SD,57401,,(605) 225-4242
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,FLOOR CENTER,43421 K-BEACH ROAD,,,SOLDOTNA,AK,99669,,(907) 260-6646
201 - SOUTHEAST,501 - HS SOUTHEAST,RIVERSIDE INTERIORS DULUTH,DBA GREGORY'S PAINT & FLOORING,10350 MEDLOCK BRG RD STE 201,,JOHNS CREEK,GA,30097,,(770) 476-9651
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,HOUSE 2 HOME RETAIL INC,PO BOX 530672,,,HENDERSON,NV,89053,,(702) 888-6666
208 - MID CENTRAL,506 - HS NORTHEAST,MORSE CLARK FURNITURE CO,219 W HOUGHTON AVE,,,WEST BRANCH,MI,48661,,(989) 345-0355
203 - NORTH CENTRAL,503 - HS NORTH CENTRAL,REDLINE MANAGEMENT INC,5186 NORTHWEST HWY,,,CRYSTAL LAKE,IL,60014,,(815) 459-3113
201 - SOUTHEAST,507 - HS SOUTH CENTRAL,HENCO INC,P.O. BOX 547,205 HENCO DR,,SELMER,TN,38375,,(731) 645-3255
208 - MID CENTRAL,506 - HS NORTHEAST,COURTLEE INTERIORS INC,2499 WEST MARKET ST,,,TIFFIN,OH,44883,,(419) 447-1751
209 - MID-ATLANTIC,506 - HS NORTHEAST,MERIDA INC DBA BOUNTIFUL,218 N WASHINGTON ST,,,EASTON,MD,21601,,(410) 763-8500
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,MIKE'S CARPET INC,4005 PRINCE ST,,,CONWAY,AR,72034,,(501) 505-8022
210 - NORTH WEST COAST,505 - HS SOUTH WEST COAST,OLEMILL INC.,DBA SUPERIOR FLOOR COVERING,*** BILL-TO ONLY ***,601 MENDOCINO AVE,SANTA ROSA,CA,95401,,(707) 575-9331
201 - SOUTHEAST,501 - HS SOUTHEAST,KAREN'S CARPET SALES INC.,1961 CLINTON HWY,,,POWELL,TN,37849,,(865) 945-3353
207 - SOUTH CENTRAL,507 - HS SOUTH CENTRAL,JIM OWENS CARPET CORP,MANDEVILLE STORE,4400 AIRLINE DR,,METAIRIE,LA,70001,,(504) 835-6969
206 - NORTHEAST,506 - HS NORTHEAST,STR INC,D/B/A ELEGANT FLOOR LLC,2785 SHELBURNE RD,,SHELBURNE,VT,5482,,(802) 448-3067
206 - NORTHEAST,506 - HS NORTHEAST,FOUR STAR FLOORING INC,52 DOW ST,,,MANCHESTER,NH,03101-1211,,(603) 624-7827
209 - MID-ATLANTIC,506 - HS NORTHEAST,K A R  INC.,CHURCHVILLE TILE & MARBLE,2203 COMMERCE ROAD UNIT 1,,FOREST HILL,MD,21050,,(410) 879-3010
208 - MID CENTRAL,506 - HS NORTHEAST,HILLTOP CARPET,G&R WAGNER ENTERPRISES INC,6226 DAVIS CREEK ROAD,,BARBOURSVILLE,WV,25504,,(304) 736-3946
205 - SOUTH WEST COAST,505 - HS SOUTH WEST COAST,CURTIS CARPETS,614 OLIVE ST,,,SANTA BARBARA,CA,93101,,(805) 963-1921
208 - MID CENTRAL,506 - HS NORTHEAST,WWTT INTERIORS INC,OLIVERS HOUSE OF CPT & FURN,P.O. BOX 140- 1348 W HOUGHTON,,PRUDENVILLE,MI,48651,,(989) 366-7245
206 - NORTHEAST,506 - HS NORTHEAST,NASSAU'S FURNITURE CO,1315 JOHN FITCH BLVD,,,SOUTH WINDSOR,CT,6074,,(860) 291-2853
208 - MID CENTRAL,506 - HS NORTHEAST,FLOORSCAPES BY FARIS LLC,1020 TOWNE SQUARE DR STE 2,,,GREENSBURG,PA,15601,,(724) 216-5619
212 - CENTRAL CANADA,212 - CENTRAL CANADA,SELYANS ORIENTAL RUGS LTD,1783 AVENUE RD,**FOR BILLING ONLY**,ONTARIO,TORONTO,CN,M5M 3Y8,,(416) 781-2030
212 - CENTRAL CANADA,212 - CENTRAL CANADA,WEST VALLEY CARPET & FLRNG LTD,"#101, 12018 SYMONS VALLEY RD N",,ALBERTA,CALGARY,CN,T3P 0A3,,(403) 614-5813
International,International,EDIES DECOR LTD,PO BOX 10671 A P O,64 EASTERN AVENUE,,GRAND CAYMAN,,,,(345) 949-6348
,,,,,,,,,,
,,,,,,,,,,
