name,address,city,state,websites,phone,owners,other_emails,primary_email,,,,,,,,,,,,,,,,,,
VAN HISE LLC D/B/A,,MILFORD,CT,"http://www.tilebythemile.com/,",(203) 882-0026,Denise & Trevor Van Hise,denise@tilebythemile.com,N/A,,,,,,,,,,,,,,,,,,
TOTALLY FLOORED,,GREENSBORO,NC,"http://www.totallyflooredgreensboro.com/,",(336) 665-9229,Alan Morris,floorman1500@hotmail.com,totallyfloor@aol.com,,,,,,,,,,,,,,,,,,
MATTEO FAMILY KITCHENS INC,,WOODSTOWN,NJ,"http://www.matteokitchens.com/,",(856) 769-2490,Everett Matteo,everett@matteokitchens.com,everett@matteokitchens.com,,,,,,,,,,,,,,,,,,
CARPET CONSULTANTS INC,,TOWSON,MD,"http://www.carpetconsultantsmd.com,",(410) 321-9771,Steve Weidner,steve@carpetconsults.com,"steve@carpetconsults.com, renee@carpetconsults.com",,,,,,,,,,,,,,,,,,
LEMCO CARPETS INC,,SALT LAKE CITY,UT,"http://www.lemcodesign.com,",(801) 262-9989,"Daivd Seare, Ryan Seare",ryan@lemcodesign.com,info@lemcodesign.com,,,,,,,,,,,,,,,,,,
ALLEYS CARPET OF GADSDEN,,GADSDEN,AL,"http://www.alleyscarpet.com,",(256) 543-8330,Lee Alley,-,taylormholland@hotmail.com,,,,,,,,,,,,,,,,,,
HAW RIVER FLOORING,,HAW RIVER,NC,"http://www.hawriverflooring.com,",(336) 578-1809,Mike Reavis,mike@hawriverflooring.com,mike@hawriverflooring.com,,,,,,,,,,,,,,,,,,
FLOORING STUDIO LLC THE,,GONZALES,LA,"http://www.theflooringstudioinc.com,",(225) 647-6463,Michael Spriers,Mspiers@eatel.net,lspiers@eatel.net,,,,,,,,,,,,,,,,,,
SMULEKOFF FURNITURE CO INC,,CEDAR RAPIDS,IA,"http://www.smulekoffs.com/,",(319) 362-2181,Dennis Kelly,-,"N/A, smulekoffs@smulekoffs.com",,,,,,,,,,,,,,,,,,
CHILDRESS BUILDING CENTER,,CHILDRESS,TX,"http://www.cci-cbc.com/childressconstruction.html,",(940) 937-2676,"Charles Glen Baker",-,cci.build@att.net,,,,,,,,,,,,,,,,,,
FARMERS LUMBER CO INC,,HILL CITY,KS,"http://www.farmerslumber.com/,",(785) 421-2165,Herb Janssen,hjanssen@farmerslumber.com,N/A,,,,,,,,,,,,,,,,,,
WIESER & CAWLEY INC,,MARIETTA,OH,"http://www.wieserandcawleyfurniture.com,",(740) 373-1676,Jane Wittekind,-,wiesercawley@suddenlinkmail.com,,,,,,,,,,,,,,,,,,
VALDOSTA CARPET CENTER,,VALDOSTA,GA,"www.valdostacarpetcenter.com,",(229) 244-1427,-,-,N/A,,,,,,,,,,,,,,,,,,
OLD WORLD STONE IMPORTS LLC,,OREM,UT,"http://www.oldworldstoneimports.com,",(801) 431-0137,-,-,owsi_orem@hotmail.com,,,,,,,,,,,,,,,,,,
CREATIVE CARPETS,,LEXINGTON,NC,"http://www.creativecarpetsdiscountsales.com/,",(336) 243-2073,Frank and Debbie Polston,-,N/A,,,,,,,,,,,,,,,,,,
GREEN FAMILY FLOORING,,DES MOINES,IA,"http://www.greenfamilyflooring.com/,",(515) 975-2414,Bob and Jeni Green,jeni@greenfamilyflooring.com,n/a,,,,,,,,,,,,,,,,,,
FLOOR GALLERY LLC THE,,ATHENS,AL,"http://floorgalleryathens.com/index.htm,",(256) 216-9055,Wanda and Steve Clutts,steve@floorgalleryathens.com,steve@floorgalleryathens.com,,,,,,,,,,,,,,,,,,
"CARPET KING INC,CARPET KING INC",16438 VALLEY BLVD,LA PUENTE,CA,"http://www.carpetkingla.com,http://www.carpetkingla.com/en/index.html,",(626) 820-0550,Wayne Luu,wluu@carpetkingla.com,tinaz@carpetkingla.com,,,,,,,,,,,,,,,,,,
PERRY CARPET SHACK,,PERRY,KS,"http://www.perrycarpetshack.com,",(785) 597-5110,Kris and Nadine Robbins ,pcs_nadine@yahoo.com,N/A,,,,,,,,,,,,,,,,,,
GRINNELL FURNITURE STORE LLC,,GRINNELL,KS,"http://www.uhlmannshomefurnishings.com/,",(785) 824-3710,-,-,uhlmannfurn@iowatelecom.net,,,,,,,,,,,,,,,,,,
PETERSON PAINT & FLOORS,,STORY CITY,IA,"www.petersenscarpetandflooring.com/.,",(515) 733-2031,Gayle Petersen,gpetersen@petcaf.com,djpetersen@petcaf.com,,,,,,,,,,,,,,,,,,
WILLIAMS CARPET G K INC,,OCEAN ISLE BEACH,NC,"http://www.redhotflooringdeals.com/index1.asp,",(910) 579-7592,-,williamscarpetgk@atmc.net,info@redhotflooringdeals.com,,,,,,,,,,,,,,,,,,
ARMON DECORATING,,BLUE EARTH,MN,"http://www.armondecorating.com/,",(507) 526-2797,Matt Armon,-,armondec@bevcomm.net,,,,,,,,,,,,,,,,,,
HOLMAN FLOOR,,ALEXANDER CITY,AL,"http://www.holmanfloorcompany.com,",(256) 234-6071,Robert Holman,rholman@holmanfloorcompany.com,N/A,,,,,,,,,,,,,,,,,,
BROUWER'S COUNTRY CARPET,,WARSAW,IN,"http://www.brouwerscarpet.com/,",(574) 267-8054,Brad Brouwer,Brouwer3333@yahoo.com,brouwersfurn@yahoo.com,,,,,,,,,,,,,,,,,,
FLOOR CENTER,,SOLDOTNA,AK,"www.facebook.com/pages/Floor-Center/163427927015157,",(907) 260-6646,-,-,N/A,,,,,,,,,,,,,,,,,,
R N R CARPET CENTER,,OGDEN,UT,"http://www.rnrcarpetcenter.com,",(801) 394-0011,Randy Wilson,-,N/A,,,,,,,,,,,,,,,,,,
INTEGRITY CARPET INC,,KENNER,LA,"http://www.integritycarpetsales.com/,",(504) 712-5485,Heysi Fuentes,heysi@integritycarpetsales.com,N/A,,,,,,,,,,,,,,,,,,
CHISUMS FLOOR COVERING,,OJAI,CA,"http://www.chisumsfloorcovering.com/,",(805) 646-2440,Tim and Debbie Kresge,-,chisumsfloorcovering@chisumsfloorcovering.com,,,,,,,,,,,,,,,,,,
BUFFALOE FLOOR COVERING INC,,HOUSTON,TX,"http://www.buffaloefloorcovering.com/,",(713) 686-3589,Irene Buffaloe,irene@buffaloefloorcovering.com,info@buffaloefloorcovering.com,,,,,,,,,,,,,,,,,,
FREEBURG HOME CENTER,,FREEBURG,MO,"http://www.freeburghomecenter.com,",(573) 744-5405,Mike Wilde,-,fhc@freeburghomecenter.com,,,,,,,,,,,,,,,,,,
QUALITY CARPETS & INTERIORS,,SOMERVILLE,TN,"http://www.kudzu.com/m/Quality-Carpets-Interiors-9772935,",(901) 465-4058,-,-,GreatDealSales@kudzu.com.,,,,,,,,,,,,,,,,,,
JE CONCEPTS,,LEES SUMMIT,MO,"www.jeconcepts.net/,",(816) 524-0255,-,-,N/A,,,,,,,,,,,,,,,,,,
SMITTY'S FLOOR COVERING,,DENTON,TX,"http://www.smittysfloorcovering.com/,",(940) 382-3232,Darlene Rogers,jdarlenerogers@hotmail.com,info@smittysfloorcovering.com,,,,,,,,,,,,,,,,,,
BEAUTIFUL HOME INTERIORS,,JEFFERSON CITY,MO,"http://beautifulhomeinteriors.com/,",(573) 893-2500,Darrell Reinsch,darrell@beautifulhomeinteriors.com,darrell@beautifulhomeinteriors.com,,,,,,,,,,,,,,,,,,
VIDALIA CARPET CENTER,,VIDALIA,GA,"http://vidaliacarpetcenterinc.com/,",(912) 537-8100,Doug Williams,-,N/A,,,,,,,,,,,,,,,,,,
WITTWER INC dba BOULEVARD HOME FURNISHING,390 NORTH MALL DRIVE,SAINT GEORGE,UT,"http://www.boulevardhome.com/,",(435) 986-3100,Sheldon Wittwer,sheldonw@blvdhome.com,N/A,,,,,,,,,,,,,,,,,,
M & M FLOOR COVERING,2356 Nostrand Avenue,BROOKLYN,NY,"http://brooklyn.citysearch.com/profile/7346846/brooklyn_ny/m_m_floor_covering.html,",(718) 258-9784,Maria De Vaynes,-,N/A,,,,,,,,,,,,,,,,,,
BEST BUY CARPET INC,,NICEVILLE,FL,"http://www.bestbuycarpetinc.com/,",(850) 678-0041,Emmett  & Lois Traxler,etrax@ltrax.gccoxmail.com,N/A,,,,,,,,,,,,,,,,,,
WEBBS CARPET COMPANY,,FAYETTEVILLE,NC,"http://www.webbcarpet.net/,",(910) 485-5865,Woody Griffin,-,N/A,,,,,,,,,,,,,,,,,,
QUALITY CO INC,,OLIVE BRANCH,MS,"http://www.qualityandcompany.com/,",(662) 252-5098,Allen Thompson,-,N/A,,,,,,,,,,,,,,,,,,
DISCOUNT CARPET WHSE INC/ICRA,,MASON,MI,"http://www.discountcarpetwarehouseinc.com/ -,",(517) 694-1888,Gary Slee,discountcarpet@outdrs.net,discountcarpet@outdrs.net,,,,,,,,,,,,,,,,,,
WILMINGTON CARPETS INC,,WILMINGTON,OH,"http://www.wilmingtoncarpets.com/,",(937) 383-1077,-,-,wilmingtoncarpets@gmail.com,,,,,,,,,,,,,,,,,,
K & K CARPET,,SPRING VALLEY,NY,"http://www.kkcleaning.com,",(845) 573-9700,-,-,N/A,,,,,,,,,,,,,,,,,,
CUSTOM FLOORING LLC,,VICKSBURG,MS,"http://www.customflooringllc.com/carpet.html,",(601) 636-7474,-,-,customflooringms@att.net,,,,,,,,,,,,,,,,,,
TWIN OAKS CARPET,,ROMEOVILLE,IL,"http://twinoakscarpet.com,",(815) 372-2444,Lynn DeMill,lynn.demill@sbcglobal.net,N/A,,,,,,,,,,,,,,,,,,
CARPET MAN INC THE,,CUMBERLAND,IN,"http://www.carpetmanclean.com/,",(317) 894-0000,Jeremy Hongslo,jeremyhongslo@myfa.net,info@carpetmanclean.com,,,,,,,,,,,,,,,,,,
RUSBOSIN FURNITURE,,LATROBE,PA,"http://rusbosinfurniture.com/,",(724) 532-1985,John Rusbosin,johnr@rusbosinfurniture.com,N/A,,,,,,,,,,,,,,,,,,
GLASTONBURY CPT WORKSHOP LLC,,GLASTONBURY,CT,"http://www.glastonburycarpet.com/,",(860) 633-8832,Carol McGuire,glastcpt@yahoo.com,glastcpt@yahoo.com,,,,,,,,,,,,,,,,,,
BYRAM CARPET INC,,ANDOVER,NJ,"http://www.byramcarpet.com,",(973) 347-4883,Gregory Matthews,,n/a,,,,,,,,,,,,,,,,,,
FIRST CHOICE FLOORCOVERING,,CANTON,MI,"http://www.floorsandremodeling.com,",(734) 981-3000,Carl Schmidt,jessncarl@comcast.net,floorsandremodeling@comcast.net,,,,,,,,,,,,,,,,,,
FLOOR SYSTEMS INC,,HUNTINGTOWN,MD,"http://www.floorsystems.net,",(410) 257-7380,Roger and Bill Murphy,bmurphy@floorsystems.net,N/A,,,,,,,,,,,,,,,,,,
MILLION'S CARPET SERVICE INC,,SPRINGFIELD,KY,"http://www.millionsfloorcenter.com/,",(859) 336-7141,Glenn Million,millionscarpetse@bellsouth.net,lynettemillion@yahoo.com,,,,,,,,,,,,,,,,,,
AMERICAN RIVER FLOORING & PAINTING,,FAIR OAKS,CA,"http://www.vacantinteriors.com/,",(916) 416-3203,Coleen Shannon,coleen@americanriverflooring.com,don@arflooring.com,,,,,,,,,,,,,,,,,,
AMERICA'S FINEST INC,,PORT ANGELES,WA,"http://www.amfinestinc.com,",(360) 683-2933,Robert Bourns,,americasfinest2008@live.com,,,,,,,,,,,,,,,,,,
MCMILLINS FURNITURE INC,,YALE,MI,"http://www.mcmillins.com/,",(810) 387-2626,Chuck McMillin,cmcmillin@mcmillins.com,cmcmillin@mcmillins.com,,,,,,,,,,,,,,,,,,
BAUMGARTNER'S,,AUXVASSE,MO,"http://www.baumgartners.com/,",(573) 386-2231,Alan Baumgartner,,Baumgartnersfurniture@gmail.com,,,,,,,,,,,,,,,,,,
STYLISH INTERIORS INC,,CONROE,TX,"http://www.stylishcarpets.com/,",(281) 449-5118,"Ricky Simmons, Sr.",ricky@stylishcarpets.com,ricky@stylishcarpets.com,,,,,,,,,,,,,,,,,,
SOUTHERN ELEGANCE TILE INC,,MARYVILLE,TN,"http://www.southernelegancetileinc.com/,",(865) 983-1162,Karl Reeves,,N/A,,,,,,,,,,,,,,,,,,
DUNN PETER ENT INC,,SAN ANTONIO,TX,"www.spoke.com,",(210) 333-5750,Peter Dunn,,N/A,,,,,,,,,,,,,,,,,,
LANGE CARPET COMPANY,,MUSKEGON,MI,"http://www.langeflooringcenter.com/,",(231) 726-2352,Scott Gilbert,langefloors@yahoo.com,LANGEFLOORS@YAHOO.COM,,,,,,,,,,,,,,,,,,
JO-MARK INSTALLATIONS INC,,CENTEREACH,NY,"http://www.jomarkinstallations.com,",(631) 737-0638,Mark Soriano,carpetyourworld@aol.com,N/A,,,,,,,,,,,,,,,,,,
CALLAWAYS CARPET INC,,ABILENE,TX,"http://callawayscarpet.com/,",(325) 673-6722,Bill Herring,carpet@nts-online.net,carpet@callawayscarpet.com,,,,,,,,,,,,,,,,,,
NCK CARPET PLUS,,CONCORDIA,KS,"www.nckcarpetplus.com,",(785) 243-1141,Carol Richard,,nckcp@kitusa.com,,,,,,,,,,,,,,,,,,
TISSOTS HOME CENTER,,HILLSBORO,OH,"http://www.tissotshomecenter.com/,",(937) 393-4275,Jane Tissot,,TISSOTSHOMECENTER@SBCGLOBAL.NET,,,,,,,,,,,,,,,,,,
MIDDLE GEORGIA TILE CO INC,,DUBLIN,GA,"http://www.middlegeorgiatile.net/,",(478) 274-1153,George Rosa,georgerosa@middlegeorgiatile.net,reneechoate@middlegeorgiatile.net,,,,,,,,,,,,,,,,,,
CARPET MART OF BELLEVILLE INC,,BELLEVILLE,IL,"http://www.carpetmartbelleville.com,",(618) 234-6900,Brad Curtis & Mary Curtis,,N/A,,,,,,,,,,,,,,,,,,
WENKE FLOORING & DESIGN,,KALAMAZOO,MI,"http://www.wenketileandcarpet.com/,",(269) 385-3111,Debbie Wenke,,wenkeflooringanddesign@yahoo.com,,,,,,,,,,,,,,,,,,
DARIOS CARPETS,,LOS ANGELES,CA,"http://www.darioscarpets.net,",(310) 641-2914,Dario and Gloria Ruiz,,N/A,,,,,,,,,,,,,,,,,,
FOUR STAR FLOORING INC,,MANCHESTER,NH,"http://www.4starflooring.com/,",(603) 624-7827,John Kallelis,,4starflooring@gmail.com,,,,,,,,,,,,,,,,,,
GREER'S DON FASHION FLOOR,,WASHINGTON,PA,"http://www.dongreersfashionfloors.com/,",(724) 228-2250,Don Greer,don_greer@verizon.net,info@dongreersfashionfloors.com,,,,,,,,,,,,,,,,,,
RELO INTERIOR SERVICES,,TAMPA,FL,"http://www.relointeriors.com/Layouts/Layout1/Default.aspx,",(813) 287-2480,Tony Hough,,info@relointeriors.com,,,,,,,,,,,,,,,,,,
WORDEN INTERIORS INC,,FRANKENMUTH,MI,"http://www.wordeninteriors.com/,",(989) 652-8847,Harry and Barb Worden,,wordeninteriors@airadv.net,,,,,,,,,,,,,,,,,,
CARPET CONNECTION,,CLOQUET,MN,"http://www.carpetconnection.org/,",(218) 879-6367,Donald Perkkio,,info@carpetconnection.org,,,,,,,,,,,,,,,,,,
TWIN CITIES FLOOR COVERING INC,,YUBA CITY,CA,"http://www.twincitiesfloorcovering.com,",(530) 673-4435,Bill & Tom Good,,twincitiesflooring@sbcglobal.net,,,,,,,,,,,,,,,,,,
BRINKS JOHNNY TRICO SALES INC,,KERRVILLE,TX,"http://www.johnnybrinks.com/,",(830) 896-1204,John Brink III,,info@johnnybrinks.com,,,,,,,,,,,,,,,,,,
GILLES TRUE VALUE,,VILLA GROVE,IL,"http://www.gillestruevalue.com/,",(217) 832-8123,John Gilles,,N/A,,,,,,,,,,,,,,,,,,
BOBS AFFORDABLE CARPETS INC,,NEW CASTLE,DE,"http://www.bobsaffordablecarpets.com/,",(302) 836-0466,Bob Evanousky,bobscarpets@aol.com,bobscarpets@aol.com,,,,,,,,,,,,,,,,,,
CARPET PLAZA,,HIBBING,MN,"http://www.minnesotadir.com/carpet-pla-hibbing-biz23036.htm,",(218) 263-8801,Curtis & Debbie Lundin,,N/A,,,,,,,,,,,,,,,,,,
CLASSIC CARPET & INTERIORS,,WEBSTER CITY,IA,"http://www.classiccarpetandinteriors.com/,",(515) 832-1219,Patricia Westcott,,kevin_rubash@iowatelecom.net,,,,,,,,,,,,,,,,,,
REARDONS CARPET CENTER INC,,PLAINFIELD,IL,"www.reardonscarpet.com,",(815) 729-0125,-,-,N/A,,,,,,,,,,,,,,,,,,
DESIGNER SOLUTIONS INC,,HARDY,VA,"http://www.designersolutionsinc.com/,",(540) 719-1266,Miranda Shotwell,-,designer.solutions@yahoo.com,,,,,,,,,,,,,,,,,,
MATTRESS & CARPET EXPRESS,,LORTON,VA,"www.mattresscarpetexpress.com/,",(703) 550-1933,Bruce Siasi,b.siasi@carpetfloorexpress.com,N/A,,,,,,,,,,,,,,,,,,
MENKE INC,,ABILENE,TX,"www.menke-floorscapes.com/,",(325) 673-5096,Russ Menke,russ@menke-floorscapes.com,russ@menke-floorscapes.com,,,,,,,,,,,,,,,,,,
TOWN & COUNTRY CPT AND FLRCOV,,MAPLE GROVE,MN,"http://www.townandcountrycarpet.net/,",(763) 533-2486,Lucas Farrand,lucas@townandcountrycarpet.net,lucas@townandcountrycarpet.net,,,,,,,,,,,,,,,,,,
PETERSEN'S LINOLEUM & CARPETIN,,FORT COLLINS,CO,"http://www.petersensflooringanddesign.com,",(970) 226-5343,Jim Petersen,,plclauren@hotmail.com,,,,,,,,,,,,,,,,,,
FACTORY WAREHOUSE OF FLRS LLC,,DELAND,FL,"http://www.designbiz.com/net0/CompanyWelcome.asp?CompanyID=86435,",(386) 740-7484,Salvatore Sacchere,,N/A,,,,,,,,,,,,,,,,,,
OSBORNS GEORGIA CARPET,,TERRE HAUTE,IN,"http://www.osbornsgeorgiacarpet.com/,",(812) 234-4423,-,-,osbornsgeorgiacarpet@frontier.com,,,,,,,,,,,,,,,,,,
BISEK INTERIORS,,MONTGOMERY,MN,"http://www.bisekinteriors.com,",(507) 364-7944,Tim Bisek,-,info@bisekinteriors.com,,,,,,,,,,,,,,,,,,
WERTZ FLOORING GALLERY INC,,MIDLOTHIAN,VA,"http://www.wertzflooring.com/,",(804) 745-3215,Brian Wertz,wertzflooring@verizon.net,N/A,,,,,,,,,,,,,,,,,,
"MI CASA ENTERPRISES, INC",,CHATSWORTH,CA,"http://www.advantagecarpetca.com/,",(818) 725-7382,Herach Kirokian,advantage_carpet@yahoo.com,N/A,,,,,,,,,,,,,,,,,,
ARVADA WEST DECORATING & FLRNG,,ARVADA,CO,"http://www.awdecorating.com/,",(303) 424-7333,Crystal and Matt Vagts,matt.vagts@arvadafloor.com,sales@arvadafloor.com,,,,,,,,,,,,,,,,,,
NOVA FLOORING WHOLESALERS,,CHANTILLY,VA,"http://www.novaflooring.com,",(703) 449-5900,David Barbar,david@novaflooring.com,sales@NOVAFLOORING.COM,,,,,,,,,,,,,,,,,,
JWK INC,,GAUTIER,MS,"http://www.designbiz.com/Biz/bizProfile.asp?CompanyID=95459,",(228) 497-2004,John Kotsakos,-,N/A,,,,,,,,,,,,,,,,,,
STARKVILLE FLOORING LLC,,STARKVILLE,MS,"http://starkvilleflooring.net/,",(662) 615-1404,Jeffery Cook,-,katharinehanes@gmail.com,,,,,,,,,,,,,,,,,,
SOUTHPARK CARPET & FLRING OTLT,,COLONIAL HEIGHTS,VA,"http://www.southparkcarpet.com/,",(804) 748-4990,Lee Robertson,lee@southparkcarpet.com,N/A,,,,,,,,,,,,,,,,,,
PERGE CARPET,,CAMP SPRINGS,MD,"www.floorneeds.com/,",(301) 449-7676,George Afshar,-,pergecarpet@live.com,,,,,,,,,,,,,,,,,,
CARPET SPECTRUM INC,,MEMPHIS,TN,"http://carpetspectrum.net/,",(901) 386-5207,"Tim, Bill & Jan Browning",timbo@carpetspectrum.net / jana@carpetspectrum.net,wdb@carpetspectrum.net,,,,,,,,,,,,,,,,,,
ULTIMATE FLOORING & SUPPLIES,,CHESTERTON,IN,"http://ultimateflooringsupply.com,",(219) 926-1094,Brian Wuerthele,-,ultimate7@verizon.net,,,,,,,,,,,,,,,,,,
CARPETMAN,,TURLOCK,CA,"http://www.carpetmanproflooring.com/,",(209) 667-4422,"Red, David & Ellen St. Clair",Ellen@CarpetManProFlooring.com / David@CarpetManProFlooring.com,Red@CarpetManProFlooring.com,,,,,,,,,,,,,,,,,,
INKROTE FLOORS INC,,GRANTS PASS,OR,"http://www.inkrotefloors.com,",(541) 476-2164,Bill Inkrote,bill@inkrotefloors.com,bill@inkrotefloors.com,,,,,,,,,,,,,,,,,,
LAKE FOREST CARPETS INC,,GREENVILLE,SC,"http://www.designbiz.com/Biz/bizProfile.asp?CompanyID=79318,",(864) 244-2510,Martha Woods,martha@lakeforestcarpets.com,,,,,,,,,,,,,,,,,,,
CARPET CITY & HOME DEC CTR INC,,SPRINGFIELD,VA,"www.homedecorcenter.com,",(703) 451-0400,Mehdi Zarkhohs,-,sales@homedecorcenter.com,,,,,,,,,,,,,,,,,,
CALLAWAY FURNITURE INC,,HARRINGTON,DE,"http://www.callawayfurniture.net/,",(302) 398-8858,Bob Callaway,callaway1947@aol.com,furnatcallaways@aol.com,,,,,,,,,,,,,,,,,,
HOLLIDAY'S FLOORING,,BELTON,SC,"http://www.hollidaysflooring.com/,",(864) 338-5466,Jill Sims,-,N/A,,,,,,,,,,,,,,,,,,
KAREN'S CARPET SALES INC.,,POWELL,TN,"http://www.karenscarpetsales.com/,",(865) 945-3353,Mark Wilson and Deon Wilson,mrwlsn23@aol.com,mrwlsn23@aol.com,,,,,,,,,,,,,,,,,,
AMERICAN WHOLESALE FLOORING,,MESA,AZ,"http://www.designbiz.com/biz/bizProfile.asp?CompanyID=95702,",(480) 964-4000,Brian Frost,brian@american-interiors.com,brian@american-interiors.com,,,,,,,,,,,,,,,,,,
FLOOR COVERING EXPRESS INC,,TACOMA,WA,"http://www.floorcoveringexpress.com/,",(253) 566-6880,Pete & Jeanine Kneeland,-,info@floorcoveringexpress.com,,,,,,,,,,,,,,,,,,
KASTRAN KARPETS,,MANSFIELD,OH,"http://www.kastrankarpets.com,",(419) 529-3161,Nora & James Kastran,,kelli.kastrankarpets@neohio.twcbc.com,,,,,,,,,,,,,,,,,,
NATIONWIDE FLOOR & WINDOW,,MONUMENT,CO,"http://www.flooringanddesigncenter.com/,",(719) 487-7767,Kim Carson,kcarson@flooringanddesigncenter.com,N/A,,,,,,,,,,,,,,,,,,
CARPET PLUS INC,,HOLLISTER,MO,"http://www.mycarpetplus.com/,",(417) 335-8888,Ted Brayfield,mycarpetplus@yahoo.com,mycarpetplus@yahoo.com,,,,,,,,,,,,,,,,,,
CHEROKEE FLOOR COV INC,,LEBANON,GA,"http://cherokeefloorcovering.com/,",(770) 926-7500,Chip Prance,chip@cherokeefloorcovering.com,n/a,,,,,,,,,,,,,,,,,,
SKYWAY FLOOR COVERING INC,,MONROE,NC,"http://skywayfloorcovering.com,",(704) 282-0029,Denise Carelock,-,N/A,,,,,,,,,,,,,,,,,,
VALUE DISCOUNT FLOORING INC,,RICHMOND,IL,"http://www.valuediscountflooring.com/,",(815) 678-6200,Kris Vaos,kris@valuediscountflooring.com,info@valuediscountflooring.com,,,,,,,,,,,,,,,,,,
LOMBARDI FURNITURE & INTERIORS,,COLLINSVILLE,IL,"http://www.lombardiinteriors.com,",(618) 343-1900,Robert Lombardi,-,service@lombardiinteriors.com,,,,,,,,,,,,,,,,,,
HUNTSVILLE DECORATING,,HUNTSVILLE,AL,"http://www.huntsvilledecorating.net/sb.cn,",(256) 536-4479,Terry Campbell,,N/A,,,,,,,,,,,,,,,,,,
DELAWARE FLOOR COMPANY INC,,DELAWARE,OH,"www.delawarecorp.com/,",(740) 363-4931,Thomas Ulery,,info@delawarecorp.com,,,,,,,,,,,,,,,,,,
BAY CARPET & INTERIORS,,BAY SAINT LOUIS,MS,"http://local.brainerddispatch.com/bay+carpet+and+interiors.9.81521325p.home.html,",(228) 467-5000,Chuck Jung,,N/A,,,,,,,,,,,,,,,,,,
PAD II INC,,DALLAS,TX,"http://www.floorbiz.com/net0/CompanyWelcome.asp?CompanyID=100190,",(214) 631-7576,Milton Symank,,N/A,,,,,,,,,,,,,,,,,,
MAIN PLACE FLOOR & WINDOW,,COTTONWOOD,AZ,"http://www.mainplacefloor.com/,",(928) 634-2655,Steve D'Angelo,mainplacesteve@aol.com,mainplaceinfo@aol.com,,,,,,,,,,,,,,,,,,
TILE MART CORPORATION,,ALBUQUERQUE,NM,"http://nmtilemart.com/,",(505) 830-1952,Sergio Monarez,tilemart@usa.com,N/A,,,,,,,,,,,,,,,,,,
EAST FLAG UPHOLSTERY &CPT SHOP,,FLAGSTAFF,AZ,"http://www.mohawkcolorcenter.com/,",(928) 774-6843,-,-,n/a,,,,,,,,,,,,,,,,,,
SERVICE FLOOR COVERING INC,,SAINT CLAIR SHORES,MI,"www.servicefloorcovering.com,",(586) 294-0020,Dave Mazey,sales@servicefloorcovering.com,sales@servicefloorcovering.com,,,,,,,,,,,,,,,,,,
C&C CARPETS INC,,ALBUQUERQUE,NM,"http://www.cccarpet.com/,",(505) 898-5739,Steve Fitzgerald,,N/A,,,,,,,,,,,,,,,,,,
CARPET WEAVERS - PEORIA,,PEORIA,IL,"http://www.carpetweaversflooring.com/,",(309) 693-7300,Cliff Fugate,,N/A,,,,,,,,,,,,,,,,,,
THOROUGHBRED CARPETS OF AUSTIN,,AUSTIN,MN,"http://www.tbredcarpets.com/,",(507) 433-6440,Richard Huffman,rich@tbredcarpets.com,rich@tbredcarpets.com,,,,,,,,,,,,,,,,,,
STR INC,,SHELBURNE,VT,"www.strquality.com/,",(802) 448-3067,-,-,QAInfo@ul.com,,,,,,,,,,,,,,,,,,
SAV-ON CARPET OF INDIO,,INDIO,CA,"http://www.savoncarpets.com/,",(760) 347-3434,Sal Flores,-,N/A,,,,,,,,,,,,,,,,,,
CAL COAST CARPET WAREHOUSE,,OCEANO,CA,"http://www.calcoastcarpet.net/,",(805) 481-5559,Debbie & Robert Fastlaben,-,N/A,,,,,,,,,,,,,,,,,,
UNIQUE FLOORS & INTERIORS,,MINOCQUA,WI,"http://www.uniquefloorsandinteriors.com,",(715) 356-5114,Bryan and Bonnie Jennings,-,info@UniqueFloorsAndInteriors.com,,,,,,,,,,,,,,,,,,
BEST VALUE FLOORING AND,,BURLINGTON,WI,"www.ifloor.com,",(262) 206-7154,-,-,N/A,,,,,,,,,,,,,,,,,,
CRESTWAY KLASSIC FLOORING,,HODGKINS,IL,"http://www.crestwaysflooring.com/,",(630) 662-0500,Ronald Novotny,-,Mprice@CrestwayFlooring.com,,,,,,,,,,,,,,,,,,
TRI-CITY FURNITURE INC,,AUBURN,MI,"http://www.tricityfurniture.com/,",(989) 662-4446,Lee Killbourn,lee@tm.net,sales@tricityfurniture.com,,,,,,,,,,,,,,,,,,
R E W ENTERPRISES,,SAN ANTONIO,TX,"http://www.sunncarpets.com/,",(210) 349-7866,Jim Coleman,jim@sunncarpets.com,support@sunncarpets.com,,,,,,,,,,,,,,,,,,
THOMPSONS FLOOR COV,,PORTERVILLE,CA,"www.thompsonsfloorcovering.com/,",(559) 781-1404,Mary Kay,thompsonsfloor@sbcglobal.net,thompsonsfloor@sbcglobal.net,,,,,,,,,,,,,,,,,,
BETTER FLOORS,,ALAMOSA,CO,"http://betterfloorsonline.com/,",(719) 589-5552,Rockie Deherrera,,Info@betterfloorsonline.com,,,,,,,,,,,,,,,,,,
LURVEY CARPET SHOP,,MARSHFIELD,MO,"http://lurveycarpet.com/,",(417) 468-5800,Joe & Margaret Lurvey,joe@lurveycarpet.com or joelurvey@msn.com or margaret@lurveycarpet.com,N/A,,,,,,,,,,,,,,,,,,
BIG HORN FLOORS,,BUFFALO,WY,"http://bighornfloors.com/,",(307) 684-7775,Mike Teigen,mike@bighornfloors.com,bobbijo@bighornfloors.com,,,,,,,,,,,,,,,,,,
