name,city,state,postal,phone,website,owner
EASTWOOD CARPET CO INC,SAINT CLAIR SHORES,MI,48080,(586) 773-1110,N/A,AL TOZZI / GARY TOZZI
VILLA CARPETS INC,WARREN,MI,48092,(586) 573-0050,http://www.villacarpet.com,HENRY COLO - DAN COLO
CARPET SALVAGE II,MACON,GA,31211,(478) 745-4435,http://www.carpetsalvageii.com,
PRO-CLEAN ENT.INC.,BOGART,GA,30622,(706) 353-6086,www.carpetsunlimitedusa.com/,
JEFFS CARPETS & LINOLEUM INC.,ROCKLAND,MA,2370,(781) 871-0029,http://jeffscarpets.com/,
DONALDSONS CARPET INC,VANDALIA,IL,62471,(618) 283-3478,www.manta.com/c/mm784xx/donaldson-carpet,NORRIS DONALDSON
LMR INVESTMENT PROPERTIES LLC,WARNER ROBINS,GA,31088,(478) 988-8500,http://acousticalfloorsga.com/,"HARVIE A ""RETT"" WALKER"
INLAND EMPIRE CARPET INC,MURRIETA,CA,92562,(909) 696-5880,N/A,
WOOD'S CUSTOM FLOORS,JACKSON,TN,38305,(731) 660-8660,http://woodscustomfloors.com/,JULIE WOOD
REMNANT CARPET COMPANY,OKLAHOMA CITY,OK,73119,(405) 631-3522,http://www.remnantcarpet.com/,
SAM'S CARPET & FURNITURE INC,SAN JOSE,CA,95122,(408) 238-2298,http://www.samscarpetfurniture.com/,SAM CHANG
J & J CARPET INC.,VIDALIA,LA,71373,(318) 336-8318,http://jandjcarpetla.com/,HAROLD ARCHER
EASY LIVING FLOORING LLC,LUDINGTON,MI,49431,(231) 843-1826,http://www.easylivingflooring.com/,"JEROME KNIZACKY, OWNER"
WISCONSIN WOODWORKS INC,DICKEYVILLE,WI,53808,(608) 568-7700,http://www.wisconsinwoodworksinc.com,DANIEL L JANSEN      PRES
LUMBER ONE HOME CENTER,MAYFLOWER,AR,72106,(501) 470-1122,http://www.lumberonehomecenter.com,JOHN MORTON
QUALITY FLOOR COVERINGS,MELBOURNE,AR,72556,(870) 368-5622,http://localdirectory.azcentral.com/quality+floor+coverings.9.79903051p.home.html,DALE PARISH
JO-MARK INSTALLATIONS INC,CENTEREACH,NY,11720,(631) 737-0638,http://www.jomarkinstallations.com,
"BUILDER CONTRACT SALES, INC.",MURRELLS INLET,SC,29576,(843) 651-3303,http://buildercontract.brandsource.biz/,TIM HELMS
CARPET OUTLET PLUS,BAKERSFIELD,CA,93308,(661) 323-3133,http://www.carpetoutletplus.com,MARK CARROLL
FLOORING FASHIONS INC,O'FALLON,IL,62269,(618) 632-4077,N/A - business closed,
HERITAGE CARPET,POUGHKEEPSIE,NY,12601,(845) 297-3492,http://www.heritage-carpet.com/,
SURFACES INC,ROCK SPRINGS,WY,82901,(307) 382-6907,http://www.surfaces.net/,BILL LITTLE
GOOD'S FLOOR STORE INC.,DECATUR,IL,62526,(217) 875-1551,http://www.goodsfloorstore.com,JAMES EDWARD GOOD
MALLARY CARPET & FLOORING,GLEN BURNIE,MD,21061,(443) 749-0244,http://www.mallarycarpet.com/,JIM MALLARY
"MURPHY, REDMOND PATRICK INC.",CRYSTAL LAKE,IL,60014-6251,(815) 455-4070,N/A,PAT
CERAMIC SURFACES INC,SUGAR HILL,GA,30518,(770) 271-0902,http://www.hillmanflooringanddesign.com/,JAMES
SUN VALLEY CARPET,CONCORD,CA,94520,(925) 827-8788,http://www.sunvalleycarpets.com/,JOSEPH COUTERMARSH/OWNER
ENYART FLOORING,COLDWATER,OH,45828,(419) 678-8777,www.enyartflooring.com,MARK ENYART/OWNER
SOUTHERN INTERIORS & DESIGN,PEMBROKE,NC,28372,(910) 521-8331,N/A,CHARLES
FLOOR CENTER OF TEXAS INC,AUSTIN,TX,78728,(512) 989-7737,http://floorcenterstx.com/,JOELLA BROUSSARD/CEO
WESTERN PACIFIC FLRG CO LTD,SECHELT,CN,V0N 3A0,(604) 885-3582,N/A,PAUL SAUNDERS
STOLLER'S INC.,ORRVILLE,OH,44667,(330) 683-4763,http://www.stollerfloors.com/,DALE STOLLER
J & R CARPET & PAINT CENTER,HEMET,CA,92543,(951) 765-2781,N/A,JERRY WOMACK
"J.L. EDWARDS CO., INC.",GREENFIELD,WI,53228,(414) 543-6543,N/A,JANICE EDWARDS
DUPUY J E FLRING &ACOUSTICAL,MONROE,LA,71211,(318) 343-1737,http://www.jedupuy.com/,
ALLSTAR FLOORING,MOUNT VERNON,IL,62864,(618) 241-9478,N/A,
SUN PRAIRIE BIZ INC,SUN PRAIRIE,WI,53590,(608) 837-6466,N/A,SCOTT OLSON
BOBS AFFORDABLE CARPETS INC,NEW CASTLE,DE,19720,(302) 836-0466,http://www.bobsaffordablecarpets.com/,
MCGRAWS CARPETS,INDEPENDENCE,IA,50644,(319) 334-9355,N/A,
WESTCHESTER CARPETS,TORRANCE,CA,90502,(310) 787-0704,N/A,BILL KATZ
DAVIDS FLOOR COV & SUPPLIES,SILOAM SPRINGS,AR,72761,(479) 524-0043,http://www.davidsfloorcovering.com/default.asp,DAVID GUTHRIE     PRES
DISS INC II,TAYLORVILLE,IL,62568,(217) 824-2555,N/A,JAMES E. DISS OWNER
BLIER FLOORING,DOVER,NH,3820,(603) 516-8453,http://www.blierflooring.com/,JACQUELINE BLIER/PRES
BUFFALOE FLOOR COVERING INC,HOUSTON,TX,77018,(713) 686-3589,http://www.buffaloefloorcovering.com/,LARRY KRISTYNIK
SHOWCASE CARPETS,ALAMOGORDO,NM,88310,(575) 434-1338,N/A,
STARKVILLE FLOORING LLC,STARKVILLE,MS,39759,(662) 615-1404,http://starkvilleflooring.net/,BART WILLIAMS
"MARCHIO TILE AND CARPET, INC.",LOCKPORT,IL,60441,(815) 838-6050,http://marchiotile.com/   not working,MOLLY MARCHIO
GABRIELS CPTS WEST INC,EL PASO,TX,79913,(915) 581-4214,http://www.carpetswest.com/,ANDY
631029 ALBERTA LTD.,SPRUCE GROVE,CN,T7X 2K6,(780) 962-9604,N/A,KENT MIDDLETON
FACTORY TILE INC,SOUTH BEND,IN,46637,(574) 272-7000,http://www.retailflooringstores.com/in/factorytile/,RICHARD LINDZY/PRESIDENT
PERCHA PAINT & WALLPAPER,MOUNT PLEASANT,MI,48858,(989) 773-7046,N/A,"BUD PERCHA, PERCHA"
FRAZEE CARPET & INTERIORS INC,DURHAM,NC,27705,(919) 286-5570,http://www.frazeecarpet.com/,
IMPRESSIVE FLOORS,BEDFORD,PA,15522,(814) 623-0626,http://www.impressivefloors.net,CRAIG PRESS/OWNER
WARDCRAFT HOMES INC,CLAY CENTER,KS,67432,(785) 632-5970,http://www.wardcraft.com/,CAM MCVEAN
J & J ENTERPRISES,MONETT,MO,65708-0037,(417) 235-0016,N/A,
EVANS PAUL CARPETS INC,ODESSA,TX,79761,(432) 334-0418,http://www.goseepaul.com,
EXCLUSIVE CARPETS LTD,WINNIPEG,CN,R2M 3K7,(204) 233-8158,http://www.exclusivecarpets2008.ca/,AL OZE / TAMMY
OSBORNS GEORGIA CARPET,TERRE HAUTE,IN,47802,(812) 234-4423,http://www.osbornsgeorgiacarpet.com/,
CARPET CENTER INC,KISSIMMEE,FL,34741,(407) 846-3726,http://www.carpetandtilecenterinc.com/,RICHARD COUTURE  (DICK)
COMPLETE COMMERCIAL FLOORING,AIEA,HI,96701,(808) 487-8223,http://www.ccfhawaii.com/,RAYMOND OLINGER/VP
FASHION FLOORS OF AUSTIN,AUSTIN,TX,78751,(512) 451-5791,http://www.fashionfloors.com/,
KINGSTON HARDWOOD FLOORING & T,ABBOTSFORD,CN,V2T 4C6,(604) 852-0951,http://www.kingstonfloors.com,CALVIN DALE BOLOTT
J & R INDUSTRIES INC,FARMINGTON,MI,48336,(248) 888-1200,N/A,JERRY DILLARD
OGDENS CARPET OUTLET,DRAPER,UT,84020,(801) 557-7361,http://ogdensflooring.com/draper.html,
DECORATORS CHOICE,HORNELL,NY,14843,(607) 324-6001,N/A,
JOHNSON & SONS CONTRACTORS,KNOXVILLE,TN,37922,(865) 281-0002,http://www.johnsonandsonscarpet.com,RICHARD T JOHNSON/PARTNER
WINKELS CARPET,PERHAM,MN,56573,(218) 346-2924,http://www.winkelscarpet.com/,RICH
THEISS FURNITURE & CARPET,LA GRANGE,KY,40031,(502) 222-9449,http://www.theisshomefurnishings.com/,ROBERT WAYNE THEISS
PRANCING PONY INC,SUTTON,NE,68979,(402) 773-4215,N/A,JOHN CAMPBELL/PRES
R & J CARPET CONNECTION,WHITEHALL,PA,18052,(610) 264-0556,http://randj.flooringplus.com/,PATTY  - ACCTS PAYABLE
FAYETTE FLOOR & WALLCOVERING,FAYETTEVILLE,GA,30214,(770) 461-3549,http://www.fayettefloor.com/,DENISE EXT 207 ONLY SPK
JUBILEE FLOORING & DECORATING,DAPHNE,AL,36526,(251) 625-1700,http://www.jubileeflooringanddecorating.com/,
FLOORING DIRECT,CLAYTON,NC,27520,(919) 359-0420,http://www.claytonflooringdesign.com/flooring.asp,DAVID WOODING JR
SELANDS INC,COON VALLEY,WI,54623-0255,(608) 452-3129,http://www.selandsflooring.com,
CARPET OUTLET INC,PALATINE,IL,60074,(847) 358-3838,N/A,SAME
CARPETILE MORRIS INC,MORRIS,IL,60450,(815) 942-5600,N/A,
ARTISONS FLOOR FASHIONS,EDMONTON,CN,T6E 5C5,(780) 413-4847,http://www.artisonsfloorfashions.com/en/index.php,MICHAEL EXERT
KARPET KORNER PNT& SUP,BATESVILLE,AR,72503,(870) 793-6579,N/A,
HENRY JAMES CARPETING,JAMESTOWN,NY,14701,(716) 484-7682,N/A,
ENCORE FLOORING & BLDG PRODUCT,SPRINGDALE,AR,72764,(479) 361-8900,http://www.encoregroupusa.com,
WESTSIDE ROLLING CARPETS,MADISON,WI,53716,(608) 221-7847,N/A,ROBERT WALGENBACH
3-B CARPET & FLOOR COVERING,PARKERSBURG,WV,26101,(304) 485-7847,N/A,WILLIAM C PARRISH
INTERIOR HOME FURNISHINGS,BAD AXE,MI,48413-9016,(989) 269-9509,http://interiorhomefurnishings.com/,JAMES JUSTIN/PRES
FLOOR STORES OF AMERICA INC,LA PORTE,IN,46350,(219) 326-7011,N/A,JAMES ROY
FIRST CHOICE FLOORCOVERING,CANTON,MI,48187,(734) 981-3000,N/A,CARL SCHMIDT (PRESIDENT)
LOCATION CARPET COMPANY INC,WICKLIFFE,OH,44092,(440) 392-2000,http://www.locationcarpet.com,TERRY SCHNEIDER
CLEMMONS CARPETS,CLEMMONS,NC,27012,(336) 766-8110,http://clemmonscarpets.com/,DOUG JOHNSEN
SAV-ON FLOORING INC,ANCHORAGE,AK,99503,(907) 561-5900,http://www.savonak.com/,MATTHEW HICKEY
WINDOWS WALLS 'N' FLOORS,RIDGECREST,CA,93555,(760) 446-2204,http://www.windowswallsnfloors.com/,SUZANNE FORD/OWNER
FLOORING SOURCE LLC,FRIENDSWOOD,TX,77546,(281) 992-7373,http://www.myflooringsource.net,RICHARD MATHEWS/PRES
CARPET WAREHOUSE SAVER INC,OAKTON,VA,22124,(703) 352-0042,N/A,ARMANI MAHOOZI
VERHEY CARPETS EAST INC,GRAND RAPIDS,MI,49506,(616) 459-7344,http://www.verheycarpets.com,DAVID VERHEY
"CORNERSTONE INTERIORS, INC",SANTA CLARITA,CA,91350,(661) 259-8635,http://www.carpetclearancecustomflooringcenter.com/,SAME
QUALITY FLOORS,WEST PLAINS,MO,65775,(417) 255-1727,http://www.qualityfloorswestplains.net/,CHUCK & CHERIE HOLMES
US SEWING CENTER,SANTA MARIA,CA,93454-2240,(805) 922-5738,N/A,MORRIS SHULMAN
MIDSTATES FLOORING & FURN CO,BROOKINGS,SD,57006,(605) 697-6333,http://www.midstatesflooringcenter.com/,
WHITE RIVER FLOORING INC,SEARCY,AR,72143,(501) 268-5370,http://www.whiteriverflooring.com,WAYLON REEVES/PRES
TOTAL FLOORING INC,HOMER GLEN,IL,60491,(708) 301-4142,http://www.totalflooringinc.com/,DAVID ALO
QUALITY CARPET & FLOORING,LANSING,IL,60438,(708) 474-9565,http://qualitycarpetsandfloors.com/,
BADGERLAND FLOORING OF,RICHLAND CENTER,WI,53581,(608) 649-3567,http://www.badgerlandflooring.com/,
ASHTON'S FLRCOVERING CTR LTD,SALMON ARM,CN,V1E 4N7,(250) 832-0500,N/A,
CARPET GALLERY INC THE,GOSHEN,IN,46526,(574) 534-1177,N/A,
FASHION STORE INC,GIBSON CITY,IL,60936,(217) 784-4830,http://www.thefashionshopinc.com/,
"TREND CARPETS, INC.",GLENDALE HEIGHTS,IL,60139,(630) 893-4470,http://www.trendcarpettile.com/,
ARMSTRONG FLOOR & WALL,DEMING,NM,88030,(575) 546-2643,N/A,
SLOANS FLOORCOVERING INC,LONGVIEW,WA,98632,(360) 575-8055,http://sloansfloorcovering.brandsource.biz/,JOE SLOAN/PRES
MONTGOMERYS FURNITURE OUTLET,MADISON,SD,57042,(605) 256-4000,http://montgomerysfurniture.com/,HARLEY
SANFORD CARPET INC,SANFORD,FL,32773,(407) 322-3241,http://sanfordcarpet.com/,
SOUTHERN CPTS OF TEXAS,NASH,TX,75569,(903) 832-3555,N/A,"NANCY,ANNETTE."
FRANKLIN RICH ENT INC,LAFAYETTE,IN,47905,(765) 447-5520,N/A,RICHARD FRANKLIN
INTERIOR DREAMS,PAGOSA SPRINGS,CO,81147,(970) 731-4101,N/A,LEON CUNNINGHAM/OWNER
GEORGIA QUALITY CPT OTLT,HOLLY,MI,48442,(248) 634-0400,http://www.georgiaqualitycarpetoutlet.com/,SAME
CARPET SOURCE PLUS INC,NORTHWOOD,OH,43619,(419) 697-4439,http://carpetsourceplus.com/,JACK LYNCH PRES
J B CARPET BARN,LOUISVILLE,KY,40272,(502) 933-8900,http://www.jbscarpetbarn.com/,
FATHER & SON'S CARPET LLC,VERO BEACH,FL,32967-1559,(772) 569-5457,http://www.carpetverobeach.com/,TIM JOBE/PRES
HIXSON CARPET & TILE,HIXSON,TN,37343,(423) 843-3324,N/A,BILL MYRICK
ADAM J FLOORING CO INC,COLLEGEVILLE,PA,19426,(610) 831-5942,N/A,ADAM J KASOPSKY
ADVANCED CARPET & FLOORING,GREENBRIER,AR,72058,(501) 679-0641,N/A,STEVE JONES/PRES
PRINCETON CARPET INC,PRINCETON,IL,61356,(815) 879-0005,http://www.wyanetcarpet.com/,HARRY T BURROWS - PRES
BROWNS FURNITURE,LIBERAL,KS,67905,(620) 624-3482,http://brownsfurnitureliberal.com/Home/tabid/14865/Default.aspx,ALAN BROWN
SMULEKOFF FURNITURE CO INC,CEDAR RAPIDS,IA,52407-4090,(319) 362-2181,http://www.smulekoffs.com/,
TOWN & COUNTRY CPT AND FLRCOV,MAPLE GROVE,MN,55369,(763) 533-2486,http://www.townandcountrycarpet.net/,LUCAS FARRAND/OWNER
CARPET CENTRAL FLRNG CTR INC,SALINA,KS,67401-7412,(785) 827-8755,http://www.salinafyi.com/marketplace/businesses/carpet-central/,STEVEN FITZGERALD/PRES
WESTCO SERVICES INC,BELLEVUE,WA,98005,(425) 747-2205,http://www.westcofloors.com/,"BILL,LINDA,MARK & BILL JR"
SHANNON ENTERPRISES INC,FAIR OAKS,CA,95628,(916) 416-3203,http://www.vacantinteriors.com/,DON SHANNON
MESQUITE TILE & FLOORING,MESQUITE,NV,89027-5138,(702) 346-7225,http://www.mesquitetile.com/,CARROLEE
STANDALE CARPET & FURNITURE,GRAND RAPIDS,MI,49534,(616) 453-8201,http://www.standaleinteriors.com/,
CARPET MAN INC THE,CUMBERLAND,IN,46229,(317) 894-0000,N/A,
ALLEN'S CARPET,HANNIBAL,MO,63401-5438,(573) 221-0107,http://www.allenscarpetinc.com/,
HINES SITE GROUP INC,PITTSFIELD,MA,1201,(413) 443-6459,http://www.stevensworldofflooring.com/,WILLIAM MURRAY/PRES
CF CENTER LLC,STUART,FL,34994,(772) 781-6220,N/A,NICHOLAS ELLIOTT/CFO
ELDRIDGE POLLARD SALES,SEBRING,FL,33870,(863) 385-6654,N/A,ELDRIDGE POLLARD/OWNER
CARPET WHOLESALE OUTLET,BLUEFIELD,WV,24701,(304) 327-8020,N/A,FRANK MAMONE
FLOORS AND MORE DESIGNS,ELWOOD,IN,46036,(765) 552-3830,http://www.floorsandmoredesign.com/,"THERESA CLYMER, OWNER"
NATIONWIDE CARPET & RUGS,ROCHELLE PARK,NJ,7662,(201) 226-9676,http://nationwidecarpetandrugs.com,DAVID MCMORROW/PRES
SOLO FLOORING INC,ALEXANDRIA,VA,22309,(703) 780-1970,http://www.soloflooring.com/,JOCELYN PONCE-LOPEZ
SABLOTNY PAINT & FLOOR,JACKSONVILLE,IL,62650,(217) 245-1571,http://www.sablotnyfloors.com/,
CARPET-N-THINGS OF YUCCA VLY,YUCCA VALLEY,CA,92284,(760) 228-1841,N/A,
FLOORING EXPRESS INC,COOPER CITY,FL,33328,(954) 437-4116,N/A,
L & P CARPET INC,ANNA,IL,62906,(618) 833-8913,http://www.lpcarpet.com/,PATSY CHILDERS/PRESIDENT
TOWNES & WEAR INC,PARIS,TX,75460,(903) 785-6491,http://smithcarpetsparis.com/,BOBBY WEAR
CREATIVE CARPET BY HEFFRON INC,FRAMINGHAM,MA,1702,(508) 626-9353,http://www.creativecpt.com/index.htm,
WARRENS PAINT & DECORATING,WEBSTER,NY,14580,(585) 671-6400,http://warrensdecorating.com/,
CHURCHS CARPET INC,HICKORY,NC,28602,(828) 327-0404,http://churchscarpet.com/,PAM NORRIS
ENGRAVS DECORATING CENTER,WINONA,MN,55987,(507) 454-6737,http://www.engravs.com/,MARV
ROYAL FLOORS,FARMINGTON,NM,87401,(505) 327-0476,http://www.royalfloorcompany.com/,
THOROUGHBRED CARPETS OF AUSTIN,AUSTIN,MN,55912,(507) 433-6440,http://www.tbredcarpets.com/,
TRUDEL FLOORING INC,WARREN,MI,48088,(586) 774-7590,http://www.trudelflooring.biz/,BERNARD T ADAMSKI/PRES
NATIONWIDE FLOOR & WINDOW,MONUMENT,CO,80132,(719) 487-7767,N/A,RICHARD CARSON/PRES
BLUE RIBBON CARPET SALES INC.,BURBANK,CA,91502,(818) 845-5614,http://www.blueribboncarpetsalesinc.com/,
KEY TRUCK LEASING INC,MOUNT WASHINGTON,KY,40047,(502) 955-1655,N/A,RON BARNETT
KINGDON'S TV & HOME CTR*MLD/MB,WATSEKA,IL,60970,(815) 432-5448,N/A,KEN & BOB KINGDOM
MODERN FLOOR COVERING,OSKALOOSA,IA,52577,(641) 672-2303,http://www.modernfloor.net/,DENNIS BRYAN/OWNER
ACTION FLOORING KINGSTON,KINGSTON,CN,K7M 5V7,(613) 634-3657,http://www.actionflooringkingston.com/,ALAN THOMSON/BILL WILSON
PEASE CUSTOM FLOORS,SMITHVILLE,TX,78957,(512) 360-5553,http://www.peasecustomfloors.com/Home_Page.html,GRANT PEASE        OWNER
HAGEWOOD ENTERPRISES INC,SHERWOOD,AR,72120,(501) 833-9510,N/A,BRIAN HAGEWOOD/PRESIDENT
THE CARPET MARKET,BELOIT,WI,53511,(608) 362-2077,http://www.carpetmarket.net/ -,JAY C TOUBL/ OWNER
INKROTE FLOORS INC,GRANTS PASS,OR,97526,(541) 476-2164,http://www.inkrotefloors.com,WILLIAM W. INKROTE PRES
IRAUST CORPORATION,CLIFFSIDE PARK,NJ,7010,(201) 941-9505,N/A,LYNNE NESBIHRL
VANDEHAAR CARPETS,CALEDONIA,CN,N3W 1M6,(905) 765-5525,http://www.vandehaarflooring.com/,STAN BREZNICAR
HAMRE'S INC.,STAFFORD,TX,77477,(281) 494-9200,http://www.hamresfloors.com/,
PAINT & GLASS INTERIORS,THIEF RIVER FALLS,MN,56701,(218) 681-3012,N/A,DALE DILLON
WESTCOTT HINDMARSH DIST CO,HARVEY,IL,60426,(708) 331-6177,http://www.walkertile.com/,
WRIGHTS CARPET INC,SWANNANOA,NC,28778,(828) 298-1142,http://www.wrightscarpet.com/,SAME
CAVIN ENTERPRISES INC,ASHLAND,KY,41101,(606) 324-0260,N/A,
EXTREME FLOORS OF CAMERON INC,CAMERON,MO,64429,(816) 632-8200,http://www.extreme-floors.com/,BART WALKER
SHAWS CARPETS INC,FREDERICKSBURG,VA,22408,(703) 680-4021,http://shaws.brandsource.biz/,CHRISTINA SHAW
AVANT-GARDE CARPET & FLRS INC,WALDORF,MD,20603-4758,(301) 893-5600,www.avantgardecarpet.net,JIM RAHAI
CARPET & FLOORS MARKET INC,WALDORF,MD,20603,(301) 374-9992,http://www.carpetandfloorsmarket.com/,RAMIN GHODS
ABOUT ALL FLOORS,BIRDSBORO,PA,19508,(610) 385-7847,http://aboutallfloors.brandsource.biz/,THOMAS HEFFNER
FAMILY FLOORING LLC,CHESAPEAKE,VA,23321,(757) 548-4545,http://www.familyflooring.net,
BAILEY LUMBER & SUPPLY CO,GULFPORT,MS,39506-6039,(228) 896-6071,http://www.baileylumber.com,GAYE STANCEL
TONYS FLOORCOVERING INC.,PUEBLO,CO,81004,(719) 564-9640,http://www.tonysfloorcoverings.com/,ANTHONY ESPINOZA
"CARPET CITY EXPRESS, INC.",COON RAPIDS,MN,55448-1205,(763) 421-8660,http://www.carpetcitymn.com,DEWEY
AKERS DISTRIBUTORS INC.,AUBURN,ME,04210-3612,(207) 784-1511,N/A,CLIFFORD M. AKERS JR-PRES
CARPETS OF URBANA,URBANA,OH,43078,(937) 653-7770,http://www.carpetsofurbana.com/,STEVE JACOBS
NU FLOOR INC,TUSCALOOSA,AL,35401,(205) 343-2200,http://www.nu-floors.com,JEFFERY
HARTTER INTERIORS,ROANOKE,IL,61561,(309) 923-7355,N/A,SAME
TOWN SQUARE FLOORS,GEORGETOWN,TX,78626,(512) 863-2867,www.townsquarefloors.com,"SALES;HARRIET, DELISE"
M & M CARPET ENTERPRISE INC,MANASSAS,VA,20111,(703) 368-5533,N/A,
ORGAIN BUILDING SUPPLY,CLARKSVILLE,TN,37041,(931) 647-1567,www.orgainbuilding.com,SCOTT KEY
ADAIR FLOORS N MORE INC,FRANKLIN,WI,53132,(414) 761-3660,www.adairfloors.com,
VOLUNTEER FLOOR COVERING,ROAN MOUNTAIN,TN,37687,(423) 772-4947,http://volfloorcovering.com/,JOHN EDNEY
EARLYS CARPET INC,AMISSVILLE,VA,20106,(540) 937-5500,http://www.earlyscarpetinc.com/,SAME
STRAND'S INC,MARSHALLTOWN,IA,50158,(641) 752-5451,http://www.strandsinc.com,
"L.J.M. INVESTMENTS, INC.",EUREKA,CA,95503,(707) 442-2987,N/A,JERRY
STEVENS FLOOR COVERINGS,GAINESVILLE,TX,76240,(940) 665-0318,http://www.stevensfloorcoverings.com,GARY ENDRES
CARPET WORLD OF COLO SPRINGS,COLORADO SPRINGS,CO,80915-1211,(719) 531-0402,http://www.carpet-world.net/,SAME
ARMANDS CARPET & LINO,FALL RIVER,MA,2724,(508) 679-2745,http://www.armandscarpets.com/,PATRICIA O'BRIEN
WHOLESALE CARPET,TOMAHAWK,WI,54487,(715) 453-4248,N/A,ARTHUR ZIETLOW
CARPETMAN,MILTON,PA,17847,(570) 742-3733,N/A,JON J CAMPTON
A C S ONE INC,MACHESNEY PARK,IL,61115,(815) 633-4101,http://www.carpetrockford.com/,
CHATHAM RUG CO INC,CHICAGO,IL,60643,(773) 238-0200,http://www.chathamrug.com/,JIM KATZMANN
CITY SALVAGE INC,LAUREL,MS,39441-6524,(601) 428-4195,N/A,LARRY W LOFTIN/PRES
FREEBURG HOME CENTER,FREEBURG,MO,65035,(573) 744-5405,http://www.freeburghomecenter.com,MIKE WILDE-PRES
HILLS INTERIORS INC,BELLE FOURCHE,SD,57717,(605) 892-2904,N/A,
OZARK FLOORING,POPLAR BLUFF,MO,63901,(573) 785-1111,N/A,LEE COTRELL-OWNER
STOUTS CARPET INC,NEW ALBANY,MS,38652,(662) 534-7450,http://stoutscarpetms.com/,RUBY
NEW LOOK FLOOR COVERINGS INC,NEW LENOX,IL,60451,(815) 485-5665,http://newlookfloors.net/,
JD KRANE INC,PHARR,TX,78577,(999) 999-9999,http://www.jdkrane.com/,
WATTS & WEBB FLR COV INC,HARRISON,AR,72601,(870) 741-2142,N/A,
QUALITY CARPETS,DEL RIO,TX,78840,(830) 768-1667,http://www.qualitycarpettile.com/,ELISEO RODRIGUEZ-OWNER
FREDERICK FURNITURE INC,GRUNDY CENTER,IA,50638-1439,(319) 824-5235,http://www.frederickfurnitureinc.com,H CRAIG FREDERICK
KARPET KORNER INC,WENATCHEE,WA,98801,(509) 662-3428,N/A,
JAMES BROS CARPET & TILE INC,BUNNELL,FL,32110,(386) 445-4050,http://www.jamesflooring.net/,C.E. JAMES
STEINER FURNITURE CO,CISSNA PARK,IL,60924,(815) 457-2611,N/A,EDWARD STEINER/PRESIDENT
BROTHERS FLOORING,ROCK FALLS,IL,61071,(815) 535-9226,N/A,KEITH GRELL
CARPET & DESIGN EMPORIUM LTD,LYNBROOK,NY,11563,(516) 256-2800,www.cptemp.com,SIZ TORBATI
NOVA FLOORING WHOLESALERS,CHANTILLY,VA,20151,(703) 449-5900,http://www.novaflooring.com,
FLOOR SYSTEMS INC,HUNTINGTOWN,MD,20639,(410) 257-7380,http://www.floorsystems.net,ROGER MURPHY
WILMINGTON CARPETS INC,WILMINGTON,OH,45177,(937) 383-1077,http://www.wilmingtoncarpets.com/,CHARLES AUTRY
CARPET & BLINDS CENTER,ASHBURN,VA,20146,(703) 378-7400,http://www.carpetandblindscenter.com/,ALEX
LEHMAN DECORATING CENTER,CARLSBAD,NM,88220,(575) 885-1803,N/A,
MADISON PAINT & DEC CTR INC,MADISON,AL,35758,(256) 430-4343,http://www.madisondeccenter.com,
LEGATE DISCOUNT FURN,MADISONVILLE,KY,42431,(270) 821-2050,http://www.legatefurnitureworld.com/,"DAVIS LEGATE, PRESIDENT"
MICHAELS FLOOR COVERINGS,FORT WAYNE,IN,46815,(260) 486-3131,http://www.michaelsfloorcovering.com/,SAME
DISCOUNT FLOORING,PETOSKEY,MI,49770,(231) 487-0096,N/A,DON HOWELL-OWNER
PRESCOTT FLOORS INC.,PRESCOTT,AZ,86305,(928) 771-9121,http://www.prescottfloors.com/,PEGGY HURST
CARPET MILL DISCOUNTERS,COCKEYSVILLE,MD,21030,(410) 666-0101,http://www.carpetmilldiscountersinc.com,ROB LAWRENCE
FLOORS N MORE,LUFKIN,TX,75904,(936) 699-4530,N/A,ROBERT D. POWERS-OWNERS
ELCO FLOOR COVERINGS INC,MYERSTOWN,PA,17067,(717) 866-1368,http://www.elcofloor.com/,RONALD DIEM
REDEKER FURNITURE CO,BOONE,IA,50036,(515) 432-5523,http://www.redekers.com,
TORBIT DECORATING SHOPPE,HIGHLAND,IL,62249,(618) 654-4305,N/A,CHARLES TORBIT
FLINT CARPET CO,FLINT,MI,48507,(810) 732-5210,http://www.flintcarpetco.com,JERALD ROSENBURG
CARPET CORNER INC,NEW ALBANY,IN,47150,(812) 948-0755,http://carpetcorner602.com/index.html,MIKE & HANSON
INDEPENDENT FLOOR COVERING,FORT GRATIOT,MI,48059,(810) 984-4196,http://www.independentfloor.com/,THOMAS C THIELE      PRES
LEGACY FLOOR COVERING,AMARILLO,TX,79109,(806) 331-0094,http://legacyfloorcovering.com,RICHARD J WALDERS
TOWNE CARPET & FLOORING INC,ONEONTA,NY,13820,(607) 433-2222,N/A,
BAXLEY CARPET CO.,STATESBORO,GA,30461-6814,(912) 764-5033,N/A,
"ISABELLA FLOORING, INC.",LAKE ISABELLA,CA,93240,(760) 379-4427,http://www.isabellaflooring.com,
MIKE'S FIVE STAR FLOORING INC,LEXINGTON,NE,68850,(308) 537-2827,N/A,
CARPETLAND,LIVERMORE,CA,94551-7615,(925) 455-7200,http://www.carpetlandflooring.com/,
DONS CARPET CENTER,WASHINGTON,IN,47501,(812) 254-6635,N/A,
