name,owners,address,city,state,postal,phone,websites,,
FLOORING CANADA OTTAWA,Les Galko,726 INDUSTRIAL AVE,OTTAWA,Ontario,K1G 0Y9,(613) 247-3737,http://www.flooringcanada.ca,,
"FLOORING DESIGN GROUP, INC",Greg Kenith,3230 OAK CLIFF INDUSTRIAL ST,DORAVILLE,Georgia,30340,(770) 454-7110,http://www.flooringdesigngroup.com,,
FLOORING RESOURCES CORPORATION,Keith Krueger,600 W PRATT BLVD,ELK GROVE VILLAGE,Illinois,60007,(847) 640-7300,http://flooringresources.com,,
FLOORING SERVICES,Bruce Reeve,12815 WAYNE RD,LIVONIA,Michigan,48150,(734) 522-2622,http://flooringservices-inc.com,,
FLOORMASTERS,Don Lau,1678 DELTA COURT,HAYWARD,California,94545,(510) 476-1000,http://www.floormastersinc.com,,
FLOORS BY BECKERS,John Becker,805 1ST ST NW,NEW BRIGHTON,Minnesota,55112,(651) 636-1100,,,
FLOORTEC NORTH COAST,Arthur Cappelen,PO BOX 8088,EUREKA,California,9008,(707) 442-6423,,,
"FLOORWORKS, INC / FLOORING AMERICA",James Heiderich,3605 NE 45TH ST,SEATTLE,Washington,98105,(206) 306-0200,http://www.flooringamericaseattle.com,,
FOCAL POINT FLOORING,Bruce Busch,5358 QUAM CIRCLE NE,ST MICHAEL,Minnesota,55376,(763) 497-6363,http://www.builderscarpetdesigncenter.com,,
FRIENDS FLOOR COVERING INC,Hamed Shaat,350 N YORK RD,WARMINSTER,Pennsylvania,18974,(215) 444-0424,http://www.friendsfloorcovering.com,,
"FRYER-KNOWLES, INC",Susan Bittner,205 S DAWSON ST,SEATTLE,Washington,98108,(206) 776-7770,http://www.fryerk.com,,
"G. B. SALES, INC",Ken Hilton,7720 KENSAMAR CT,SAN DIEGO,California,92121,(858) 571-3600,http://www.gbsales.net,,
"GAETANO HARDWOOD FLOORS, INC",Rick Larson,7071 KEARNY DR,HUNTINGTON BEACH,California,92648,(714) 536-6942,http://www.gaetanoinc.com,,
GARDNER FLOOR COVERING,Catherine Siegmund,PO BOX 11290,EUGENE,Oregon,97401,(541) 485-6984,http://www.gardnerfc.com,,
"GARY'S CARPETING, INC",Gary Suarez,"182 GRANITE, STE 102-C",CORONA,California,1288,(951) 272-8210,http://www.garyscarpeting.com,,
GLENDALE CARPET ONE FLOOR & HOME,Bruce Bell,1203 S CENTRAL AVE,GLENDALE,California,91204,(818) 243-4251,http://www.c1glendale.com,,
GOLD RIVER FLOORS CARPET ONE,Jeff Krekelberg,"11367 PYRITES WAY, STE A",RANCHO CORDOVA,California,95670,(916) 638-5563,http://www.goldriverfloors.com,,
GRADYS SUPERIOR INC,Troy Bryant,218 S BERKELEY CIR,FULLERTON,California,92831,(714) 447-1474,http://www.gsi2000.net,,
GREATER SEATTLE FLOORS,Paul Mosher,114 S FINDLAY ST,SEATTLE,Washington,98108,(206) 763-7004,http://www.gsfloors.com,,
"GREEN STEP FLOORING, INC",Janar Tsaro,1426 HUNTLY CT,CARY,North Carolina,27511,(919) 795-8746,http://www.greenstepflooring.com,,
HAIG PEDIAN,Haig Pedian,7 THREE LAKES RD,BARRINGTON HILLS,Illinois,60010,(847) 381-5525,,,
HARDWOODS OF NASHVILLE,Harold Johnson,P O BOX 331235,NASHVILLE,Tennessee,37203,(615) 321-9663,http://hardwoodsofnashville.com,,
HERITAGE CARPETS & INTERIORS,Dennis Crowley,2501 W PHELPS RD,PHOENIX,Arizona,85023,(602) 943-8599,http://www.heritageinteriors.com,,
HILLER'S FLOORING AMERICA,Rob Elder,PO BOX 6307,ROCHESTER,Minnesota,55903,(507) 288-1766,http://www.hillercarpet.com,,
"HILLSIDE FLOOR COVERING, LLC",Amy Geppert,9725 160TH ST E,PUYALLUP,Washington,98375,(253) 848-4318,http://www.Hillsidefloorcovering.com,,
HOEM & ASSOCIATES,Russ Hoem,951 LINDEN AVE,S SAN FRANCISCO,California,94080,(650) 871-5194,http://www.hoemassociates.com,,
HOUSE OF CARPETS / CARPET ONE,Robert Kerr,1120 McHENRY AVE,MODESTO,California,95350,(209) 523-5664,,,
"INTERIOR CONCEPTS, INC",Jason Doughty,4444 S 34TH ST,PHOENIX,Arizona,85040,(480) 967-1384,http://www.interiorconceptsaz.com,,
INTERIOR DESIGN SERVICES,Matt McGuinness,"2000 MCKINNON ST, STE 427-15",SAN FRANCISCO,California,94124,(415) 282-0900,,,
"INTERIORS, LLC",Ron Foster,PO BOX 9493,YAKIMA,Washington,98909,(509) 453-2642,http://www.interiorsllc.com,,
ISABELLA FLOORING,Brad Welsh,PO BOX 551,BODFISH,California,93205,(760) 379-4427,http://www.isabellaflooring.com,,
"ISENSEE FLOORCOVERING, INC",Steve Lee,1532 E MAIN ST,VENTURA,California,93001,(805) 648-5333,http://www.isenseefloorcovering.com,,
"J K P, INC",Peter Schurkman,1435 S VERNON ST,ANAHEIM,California,92805,(714) 563-1121,http://www.jkpflooring.com,,
J M PROFLOORING SERVICES LLC,Jesus Ramos,2006 THORNBUSH PL,BRANDON,Florida,33511,(813) 520-3027,,,
J. B. WOODWARD FLOORS INC,Sharon Wollman,6968 INDIANA AVE,RIVERSIDE,California,92506,(951) 683-5149,http://www.jbwoodwardfloors.com,,
"J. W. FLOOR COVERING, INC",John Wallace,9881 CARROLL CENTRE RD,SAN DIEGO,California,4554,(858) 530-2901,http://www.jwfloors.com,,
JONATHAN C. TRIVERS,Jon Trivers,5105 LAGO VISTA WAY,PARADISE,California,95969,(902) 837-4738,,,
"KAUAI FLOORS, INC",George Fern,2956 AUKELE ST,KAUAI,Hawaii,96766,(808) 245-3503,http://www.kauaifloors.com,,
KERNS CARPET ONE HOME & FLOOR,Bill Kerns,6661 W MILL RD,MILWAUKEE,Wisconsin,53218,(414) 358-1925,http://www.kernscarpets.com,,
"L & L COMPANY, THE",Michael Geisler,7459 MASON KING CT,MANASSAS,Virginia,20109,(703) 881-7100,http://www.thelandlcompany.com,,
L & M CARPET ONE,Morris Shelton,6156 MECHANICSVILLE TURNPIKE,MECHANICSVILLE,Virginia,23111,(804) 730-3016,http://www.carpetone.com,,
"L & R ENTERPRISES, INC",Anthony Crisalli,5011 LAWRENCE PLACE,HYATTSVILLE,Maryland,20781,(301) 927-2030,http://lrfloors.com,,
LAMBERT & SONS FL\COVERING CO,Nathan Lambert,695 McGLINCEY LN,CAMPBELL,California,95008,(408) 371-2630,http://www.lambertfloors.com,,
"LANSING LINOLEUM CO, INC",Mark Urell,7307 SE FOSTER RD,PORTLAND,Oregon,97206,(503) 777-3333,http://www.lansinglinoleum.com,,
"LERCH'S FLOORING & TILE COMPANY, INC",Bob Lerch,PO BOX 14457,TUMWATER,Washington,4457,(360) 753-6581,http://www.lerchsflooring.com,,
"LES' CARPET & DRAPERY INSTALLATION, INC",Leslie Kumiji,796 HINANO ST,HILO,Hawaii,96720,(808) 935-9690,,,
"LINOLEUM & CARPET CITY, INC",Tony Caruso,1426 W FRANCIS,SPOKANE,Washington,99205,(509) 326-9431,http://www.spokanefloors.net,,
"LINOLEUM CITY, INC",Frederick Stifter,4849 SANTA MONICA BLVD,LOS ANGELES,California,90029,(323) 469-0063,http://www.linoleumcity.com,,
"LONG HUA USA, INC",Ling Qin,PO BOX 88153,TUKWILA,Washington,98138,(206) 438-3025,http://www.ifloor.com,,
MAC CHEYNE'S CARPETS PLUS,John MacCheyne,2060 PEGER RD,FAIRBANKS,Alaska,99709,(907) 479-9193,http://www.macsplus.net,,
"MARCHIO TILE & CARPET, INC",Jim Wartenberg,910 S STATE ST,LOCKPORT,Illinois,60441,(815) 838-6050,http://www.cityofjoliet.com,,
MARK BISESE,Mark Bisese,1826 FRINGER TRAIL,BUCHANAN,Virginia,24066,(540) 330-4485,,,
METRO CARPETS,Frank Jones,1525 ELM HILL PIKE,NASHVILLE,Tennessee,37210,(615) 228-6477,http://www.metrocarpets.com,,
MEUTH CARPET & SUPPLY INC,Mary Meuth,936 8TH ST,HENDERSON,Kentucky,42420,(270) 826-6281,http://www.meuthcarpets.com,,
MICHAEL CATALDO FLOOR COVERING,Michael Cataldo,54 SKYLINE DR,EAST HAMPTON,Connecticut,6424,(860) 306-8225,,,
MILLER'S INTERIORS CARPET ONE FLOOR & HOME,Cindy Webster,PO BOX 1116,LYNNWOOD,Washington,98046,(425) 743-3213,http://www.millersinteriors.com,,
MR SANDLESS,Grant Telleri,5 MILL END RD,WHITEHOUSE STATION,New Jersey,8889,(908) 534-0401,http://www.mrsandless.com,,
NAGL FLOOR COVERING,David Deyoung,HWY 99 E & LIBERTY,AURORA,Oregon,97002,(503) 678-1258,http://www.naglfloor.com,,
"NASHVILLE CARPET CENTER, INC",Van Gilmore,515 4TH AVE S,NASHVILLE,Tennessee,37210,(615) 244-9591,http://www.nashvillecarpet.com,,
NASSAU HARDWOOD FLOORING CORP,Robert Hoenig,256 NEW HYDE PARK RD,GARDEN CITY,New York,11530,(516) 637-2412,,,
NEMETH FLOOR COVERING,Mark Nemeth,11159 GAYNOR AVE,GRANADA HILLS,California,91344,(818) 368-8397,,,
"NEVADA CONTRACT CARPET, INC",Steve Bucher,6840 W PATRICK LANE,LAS VEGAS,Nevada,89118,(702) 362-3033,http://www.nccfloors.com,,
"NEW YORK COMMERCIAL FLOORING, INC",Diane Springer,1770 EMERSON ST,ROCHESTER,New York,14606,(585) 647-1200,http://www.nycf.net,,
NORMAN CARPET ONE,Brian Norman,PO BOX 73,MARION,Illinois,62959,(618) 993-3034,http://www.carpetone.com,,
"OLSON FLOOR COVERING, INC / CARPET ONE",Galen Olson,PO BOX 607,WAUSAU,Wisconsin,607,(715) 359-9221,http://www.carpetone.com,,
ONSITE DESIGN,Joelyn Frawley,1769 W UNIVERSITY DR #177,TEMPE,Arizona,85281,(480) 966-4787,http://www.onsitedesign.com,,
PANDO FLOORING,John Pando,6826 S MACDILL AVE,TAMPA,Florida,33611,(813) 902-8453,http://www.pandoflooring.com,,
PARK AVE FLOOR SERVICES,Ed Labelle,6209 190TH ST,SURREY,British Columbia,V3S 8S4,(604) 575-0708,,,
"PARKERS HARDWOOD, INC",Mike Reissig,906 MAXWELL LN,COLORADO SPRINGS,Colorado,80909,(719) 244-6650,,,
PATRIOT FLOOR COVERING,Sean Snovak,1839 S ORANGE BLOSSOM TRAIL,APOPKA,Florida,32703,(407) 814-1777,http://www.patriotfloorcovering.com,,
PETERSEN'S FLOORING & DESIGN,James Petersen,4217 S MASON ST,FORT COLLINS,Colorado,80525,(970) 226-5343,http://www.petersensflooringanddesign.com,,
PINNELL'S CARPET ONE - ANGELS CAMP,Dan Pinnell,PO BOX 808,ANGELS CAMP,California,95222,(209) 736-8077,http://www.carpetone.com,,
PINSON'S INC,Jim Pinson,PO BOX 647,ROME,Georgia,30162,(706) 291-0081,http://www.pinsons.com,,
POPP ENTERPRISES,Jeff Popp,"3694 S 500 W, STE C",SALT LAKE CITY,Utah,84115,(801) 652-1042,,,
PROFESSIONAL FLOORING AND DESIGN INC,Carolyn Daniels,"5016 FORNI DR, STE F",CONCORD,California,94520,(925) 671-2556,http://www.professionalflooringconcord.com,,
PROFLOOR LLC,Rob Walker,3700 OAKCLIFF RD,DORAVILLE,Georgia,30340,(770) 797-2765,http://www.profloorsllc.com,,
PROSOURCE OF BREVARD,Kim Quinlivan,5095 INDUSTRY DR,MELBOURNE,Florida,32940,(321) 254-1488,http://www.prosourcefloors.com,,
PROSOURCE OF OXNARD,Scott Wening,701 DEL NORTE BLVD STE 225,OXNARD,California,93030,(805) 983-1314,,,
R & R FLOORS LLC,Richard Diamond,48 ITHACA AVE,ATLANTIC BEACH,New York,11509,(516) 239-6822,,,
"RATHBUN HARDWOOD FLOORS, INC",Bryan Rathbun,16640 FIREBRICK DR,PARKER,Colorado,80134,(303) 648-9184,http://www.rathbunhardwoodfloors.com,,
RAY'S CARPETS,Raymond Hirayama,7316 NUULOLO ST,HONOLULU,Hawaii,96825,(808) 833-7911,,,
"RELIABLE FLOORING CONTRACTOR, LLC",Juan Villamizar,102 CHERRY ST,EAST HARTFORD,Connecticut,6108,(860) 289-9400,http://reliableflooring.com,,
RIVERSIDE INTERIORS,Mike Gallatin,PO BOX 170,PACIFIC,Washington,98047,(253) 929-6541,http://www.riversideinteriors.biz,,
"ROD NICHOLAS FINISHING TOUCH, INC",Susan Nicholas,18311 BOTHELL-EVERETT HWY #220,BOTHELL,Washington,5234,(425) 486-9030,http://www.ftfloors.com,,
S C S CARPET ONE,Andy Grinstead,17829 VALLEY BLVD,INDUSTRY,California,91744,(626) 913-0442,http://www.scscarpets.com,,
SACRAMENTO AREA WOOD SPECIALISTS,Dennis Alexander,4366 SHORTHORN RD,RESCUE,California,95672,(916) 879-1798,,,
"SERRA TILE & STONE, INC",John Williams,"212 LAUREL ST, STE 208",SANTA CRUZ,California,7502,(831) 460-0312,http://www.serratile.com,,
"SIGNATURE FLOORING, INC",Jeffery Grimsley,1353 E WILSHIRE AVE,SANTA ANA,California,92705,(714) 558-9200,http://www.floorsbysignature.com,,
"SILMAR FLOORING, INC",David Silva,3950 VALLEY AVE #C,PLEASANTON,California,94566,(925) 846-7600,http://www.silmarflooring.com,,
SPECTRA CONTRACT FLOORING,Jim Mitchell,17620 W VALLEY HWY,TUKWILA,Washington,98188,(425) 656-5919,http://www.spectracf.com,,
ST. FRANCIS FLOORING INC,Kerry Brown,116 CALISTOGA RD,SANTA ROSA,California,95409,(707) 539-4790,,,
STATE TILE,John Florence,3820 N 30TH AVE,PHOENIX,Arizona,85017,(602) 264-5705,,,
STU'S FLOOR SANDING,Stu Erickson,105 MIDDLE ST W,CANNON FALLS,Minnesota,55009,(507) 581-2337,http://www.stusfloorsanding.com,,
SUBURBAN FLOORCOVERINGS INC,Steve Ables,2120 BEAVER RD,LANDOVER,Maryland,20785,(301) 773-1600,http://www.suburbanfloorcoverings.com,,
SUNWEST FLOORING,Drue Kehl,6152 S STRATLER ST,MURRAY,Utah,84107,(801) 265-1701,http://www.sunwestflooring.com,,
"SUPERIOR FLOOR COVERING, INC",Karen O'Connor,PO BOX 314,POSEN,Illinois,60469,(708) 371-0515,http://www.superiorfloorcoveringinc.com,,
SUPERIOR FLOOR DESIGNS,John Antman,579 WESTLAKE ST,ENCINITAS,California,92024,(760) 436-0900,http://www.superiorfloors.com,,
SUSSEX HARDWOOD FLOORING,Phil Morrison,92 DEPEUTER CRESCENT,BRADFORD,Ontario,L3Z 3A2,(416) 409-4399,,,
TEC FLOOR COVERINGS LTD,Carol Sollenius,5600 CEDARBRIDGE WAY # 120,RICHMOND,British Columbia,V6X 2A7,(604) 273-6520,http://www.tecfloors.com,,
TILE INTERIORS,"John Wabeke, Inspector",210 N MAIN ST,COTTONWOOD,Arizona,86326,(928) 634-3951,http://www.tileinteriors.biz,,
TONY'S FLOOR SERVICE,Tony Viers,1677 HIGHWAY A,TRUXTON,Missouri,63381,(636) 597-3113,,,
UNIQUE FLOORS INC,Adrian Hulea,3222 W WARNER AVE,CHICAGO,Illinois,60618,(847) 630-8338,http://www.uniquefloorsinstallers.com,,
WALL 2 WALL,Bill Bohrer,BOX 4929,POCATELLO,Idaho,4329,(208) 232-4226,http://www.wall2wallflooring.com,,
WALLY'S CARPETS,Eugene Gleason,26007 E BASE LINE ST,SAN BERNARDINO,California,92410,(909) 862-2707,http://www.iefloors.com,,
WASATCH FRONT FLOOR COVERING,Michele Tippets,4661 S CHERRY ST,MURRAY,Utah,84123,(801) 281-6694,http://www.wffcinc.com,,
"WEBB CARPET CO, INC",Woody Griffin,2825 RAEFORD RD,FAYETTEVILLE,North Carolina,28303,(910) 485-5865,http://www.webbcarpet.net,,
WEST COAST FLOORING,Minos Spyridakis,1025 6TH AVE S,SEATTLE,Washington,98134,(206) 622-5200,http://www.wcflooring.com,,
"WEST VALLEY CARPET SERVICE, INC",Gary Baszak,1605 WATSON CT,MILPITAS,California,95035,(408) 946-2447,,,
WESTCO CARPETS & INTERIORS INC,Brad Belliston,PO BOX 1656,OREM,Utah,84059,(801) 226-8512,http://www.westcocarpets.com,,
"WISENBAKER BUILDER SVCS, INC",Joseph Chiavone,1703 WESTFIELD LOOP,HOUSTON,Texas,77073,(281) 233-4000,http://www.wisenbaker.com,,
"WORKPLACE SERVICES, INC",John Boyce,610 ALPINE WAY,ESCONDIDO,California,92029,(760) 745-6869,http://www.workplaceservices.com,,
WORLD OF CARPET ONE FLOOR & HOME,Scott Carston,3023 SANTA ROSA AVE,SANTA ROSA,California,95407,(707) 524-1450,http://www.worldofcarpetsantarosa.com,,
A & D CARPETS INC AND HARDWOODS,Becky Critell,320 S BELAIR RD,MARTINEZ,Georgia,30907,(706) 863-8879,http://www.aanddcarpets.com,,
ABBEY CARPET OF MOUNDS VIEW,Tom Link,2222 COUNTY HWY 10,MOUNDS VIEW,Minnesota,55112,(763) 398-3981,http://www.moundsview.abbeycarpet.com,,
ABBEY'S CARPET CITY AND FLOORING,Pablo Gallardo,317 CHAPALA ST,SANTA BARBARA,California,93101,(805) 966-1606,http://www.abbeysb.com,,
AMBASSADOR FLOOR COMPANY,Mike Hart,17770 CHESTERFIELD AIRPORT RD,CHESTERFIELD,Missouri,63005,(636) 728-1600,http://www.ambassadorfloor.com,,
"AMERICARPET, INC",Juan Werner,364 NE 167TH  ST,MIAMI,Florida,33162,(305) 945-2973,http://www.americarpet.cc,,
ANDERSON CARPET ONE FLOOR & HOME,Allen Anderson,PO BOX 16055,HATTIESBURG,Mississippi,6055,(601) 545-7198,http://www.andersondesigncenter.com,,
ASPIRE DESIGN INC.,Steve Shuler,2043 W LONE CACTUS DR,PHOENIX,Arizona,85027,(623) 516-2700,,,
ASSOCIATED INC,Debra Hall,580 S LUCILE ST,SEATTLE,Washington,98108,(206) 763-2536,http://www.associatedinc.net,,
BEAMS QUALITY FLOORING INC,Mark Beams,1475 ELM STREET NORTH,TWIN FALLS,Idaho,83301,(208) 734-3068,http://www.beamsflooring.com,,
BERGMANN'S COUNTRY INTERIORS LLC,Bruce Bergmann,7416 80TH ST,GLENCOE,Minnesota,5218,(320) 864-6754,http://www.bergmannsonline.com,,
BIVIANO CARPET ONE FLOOR & HOME,David Biviano,1828 N STATE ST,GIRARD,Ohio,44420,(330) 545-9968,http://www.bivianocarpetone.com,,
"BRETAG FLOOR SOURCE, LLC",Michael Bretag,"601 W CAMPUS DR, STE A-5",ARLINGTON HEIGHTS,Illinois,60004,(847) 255-7273,http://www.michaelbretag.com,,
C B L FLOORS,Frank Hanzal,1061 S ROBERT ST,WEST ST PAUL,Minnesota,55118,(651) 292-1011,http://www.cblfloors.com,,
CALIFORNIA FLOORING & DESIGN,Shawn Hedi,8266 MIRAMAR RD SUITE A,SAN DIEGO,California,92126,(858) 408-0047,http://www.cafloordesign.com,,
CARPET ISLE FLOORING AMERICA,Garret Sasaki,424 KANOELEHUA AVE,HILO,Hawaii,96720,(808) 935-0047,,,
CARPET ONE FLOOR & HOME,Brian Horner,500-A OLD DURHAM RD,ROXBORO,North Carolina,27573,(336) 599-1339,http://www.carpetoneroxboro.com,,
CARPET ONE FLOOR & HOME,John Shepard,PO BOX 16222,PANAMA CITY,Florida,32406,(850) 785-4938,http://www.CarpetOnePanamaCity.com,,
CARPET TILE & FLOORING DEPOT,Anthony Gomez,"5980 FAIRMOUNT AVE, STE 100",SAN DIEGO,California,92120,(619) 640-2899,http://www.ctfdepot.com,,
CARPETING BY MIKE INC,Michael Faust,405 LASER DR,SOMERSET,Wisconsin,54025,(715) 247-3244,http://www.carpetingbymike.com,,
CENTRAL CARPET & INTERIORS,Bill Keller,3397 DAYTON-XENIA RD,BEAVERCREEK,Ohio,45432,(937) 426-9311,http://www.centralcarpetinteriors.com,,
CHATEAU INTERIORS & DESIGN,Nancy Giangeruso,10 BUNSEN,IRVINE,California,92618,(949) 679-3100,http://www.chateauinteriorsanddesign.com,,
CITY TILE & FLOOR COVERING CO,Douglas Young,223 S SPRING ST,MURFREESBORO,Tennessee,37130,(615) 893-7721,http://www.citytile.net,,
CLASSIC DESIGN FLOOR TO CEILING,Tiffany Gomes,2303 S STOCKTON ST,LODI,California,95240,(209) 334-4060,http://www.classicdesignftc.com,,
"CONSULT INSPECT DESIGN, INC",Tony Robison,220 PINE CONE WAY,SOUTHERN PINES,North Carolina,28387,(714) 269-5777,,,
CORINTHIAN RUG & CARPET CO,Robb Pickens,2000 SE MILPORT RD,PORTLAND,Oregon,97222,(503) 786-3678,http://www.carpetmill-portland.com,,
"CUSTOM FLOOR COVERING, INC",Bill Schuldt,3809 HWY 29 S,ALEXANDRIA,Minnesota,56308,(320) 762-0292,,,
DE/MAR CO,Chuck Hawes,515 STRANDER BLVD,TUKWILA,Washington,98188,(206) 575-0345,,,
DESIGN EXPO FLOORING CENTER,Floyd Burton,15443 EXCELSIOR DR,BOWIE,Maryland,20716,(301) 262-8022,http://www.designexpoflooringcenter.com,,
DON'S CARPET ONE FLOOR & HOME,Renee LeCroy,PO BOX 560,TRUSSVILLE,Alabama,35173,(205) 655-8777,http://www.donscarpetone.com,,
DOOR COUNTY CARPET ONE,Jim Perry,6124 STATE HIGHWAY 57,STURGEON BAY,Wisconsin,54235,(920) 832-2137,http://www.doorcountycarpetone.com,,
"FASHION FLOORS, INC",Steve Siegfried,1802 VERNE ROBERTS CIR,ANTIOCH,California,94509,(925) 754-7006,,,
FLAHERTY'S FLOORING AMERICA,Patrick Flaherty,13422 GRANT RD,CYPRESS,Texas,77429,(281) 370-8022,http://www.flahertysflooringamerica.com,,
FLOOR COVERINGS OF WINONA,Alfred Quandahl,5505 HWY 61 W,WINONA,Minnesota,55987,(507) 454-7090,http://www.winonafloors.com,,
FLOOR PARTNERS IN DESIGN INC,Theril Williams,5780 AIRPORT FWY,HALTOM CITY,Texas,76117,(817) 735-8500,http://www.floorpartners.com,,
"FLOOR SHOW, INC",Mark Frost,33858 STATE ROUTE 20,OAK HARBOR,Washington,98277,(360) 675-0415,,,
FLOOR SYSTEMS INC,Roger Murphy,15 OXFORD WAY,HUNTINGTOWN,Maryland,20639,(410) 257-7380,http://www.floorsystems.net,,
FLOOR SYSTEMS INC,Bill Freck,5130 E HUNTER AVE,ANAHEIM,California,92807,(714) 970-2222,http://www.floor-systems.com,,
FLOORCRAFT,Carl Olson,231 NH RT 11,WILMOT,New Hampshire,3287,(603) 526-2600,http://www.floorcraftnh.com,,
FLOORHAUS' FLOORING AMERICA,Virgil Klaus,12105 S. MEMORIAL,BIXBY,Oklahoma,74008,(918) 369-1450,http://www.floorhausflooringamericabixby.com,,
FLOORING AMERICA OF SIOUX FALLS,Dave Serck,27107 INDEPENDENCE AVE,SIOUX FALLS,South Dakota,57108,(605) 498-8000,http://www.flooringamericaofsiouxfalls.com,,
FLOORS DEPOT TX,Richard Courchesne,5505 AIRPORT FWY,HALTOM CITY,Texas,76117,(817) 222-2274,http://www.floorsdepottx.com,,
FLOORSCAPES,Bill Burrell,8515 PASEO ALAMEDA NE,ALBUQUERQUE,New Mexico,87113,(505) 857-0438,http://www.floorscapesnm.com,,
GINA'S DESIGN CORNER,Gina Cook,ONE N BROWNE ST,SPOKANE,Washington,99201,(509) 624-2205,http://www.ginasdc.com,,
"HARFORD CARPET SALES, INC",Susan Dieter,1001 EDGEWOOD RD,EDGEWOOD,Maryland,21040,(410) 679-5580,http://www.harfordcarpet.com,,
"HOME BEAUTIFUL INC, THE",Bruce Hamel,141 DANIEL WEBSTER HWY,BELMONT,New Hampshire,3030,(603) 524-5588,http://www.home-beautiful.com,,
"HOMEOWNERS DESIGN CENTER, INC",Lori Matsushige,1030 KOHOU ST #201,HONOLULU,Hawaii,96817,(808) 847-0216,http://www.homeownersdesign.com,,
INTERIORS NORTHWEST OF PUYALLUP INC,Richard Tipton,"1106 39TH AVE SE, STE 500",PUYALLUP,Washington,98374,(253) 845-9353,http://www.interiorsnorthwest.com,,
INTERNATIONAL FLOORING,Scott Jorenson,451 N ROBERTSON BLVD,WEST HOLLYWOOD,California,90048,(310) 859-0044,,,
IRVINE PACIFIC,Bob Edmonston,550 NEWPORT CENTER DR,NEWPORT BEACH,California,7011,(949) 720-2309,,,
JERRY'S FLOOR STORE,Dawn Iversen,1550 COUNTY HIGHWAY 10,SPRING LAKE PARK,Minnesota,55432,(763) 786-7570,http://www.jerrysfloorstore.com,,
JUST CARPETS & FLOORING OUTLET,Frank Difiglia,4329 US  9,HOWELL,New Jersey,7731,(732) 905-2002,http://www.justcarpetsnj.com,,
KATHY HANSON INTERIORS,Kathy Hanson,"3055 OLD HWY 8, SUITE LL85A",ST ANTHONY,Minnesota,55418,(612) 353-4628,http://www.khansoninteriors.com,,
KPM FLOORING,Kathleen Mayers,35 MAIN ST SUITE 110,HILTON HEAD ISLAND,South Carolina,29926,(843) 342-4955,http://www.kpmflooring.com,,
LOEW'S CARPET ONE,Jeff Loew,1424 LAKE AVE,STORM LAKE,Iowa,50588,(712) 732-7328,http://www.loewscarpetone.com,,
LOVELAND DESIGN CARPET ONE,Cindy Corbett,360 S LINCOLN AVE,LOVELAND,Colorado,80537,(970) 667-3590,http://www.lovelanddesigncenter.com,,
MADDEN MCFARLAND INTERIORS,Bernie Madden,1903 W 135TH ST,LEAWOOD,Kansas,66224,(913) 681-2821,http://www.maddenmcfarland.com,,
"MADISON HARDWOOD FLOORS & SUPPLIES, INC",Sabrina Siqueira,230 WOODMONT RD 21G,MILFORD,Connecticut,6460,(203) 878-7085,,,
MC LEOD CARPET ONE,Stan Fons,42598  WOODWARD AVE,BLOOMFIELD HILLS,Michigan,48304,(248) 333-7086,,,
"MERCER CARPET ONE, INC.",Jim Farrell,26 W MAIN ST,WESTMINSTER,Maryland,21157,(410) 848-7181,http://www.mercercarpetone.com,,
MILLER TECHNICAL SERVICES,Jerry Miller,PO BOX 6414,DALTON,Georgia,30722,(706) 218-7244,,,
MIRA FLOORS,Kevin Bergstresser,9785 192 ST,SURREY,British Columbia,V4N 4C7,(604) 856-4799,http://www.mirafloors.com,,
MOUNT VERNON CARPET ONE FLOOR & HOME,Debbie Monetti,PO BOX 1166,MOUNT VERNON,Washington,1166,(360) 336-6533,http://www.mvcarpetone.com,,
N F I C,P.J. Arthur,PO BOX 4248,CANTON,Georgia,30114,(866) 445-8777,http://www.nficnet.com,,
PACIFIC COAST COMMUNITIES,Sylvia Hanson,4350 EXECUTIVE DR #305,SAN DIEGO,California,92121,(858) 259-2960,http://www.pcc-heritage.com,,
PRIMERA,TJ Wheeler,1311 W 21ST ST,TEMPE,Arizona,85282,(480) 829-0054,http://www.primerainteriors.com,,
PROSOURCE OF JACKSONVILLE,Glenn Miller,5250 SUNBEAM RD,JACKSONVILLE,Florida,32257,(904) 288-5688,http://www.prosourcefloors.com/jacksonville,,
PROSOURCE OF NASSAU,Douglas Katz,303 SUNNYSIDE BLVD,PLAINVIEW,New York,11803,(516) 576-0000,http://www.prosourcefloors.com,,
PROSOURCE OF SEATTLE,Scott Lewis,21312 30TH DR SE #B107,BOTHELL,Washington,98021,(425) 487-4343,http://www.prosourcefloors.com/seattle,,
QUALITY CARPET ONE,Shawn Bayat,10232 HARRY J PARRISH BLVD,MANASSAS,Virginia,20110,(703) 499-9777,http://www.qualitycarpetone.com,,
QUALITY CARPET ONE FLOOR & HOME,Herbert Frank,214 DITMAS AVE,BROOKLYN,New York,11218,(718) 941-4200,http://www.qualitycarpet.com,,
ROGER'S CARPET ONE,Roger Pierce,"971 TOPSY LANE, STE 322",CARSON CITY,Nevada,89705,(775) 267-2555,,,
"RUG GALLERY, THE",Sam Presnell,9350 KENWOOD RD,CINCINNATI,Ohio,45242,(513) 793-9505,http://www.ruggallerycincy.com,,
S & J BIREN FLOOR COVERINGS,Evan Biren,9563 W PICO BLVD,LOS ANGELES,California,90035,(310) 553-0971,http://www.sjbiren.com,,
