name,address,city,state,postal,owner,phone,website
Forever Vinyl,PO Box 526,Lakehurst,NJ,08733-0526,Scott Neuman,(732) 505-3646,WWW.FOREVERVINYL.COM
Fabulous Floors,509 US Highway 9 Unit 3,Lanoka Harbor,NJ,08734-2211,Don Bosco,(609) 242-7300,WWW.FABFLOORS.COM
Island Floor Covering Inc,1800 Grand Central Ave,Lavallette,NJ,08735-2514,Barney Printz,(732) 830-0707,WWW.ISLAND.FLOORINGPLUS.COM
Smart Carpet Inc,1913 Atlantic Ave Ste R4,Manasquan,NJ,08736-1029,Brendan Phillips,(800) 526-7847,WWW.SMARTCARPET.COM
ME Sabosik Associates Inc,2319 Bridge Ave,Point Pleasant Boro,NJ,08742-4311,Robert Sabosik,(732) 892-2800,WWW.SABOSIK.COM
Modern Home Floor Covering,1316 Sea Girt Ave,Sea Girt,NJ,08750-2310,Maria Watson,(732) 974-4001,WWW.MODERNHOMEFLOORS.COM
Carpet Design,792 Fischer Blvd,Toms River,NJ,08753-4667,Frank Conzola,(732) 929-1800,WWW.CARPETDESIGN.NET
Flecks Paint Spot,1620 Route 37 E,Toms River,NJ,08753-5757,Robert Fleck,(732) 929-0666,WWW.FLECKSPAINT.COM
Carpet Company,1575 Rte 37 W Ste 1,Toms River,NJ,08755-4991,Michael Brody,(732) 505-9601,WWW.MICHAELSFLOORING.COM
Abbey Carpet,219 Route 37 W Ste 1,Toms River,NJ,08755-8022,Eugene Danyo,(732) 349-4660,WWW.EASTCOASTFLOORING.NET
King Wood Floors,130 Warren Ave,Bridgewater,NJ,08807-1754,Edward Johnson,(908) 704-8404,WWW.KINGWOODFLOORS.COM
Best Value Rugs & Carpets Inc,334 Rt 22 W,Dunellen,NJ,8812,Daljit Chadha,(732) 752-3528,WWW.BVRUGSANDCARPET.COM
Flemington Tile Supply Inc,369 US Highway 22,Green Brook,NJ,08812-1708,Robert Pelligrino,(732) 356-0185,WWW.FLEMINGTONTILE.COM
Oriental Rug Weavers Outlet,213 US Highway 22,Green Brook,NJ,08812-1909,Tony Nejad,(732) 752-7875,WWW.ORIENTALRUGWEAVERS.COM
Gillespie Group Inc,124 Tices Ln Ste F,East Brunswick,NJ,08816-2000,Robert Gillespie,(732) 254-5508,WWW.THEGILLESPIEGROUP.COM
Fromkin Brothers Inc,PO Box 6678,Edison,NJ,08818-6678,Gregory Fromkin,(732) 225-5300,WWW.FROMKINBROTHERS.COM
Best Tile and Wood Inc,69 State Route 31,Flemington,NJ,08822-1657,Theodore Bench,(908) 788-1731,WWW.BESTTILEANDWOOD.COM
Rugs To Riches Inc,240 US Highway 202/31,Flemington,NJ,08822-1756,William Siegel,(908) 782-8010,WWW.RUGSTORICHES.COM
Perfection Hardwood Floors,1 Brook Rd,Kendall Park,NJ,08824-1501,Frank Kader,(732) 247-8182,WWW.PERFECTIONHARDWOODFLOORS.NET
Sure Step Inc,15 10th St,Jamesburg,NJ,08831-2339,Mike Dworkin,(732) 521-3809,WWW.SURESTEPNJ.COM
Wood Floor Store The,PO Box 690,Lebanon,NJ,08833-0690,Claude Langman,(908) 236-7117,WWW.WOOD-FLOOR-STORE.COM
Antonios Brick Oven Pizza,453 Main St,Metuchen,NJ,08840-1886,Sal Lubrano,(732) 603-0008,WWW.SLICENJ.COM
Deep Impact Carpet & Hardwood,735 E Brookside Ln,Hillsborough,NJ,08844-4858,Deric Ayuso,(908) 431-7601,WWW.DEEPIMPACTPRO.COM
National Dust Control Services,200 Blackford Ave,Middlesex,NJ,08846-2502,Allan Stock,(732) 748-8700,WWW.NDCMATS.COM
Olsen Wood Flooring,98 Beechwood Cir,Neshanic Station,NJ,8853,Robert Olson,(908) 369-8938,WWW.OLSENWOODFLOORING.COM
Highway Flooring,140 Ethel Rd W Ste R,Piscataway,NJ,08854-5951,Ruichuan Yu,(732) 287-9979,WWW.HIGHWAYFLOORING.COM
The Carpet King,PO Box 223,Piscataway,NJ,08855-0223,Linda Hanna,(732) 748-0880,WWW.CARPETKING1.COM
Aleman Carpet LLC,PO Box 1087,Perth Amboy,NJ,08862-1087,Reimando Aleman,(732) 442-7760,WWW.ALEMANCARPET.COM
Horizon Floors,201 Strykers Rd Ste 14,Phillipsburg,NJ,08865-5400,Robert Wydro,(908) 859-3311,WWW.HORIZONFLOORSLLC.COM
Vas Floors LLC,30 Thompson St,Raritan,NJ,08869-1829,Bob Vasilantone,(908) 450-7117,WWW.VASFLOORS.COM
Bench Fashion Floors Inc,31 Frelinghuysen Ave,Raritan,NJ,08869-1928,Ronald Bench,(908) 725-6466,WWW.BENCHFASHIONFLOORS.COM
Circle Floors,80 Somerset St,Somerville,NJ,08876-2806,Don Tokash,(908) 526-7744,WWW.CIRCLEFLOORS.COM
Lovn Kare Carpet Center,Victory Bridge Plz,South Amboy,NJ,8879,Henry Ward,(732) 721-1582,WWW.LOVNKARECARPET.COM
Superb Binding Service,49 Victory Plz,South Amboy,NJ,08879-1140,Joseph Fusco,(732) 525-2725,WWW.JOSEPHFUSCO.COM
Hardwood Floors Unlimited Inc,59 Merritt Ave,South Amboy,NJ,08879-1963,David Gallagher,(732) 549-1501,WWW.HARDWOODFLOORUNLIMITED.COM
Shalom Brothers Inc,284 5th Ave,New York,NY,10001-4448,Nader Shalom,(212) 695-3000,WWW.SHALOMBROTHERS.COM
Sherland & Farrington Inc,253 W 28th St Fl 2,New York,NY,10001-5914,Edith Sherland,(212) 206-7500,WWW.SHERLAND.COM
Architctural Flrg Resource Inc,135 W 27th St Fl 6,New York,NY,10001-6226,Catherine Leidersdorff,(212) 290-0200,WWW.AFRNY.COM
Megerian Rug Gallery Ltd,262 5th Ave Frnt,New York,NY,10001-6414,Harry Megerian,(212) 684-7847,WWW.MEGERIANRUGS.COM
Indoor-Outdoor Flooring Sups,139 Bowery,New York,NY,10002-4906,Ying Lau,(212) 219-8772,WWW.CARPETNBLINDS.COM
Oceanic International Inc,28 Allen St,New York,NY,10002-5310,Peter Liang,(212) 226-4848,WWW.OCEANICBANKNIGERIA.COM
A B C Design Rugs,888 Broadway Fl 4,New York,NY,10003-1258,Jerome Weinrib,(212) 473-3000,WWW.ABCHOME.COM
Resinous Flooring Systems Inc,10 Stuyvesant Oval,New York,NY,10009-2420,Steve Smith,(212) 486-3974,WWW.RFSNYC.COM
Resource New York Inc,45 W 25th St Fl 8,New York,NY,10010-2036,Ray Anderson,(212) 366-0666,WWW.I-SITE.INFO
Abbey Carpet,145 E 23rd St Frnt 2,New York,NY,10010-3763,David Stanger,(212) 685-3626,WWW.MANHATTANCARPETS.COM
Century Carpet Inc,1133 Broadway Ste 1415,New York,NY,10010-8229,David Croson,(212) 243-5052,WWW.CENTURYCARPET.NET
Chelsea Floor Cvg Acquisition,139 W 19th St,New York,NY,10011-4105,Dennis Bosco,(212) 243-0375,WWW.CHELSEAFLOORS.COM
Aronsons Floorcoverings,135 W 17th St,New York,NY,10011-5426,Carol Swedlow,(212) 243-4993,WWW.ARONSONSFLOORS.COM
Fort Street Studio Inc,578 Broadway,New York,NY,10012-3225,Brad Davis,(212) 925-5383,WWW.FORTSTREETSTUDIO.COM
Neman International Inc,36 E 31st St Ground Fl,New York,NY,10016,Said Neman,(212) 686-6262,WWW.NEMANINTL.COM
Pasargad,180 Madison Ave,New York,NY,10016-5267,Benny Isfahany,(212) 684-4477,WWW.PASARGADCARPETS.COM
Sanford Hall,200 Lexington Ave Rm 400,New York,NY,10016-6116,Andrew Goltz,(212) 684-4217,WWW.SANFORDHALL.COM
Warp & Weft,145 Madison Ave,New York,NY,10016-6717,Srinivas Mandapati,(212) 481-4949,WWW.WARPWEFT.COM
Symourgh,36 E 31st St Rm 1001,New York,NY,10016-6821,David Zadeh,(212) 686-3756,WWW.SYMOURGH.COM
Irtex,4 E 30th St Frnt,New York,NY,10016-7024,Daniel Anavian,(212) 879-1234,WWW.ANAVIANGALLERY.COM
Mastour Galleries Inc,15 E 30th St,New York,NY,10016-7031,George Mastour,(212) 685-0060,WWW.MASTOURGALLERIES.COM
Signature Fencing & Flooring,50 E 42nd St Fl 14,New York,NY,10017-5424,Arnon Rosan,(212) 953-1116,WWW.SIGNATUREBARRICADES.COM
Popular Carpet Distributors,432 W 38th St Frnt,New York,NY,10018-2800,Peter Jaquay,(212) 246-1946,WWW.POPULARCARPET.COM
Torkan Inc,245 E 72nd St Apt 4h,New York,NY,10021-4516,Torkan Maham,(212) 779-9247,WWW.TORKANUSA.COM
Darius Antiq & Decorative Rugs,981 3rd Ave,New York,NY,10022-1213,Daryosh Sakhi,(212) 644-6600,WWW.DARIUSRUGS.COM
Marvin Kagan Inc,115 E 57th St Fl 11,New York,NY,10022-2120,Marvin Kagan,(212) 535-9000,WWW.MARVINKAGAN.COM
Service Center Of New York,218 W 72nd St,New York,NY,10023-2839,Yaniv Dahari,(212) 362-4973,WWW.SERVICECENTERNY.COM
Absolute Carpet Inc,135 W 100 16th St,New York,NY,10026,Clifton Baker,(212) 222-3703,WWW.ABSOLUTECARPET.NET
Ij Peisers Sons,1891 Park Ave,New York,NY,10035-1128,Howard Estrin,(212) 348-7500,WWW.IJPEISER.COM
New York Flooring,129 E 124th St,New York,NY,10035-1934,Jerry Flynn,(212) 427-6262,WWW.NEWYORKFLOORING.COM
Elizabeth Eakins Inc,654 Madison Ave Rm 1409,New York,NY,10065-8432,Elizabeth Eakins,(212) 628-1950,WWW.ELIZABETHEAKINS.COM
Doris Leslie Blau LLC,306 E 61st St Fl 7,New York,NY,10065-8752,Nader Bolour,(212) 586-5511,WWW.DORISLESLIEBLAU.COM
Carpets Galore Inc,450 Fashion Ave Ste 1011,New York,NY,10123-1011,Luis Cardenas,(212) 736-9081,WWW.CARPETSGALORE.COM
Pacific Carpet Mills Corp,PO Box 2850,New York,NY,10163-2850,Raphieal Estava,(212) 489-1393,WWW.PAMANACARPETS.COM
Taubs Floor Covering,24 William St,Staten Island,NY,10304-2738,Genero Gianmini,(718) 727-5757,WWW.TAUBS.COM
A & S Hardwood Flooring,460 Ashland Ave,Staten Island,NY,10309-2918,Shayne Hibbard,(718) 356-1977,WWW.A-N-SHARDWOODFLOORING.COM
Classic Carpet,1228 Forest Ave,Staten Island,NY,10310-2426,Carmen Vecchio,(718) 442-5377,WWW.CLASSICCARPETMILLS.COM
Direct Carpet Inc,1764 Victory Blvd,Staten Island,NY,10314-3510,Martin Nubia,(718) 876-6934,WWW.DIRECTCARPET.COM
Artistic Floor Scraping Inc,25 Leigh Ave,Staten Island,NY,10314-7232,Robert Vuccillo,(718) 983-6341,WWW.ARTISTICFLOORSANDDESIGN.COM
New Wood Co The,382 Canal Pl,Bronx,NY,10451-5912,Peter Downs,(718) 665-5400,WWW.NEWWOODCO.COM
Esgc Corp,256 E 134th St,Bronx,NY,10454-4406,Ed Sigcha,(718) 401-7708,WWW.ESGCCORP.COM
Tri State Cabinet Distrs Inc,2925 Westchester Ave,Bronx,NY,10461-4503,Dean Flurio,(718) 823-3400,WWW.THECARPETEXPO.COM
Bronxdale Tile & Marble Corp,1681 Bronxdale Ave,Bronx,NY,10462-3329,Anthony Coscia,(718) 430-6613,WWW.BRONXNY.ZEMANTICS.COM
Oracle,3559 E Tremont Ave,Bronx,NY,10465-2017,Angelo Gozzi,(718) 794-4480,WWW.ORACLEOFTILES.COM
Abbey Carpet,3041 Webster Ave,Bronx,NY,10467-4904,Ron Aquinio,(718) 882-7800,WWW.WESTBRONX.ABBEYCARPETANDFLOOR.COM
Woodcraft Floors Incorporated,4331 Martha Ave,Bronx,NY,10470-1705,Anthony McKenna,(718) 325-0666,WWW.WOODCRAFTFLOORS.COM
Rileys Carpets,4331 Katonah Ave,Bronx,NY,10470-1813,Dennis Riley,(718) 231-7765,WWW.RILEYSCARPET.COM
Woodlawn Floor Supplies Inc,271 E 233rd St,Bronx,NY,10470-2201,Oliver Keeley,(718) 798-2600,WWW.WOODLAWNFLOORSUPPLIES.COM
Savino Bros Hrdwood Flrg Contr,633 Saw Mill River Rd,Ardsley,NY,10502-2119,Paul Savino,(914) 693-0360,WWW.SAVINOBROTHERS.COM
Caravan Connection Inc,14 Main St,Bedford Hills,NY,10507-1814,Michael Ree,(914) 666-0227,WWW.CARAVANCONNECTION.COM
R & D Flooring,1620 Route 22 Ste 4,Brewster,NY,10509-4052,Raymond Demayo,(845) 940-1101,WWW.RANDDFLOORING.COM
Briarcliff Interiors,541 N State Rd,Briarcliff Manor,NY,10510-1568,Randy Sarna,(914) 941-7390,WWW.BRIARCLIFFINTERIORS.COM
Carmel Carpet Co Inc,2 Interlocken Rd,Carmel,NY,10512-2206,Margaret Fenlon,(845) 228-1111,WWW.CARPET-STEAMER-EXPERTS.COM
J & J Wood Flooring,17 Chestnut Ridge Rd,Mahopac,NY,10541-3320,Jaime Ramirez,(845) 228-4919,WWW.JNJWOODFLOORING.COM
Main Carpet Inc,420 Railroad Way,Mamaroneck,NY,10543-2257,Juan Gutierrez,(914) 670-0028,WWW.MAINCARPET.NET
Allen Carpet,3085 E Main St,Mohegan Lake,NY,10547-1542,Ed Shahin,(914) 526-3333,WWW.ALLENCARPETFLOORING.COM
Suburban Floors,13 Columbus Ave,Mount Kisco,NY,10549-2603,Frank Carpentieri,(914) 666-6166,WWW.SUBURBANFLOORS.COM
Redi Cut Carpet,535 S Columbus Ave,Mount Vernon,NY,10550-4732,Larry Holzberg,(914) 699-9589,WWW.REDICUTCARPETS.COM
Rca Asphalt,7 Edison Ave,Mount Vernon,NY,10550-5003,Andrew Dellipaoli,(914) 699-3370,WWW.RCAASPHALT.COM
Burke Enterprises Inc,PO Box 411,Mount Vernon,NY,10552-0411,Diane Burke,(914) 665-6860,WWW.BURKEENTERPRISES.NET
Abbey Carpet,139 Croton Ave Ste 1,Ossining,NY,10562-4437,Robert Rossi,(914) 762-5068,WWW.CARPETGIANTOSSININGNY.COM
Niles Floor Covering,1881 Main St,Peekskill,NY,10566-2505,Pat Viverito,(914) 737-6780,WWW.NILESFLOOR.HDWFG.COM
Klepps Wood Flooring Corp,19 Hobby St,Pleasantville,NY,10570-2924,Marton Klepp,(914) 773-0100,WWW.KLEPPWOODFLOORING.COM
Rd Weis & Company Inc,200 William St Ste 204,Rye Brook,NY,10573-4682,Randall Weis,(914) 937-9337,WWW.RDWEIS.COM
Carpet World Of Westchester,140 Midland Ave,Port Chester,NY,10573-4900,Charles Degregoria,(914) 690-0424,WWW.CARPETWORLDOFWESTCHESTER.COM
Westchester Carpet Co Inc,785 White Plains Rd,Scarsdale,NY,10583-5010,Barry Newman,(914) 723-2070,WWW.WESTCHESTERCARPETNY.COM
Exclusively Europe,50 Lafayette Pl,Thornwood,NY,10594-1406,Antoinette Lombardo,(914) 741-2486,WWW.RUG-LADY.COM
Precision Floors,5 Davidson Dr,Thornwood,NY,10594-2203,Frank Calabro,(914) 769-7222,WWW.PRECISIONFLOORS.COM
M K Carpets,3332 Gomer St,Yorktown Heights,NY,10598-2004,Barbara Korson,(914) 245-5156,WWW.MKCARPET.COM
Absolute Flooring Of Yorktown,1735 Front St,Yorktown Heights,NY,10598-4659,Peter Fellbusch,(914) 245-0225,WWW.ABSOLUTEFLOORING.COM
Endless Knot,22 Hillside Ter Apt C,White Plains,NY,10601-1138,Mel Denati,(914) 725-5297,WWW.ENDLESSKNOTCUSHIONS.COM
Westfair Oak Floor Corp,22 Highridge Rd,White Plains,NY,10604-2009,Vito Cirioni,(914) 761-8486,WWW.WEST-FAIR.QPG.COM
Kanters Carpt Svce,99 Fulton St,White Plains,NY,10606-1229,Kenneth Kantrowitz,(914) 949-6517,WWW.KANTERSCARPET.COM
Saw Mill Carpet & Tile Corp,1964 Central Park Ave,Yonkers,NY,10710-2444,Kazem Bank,(914) 337-8880,WWW.ALLENCARPET.COM
A T Proudian Inc,736 Main St,New Rochelle,NY,10801-6836,Armen Proudian,(914) 632-4848,WWW.ATPROUDIAN.COM
Dans Carpet Company,15 Division St Ste 1,New Rochelle,NY,10801-7255,Daniel Fego,(914) 235-2995,WWW.DANSCARPETANDBLINDS.COM
Main Street Floor And Shade,73 Crescent Ave,New Rochelle,NY,10801-8410,John Sandre,(914) 633-5350,WWW.MAINSTREETFLOORS.COM
Gordon Carpet,125 Wolfs Ln,Pelham,NY,10803-1812,Barry Gordon,(914) 738-1700,WWW.GORDONCARPET.COM
Tile City,40 Industrial Ln,New Rochelle,NY,10805-1204,Jamie Soning,(914) 637-3800,WWW.TILEWORKERS.COM
Lorentz Flooring,14 Green Hedges Ln,Blauvelt,NY,10913-1214,Thomas Lorenz,(845) 365-2413,WWW.LORENTZFLOORING.COM
Olies European Flooring Inc,27 Oxford Springs Rd,Chester,NY,10918-4225,William Herndon,(845) 496-5692,WWW.OLIESEUROPEANFLOORING.COM
Carpets Plus,115 N Route 9w,Congers,NY,10920-1722,Bob Cowart,(845) 267-0800,WWW.COUNTYCARPET.COM
Discount Country,120 Rte 2021,Garnerville,NY,10923,Arthur Rastelli,(845) 364-0111,WWW.DISCOUNTCOUNTRY.COM
Peter Melnick Inc,PO Box 1289,Greenwood Lake,NY,10925-1289,Peter Melnick,(845) 477-0520,WWW.PETERMELNICK.COM
Capitol Wood Floors & Supplies,PO Box 35,Hillburn,NY,10931-0035,Sol Weiss,(845) 369-3738,WWW.PCWOODFLOORS.COM
Abbey Carpet,28 Fair Ave,Middletown,NY,10940-2414,Anthony Casabona,(845) 343-8292,WWW.MAJESTICCARPETS.COM
Broadloom City Inc,45 Dolson Ave,Middletown,NY,10940-6461,Raymond Hemstreet,(845) 343-0861,WWW.BROADLOOMCITY.COM
Ceramic Creations,62 Route 59,Monsey,NY,10952-3740,Joel Brody,(845) 371-3100,WWW.CERAMICCREATION.NET
Thor Performance Products Inc,PO Box 25,Mountainville,NY,10953-0025,Rosemary Mandell,(800) 348-5815,WWW.THORPERFORMANCEPRODUCTS.COM
Greene & Roth Floor Covering,298 Route 304,Bardonia,NY,10954-2145,Bruce Green,(845) 623-3863,WWW.GREENEANDROTH.COM
Floor Solutions & Rmdlg Work,46 S Central Ave,Nanuet,NY,10954-5903,Abel Mazariego,(845) 406-2825,WWW.FLOORSOLUTIONSNY.COM
Supreme Wood Floors Inc,27 Ohio Ave,Spring Valley,NY,10977-4247,Yehuda Lauber,(845) 362-0578,WWW.SUPREMEHARDWOOD.COM
Silken Wool Fine Cllctble Rugs,56 Main St Ste 5,Warwick,NY,10990-1373,Behrooz Ghorbanian,(845) 988-1888,WWW.SILKENWOOL.COM
Perrys Carpet Workroom,465 Franklin Ave,Franklin Square,NY,11010-1292,Scott Melynchuck,(516) 354-1777,WWW.PERRYSFLOORINGAMERICA.COM
Taubs Carpet & Tile Corp,893 Hempstead Tpke,Franklin Square,NY,11010-3627,Michael Giannini,(516) 437-5100,WWW.TAUBSCARPET.COM
Sid Hall Floors,136 Northern Blvd Ste 2,Great Neck,NY,11021-4317,Bruce Hall,(516) 487-5591,WWW.SIDHALL.COM
Halls Carpets Inc,130a S 2nd St,New Hyde Park,NY,11040,Leslie Hall,(516) 488-8268,WWW.HALLSCARPET.COM
Flooring America,390 Hillside Ave,New Hyde Park,NY,11040-2524,Mario Scarpa,(516) 352-9200,WWW.COLORAGEINC.COM
Concept Flooring Workroom Corp,50 Nassau Terminal Rd,New Hyde Park,NY,11040-4951,Eric Suris,(516) 352-8701,WWW.CONCEPTFLOORINGWORKROOM.COM
Anthonys World Of Floors Inc,49 Manorhaven Blvd,Port Washington,NY,11050-1626,Richard Garofalo,(516) 883-2159,WWW.ANTHONYSWORLDOFFLOORS.COM
Spina Floor Covering Inc,14 Vanderventer Ave,Port Washington,NY,11050-3759,Roy Spina,(212) 285-9838,WWW.SPINAFLOORCOVERING.COM
Safavieh,40 Harbor Park Dr,Port Washington,NY,11050-4602,Ahmad Yaraghi,(516) 945-1900,WWW.SAFAVIEH.COM
Pyramid Floor Covering Inc,38 Harbor Park Dr,Port Washington,NY,11050-4602,Stephen De Garay,(516) 932-7200,WWW.PYRAMIDFLOORS.COM
Versailles Furniture Corp,3128 Queens Blvd,Long Island City,NY,11101-3002,Shahriar Mehran,(718) 729-0110,WWW.CATALOGFURNITURE.COM
Pat Pellegrini Flooring Corp,4230 11th St,Long Island City,NY,11101-4902,Pat Pellegrini,(718) 961-3300,WWW.PELLEGRINIFLOORS.COM
Parma Tile Mosaic & Mbl Co Inc,2910 14th St,Long Island City,NY,11102-3842,James Vissas,(718) 278-3060,WWW.PARMATILE.COM
Claret Carpets,5014 16th Ave,Brooklyn,NY,11204-1404,Bernard Mandelbaum,(718) 686-0645,WWW.CLARET.COM
The Top Floor,5910 18th Ave,Brooklyn,NY,11204-2201,Mordechai Fishman,(718) 256-1120,WWW.ROYALFLOORING.NET
Tonys Floor Covering,998 Flushing Ave,Brooklyn,NY,11206-4718,Antonio Negron,(718) 497-3326,WWW.TONYSFLOORCOVERING.COM
Best Made Floors,158 Ross St,Brooklyn,NY,11211-7705,Pinky Ostreicher,(718) 387-3483,WWW.OSTREICHERFLOORS.COM
Better Carpet Warehouse Inc,423 Atlantic Ave Ste 1,Brooklyn,NY,11217-1748,Wayne Mcpherson,(718) 855-2794,WWW.BETTERCARPETWAREHOUSE.COM
Boro Rug & Carpet Whse Corp,1141 37th St,Brooklyn,NY,11218-1903,Joseph Stern,(718) 853-3700,WWW.BORORUG.COM
Kane Carpet,214 Ditmas Ave,Brooklyn,NY,11218-4904,Herbert Frank,(718) 941-4200,WWW.KANECARPET.COM
Sunflower Crpet Rug & Upslstri,932 Mcdonald Ave,Brooklyn,NY,11218-5612,Tom Levin,(718) 633-6400,WWW.SUNFLOWERCARPETNY.COM
Tiv Tov Flooring Whse Corp,1572 61st St,Brooklyn,NY,11219-5431,Joel Schwartz,(718) 234-5511,WWW.TIVTOVFLOORING.COM
Rubens Carpet,4911 5th Ave,Brooklyn,NY,11220-1906,Zeev Abigador,(718) 633-5274,WWW.RUBENS-CHOCOLATIER.COM
Queensboro Flooring Corp,28 Herbert St,Brooklyn,NY,11222-5011,Mark Nowakowski,(718) 349-0924,WWW.QUEENSBOROFLOORING.COM
Stillwell Flooring Inc,1780 Stillwell Ave,Brooklyn,NY,11223-1009,Theyana Musheyev,(718) 266-3812,WWW.STILLWELLFLOORING.COM
Eurotek Flooring,1912 Mcdonald Ave,Brooklyn,NY,11223-1829,Dmitry Cjervayov,(718) 339-5068,WWW.EUROTEKFLOORS.COM
Carpet Discount Center,120 Empire Blvd,Brooklyn,NY,11225-3316,Elliot Levy,(718) 462-3700,WWW.CARPETDISCOUNTCENTER.COM
Buonos Flooring Co Inc,7419 15th Ave,Brooklyn,NY,11228-2218,Louis Buono,(718) 645-6934,WWW.BUONOFLOORING.COM
Verrazano Flooring Company,217 25th St,Brooklyn,NY,11232-1337,Frank Buono,(718) 369-9663,WWW.VERRAZANOFLOORING.COM
Paramount Flooring Inc,347 37th St,Brooklyn,NY,11232-2505,Michael Zhang,(718) 788-5688,WWW.PARAMOUNT-FLOORS.COM
Five Boro Tile Corp,3864 Flatlands Ave,Brooklyn,NY,11234-3526,Stanley Halpern,(718) 421-8453,WWW.FIVEBOROTILE.COM
Mosaic Supplies Inc,2274 Flatbush Ave Fl 1,Brooklyn,NY,11234-4518,Robert Teitel,(718) 253-5800,WWW.MOSAICSUPPLIES.COM
Global Flooring Inc,4158 College Point Blvd,Flushing,NY,11355-4229,Lizhen Huang,(718) 353-5989,WWW.GLOBALFLOORINGUS.COM
Panda Bamboo Products Inc,1410 114th St,College Point,NY,11356-1440,Gary Lee,(718) 353-9511,WWW.PANDABAMBOO.COM
Carpetmax,1268 150th St Apt 4,Whitestone,NY,11357-1787,Gloria Loschiavo,(718) 746-8666,WWW.PREFERREDFLOORSOFWHITESTONE.COM
Richies Floor Refinishing,1258 Clintonville St,Whitestone,NY,11357-1841,Denise Lasak,(718) 767-2266,WWW.RICHIESFLOORSERVICEINC.COM
Amelia Furniture,8314 37th Ave,Jackson Heights,NY,11372-7373,John Mukbel,(718) 779-9494,WWW.AMELIAFURNITURE.COM
Carpet City Of Queens Inc,5405 Northern Blvd,Woodside,NY,11377-1932,Rabia Awan,(718) 545-5577,WWW.CARPETCITY.US
Gleasons Paint,6501 Roosevelt Ave,Woodside,NY,11377-2927,Demos Menakis,(718) 639-4888,WWW.WILLISPAINTS.COM
Carpetorium & Decoration,64 12 Flushing Ave,Maspeth,NY,11378,Pamela Eisenburg,(718) 416-2277,WWW.CARPETORIUM.COM
Flynn Custom Wood Floors,5453 71st St,Maspeth,NY,11378-1831,Paul Flynn,(718) 424-9040,WWW.DUFFYSFLOORSERVICES.COM
Parken,7804 74th St,Glendale,NY,11385-7428,Peter Slattery,(718) 456-9781,WWW.PARKEN.COM
Modern Floors Inc,10116 95th Ave,Jamaica,NY,11416-1703,Steve Persaud,(718) 526-5425,WWW.MODERNFLOORS.COM
First Class Carpet,11413 Jamaica Ave,Richmond Hill,NY,11418-2443,Ali Mirvemostafa,(718) 558-0678,WWW.FIRSTCLASSCARPET.COM
Daniels Carpets,11413 Jamaica Ave,Richmond Hill,NY,11418-2443,Ahmad Turkashwand,(718) 441-9101,WWW.DANIELSCARPETCLEANER.COM
Carpet Bird,11007 101st Ave,South Richmond Hill,NY,11419-1031,Ali Shafiat,(718) 849-2826,WWW.CARPET-CLEANERS.GDOCONLINE.COM
House Of Carpets,13425 Brookville Blvd,Rosedale,NY,11422-1448,Hassan Kia,(718) 527-4700,WWW.KPCARPETS.COM
Metrowood Flooring,13832 242nd St,Rosedale,NY,11422-1721,Zandra Kaufman,(718) 527-0775,WWW.METROFLOORS.COM
Jennifer Carpet Corporation,20601 Jamaica Ave,Queens Village,NY,11428-1500,Raul Vasquez,(718) 468-6262,WWW.JENNIFERCARPET.COM
Bright Carpet Workroom Ltd,21247 Jamaica Ave Ste B,Queens Village,NY,11428-1632,Alan Wolf,(718) 479-1898,WWW.BRIGHTCARPET.COM
Queen Carpet Mall,17113 Jamaica Ave,Jamaica,NY,11432-5427,Jaankie Tulsie,(718) 297-8200,WWW.QUEENSCARPETMALL.COM
Nice Carpet Inc,121 Jericho Tpke,Mineola,NY,11501-1821,Jamileh Moussavi,(516) 741-1615,WWW.NICECARPETINC.NET
International Design Guild,1 Albertson Ave Ste 2,Albertson,NY,11507-1444,Harvey Fried,(516) 484-6161,WWW.DABBIERIFLOORSDESIGNERSNORTH.COM
T L C Floor Covering,26 Nassau Blvd,Garden City,NY,11530,Gregg Genova,(516) 486-0999,WWW.BROADWAYCARPET.COM
Parsons Floor Designs Inc,665 Commercial Ave,Garden City,NY,11530-6409,Ali Ayromblou,(516) 484-2323,WWW.PARSONSFLOOR.COM
Glen Floors,30 Glen St,Glen Cove,NY,11542-2651,Carol Nelson,(516) 671-3737,WWW.GLENFLOORS.COM
Long Island Floor Supply Corp,175 Baldwin Rd,Hempstead,NY,11550-6818,Gerald Dessart,(516) 485-3232,WWW.SUBFLORUS.COM
Carpet Design-X Inc,627 Peninsula Blvd,Hempstead,NY,11550-7221,Abdul Ghani,(516) 485-7600,WWW.CARPETDESIGN.ADDRESSES.COM
Floor Covering Weekly,50 Charles Lindbergh Blvd,Uniondale,NY,11553-3626,Santiago Montero,(516) 227-1354,WWW.FLOORCOVERINGWEEKLY.COM
Locust Vly Floors & Interiors,50 Forest Ave,Locust Valley,NY,11560-1713,John Cappa,(516) 676-0760,WWW.LOCUSTVALLEY.COM
Carpet Emporium Ltd,469 Sunrise Hwy,Lynbrook,NY,11563-3017,Leslie Jeanniton,(516) 256-2800,WWW.CPTEMP.COM
Fuhrmans Carpet City,3170 Long Beach Rd Ste 1,Oceanside,NY,11572-4101,Michael Dirdaun,(516) 678-3111,WWW.FUHRMANS.ORG
