name,phone,address,city,state,postal,primary_email,owner,contacts,other_emails,website,sources
"CHICAGO STREET DECORATING","(309) 944-6854","","GENESEO","IL","","info@chicagostreetdecoratingcenter.com","kevin Paxton","","-,-","http://www.chicagostreetdecoratingcenter.com,","consolidated,johanna"
"W F COX COMPANY","(843) 756-1514","","LORIS","SC","","N/A","Steve Cox","","scox@wfcox.com,scox@wfcox.com","http://www.wfcox.com/,","consolidated,johanna"
"WEISS INTERIORS LLC","(419) 495-2833","","WILLSHIRE","OH","","ron@weissdesigngroup.com, bill512@embarqmail.com","-","","-,-","WWW.WEISS INTERIORS LLC.com,","consolidated,johanna"
"DANNYS HOUSE OF CARPET INC","(254) 968-2880","","STEPHENVILLE","TX","","DHOC@earthlink.net","Danny Karnes , Jana Karnes","","-,-","http://www.dannyshouseofcarpets.com/,","consolidated,johanna"
"JERSEYVILLE DISCOUNT CARPET","(618) 498-9858","","JERSEYVILLE","IL","","N/A","Daniel Capps","","-,-","http://www.avalonn.com/,","consolidated,johanna"
"RAYS CARPETS","(209) 577-5642","","MODESTO","CA","","N/A","Tonya Verissimo , Dave Verissimo","","tonya@rayscarpets.com, dave@rayscarpets.com,tonya@rayscarpets.com, dave@rayscarpets.com","http://www.rayscarpets.com/,","consolidated,johanna"
"Exploring Flooring","(630) 393-2020","2S.676 Rt. 59 Hwy","Warrenville","IL","","tony@exploringflooring.com","Anthony Mitchell","","tony@exploringflooring.com,tony@exploringflooring.com","www.exploringflooring.com,http://www.exploringflooring.com/,","consolidated,johanna"
"DAVES DECORATING CENTER","(217) 345-5921","","CHARLESTON","IL","","n/a","Dave Bllinger","","dave@davesdecoratingcenter.com,dave@davesdecoratingcenter.com","http://davesdecoratingcenter.com,","consolidated,johanna"
"PRESCOTT FLOORS INC.","(928) 771-9121","","PRESCOTT","AZ","","N/A","Peggy Hurst","","-,-","http://www.prescottfloors.com/,http://prescott.abbeycarpet.com/","consolidated,johanna"
"FLOOR DECOR","(319) 232-9242","","WATERLOO","IA","","carmela@floordecorct.com","Mark Frost","","markfloordecor@aol.com,markfloordecor@aol.com","http://floordecorwaterloo.com/,","consolidated,johanna"
"GRAND AVENUE FLOORING","(831) 372-0521","","PACIFIC GROVE","CA","","sara@grandaveflooring.com","Tony Gamecho","","tony@grandaveflooring.com,tony@grandaveflooring.com","http://grandaveflooring.com/,","consolidated,johanna"
"DISTINCTIVE FLOORING","(618) 684-5320","","MURPHYSBORO","IL","","N/A, distinctiveflooring@hotmail.com","Keith Stokes","","-,-","http://www.shopdistinctiveflooring.com/contacts.php,","consolidated,johanna"
"TEMPLETON FLOOR CO","(805) 434-2848","","TEMPLETON","CA","","tempfloor@hotmail.com","Mike & Susan Torgerson","","-,-","www.templetonfloorcompany.com/,","consolidated,johanna"
"FLOORING MART LLC THE","(228) 864-4111","","GULFPORT","MS","","Info@apluscarpet.com","Paul Ellis","","-,-","www.theflooringmart.com/,","consolidated,johanna"
"ZIMMERMANNS","(320) 679-4870","","MORA","MN","","info@Bizfind.us, judy@zimmermannsonline.com","Judith Zimmerman","","judy@zimmermannsonline.com,judy@zimmermannsonline.com","http://www.bizfind.us/24/255216/zimmermans/mora.aspx,","consolidated,johanna"
"GREGORY J FINE FLOORING &","(603) 886-9129","","NASHUA","NH","","info@gregoryj.com","Gregory Kyer","","-,-","http://gregoryj.flooringplus.com,","consolidated,johanna"
"PROFESSIONAL FLOOR COVERING","(920) 887-9972","","BEAVER DAM","WI","","sales@proflr.com","Randall Warmka","","-,-","http://www.proflr.com/,","consolidated,johanna"
"INNOVATIVE FLOORS & DESIGN INC","(937) 848-7200","","BELLBROOK","OH","","N/A","Candi Honaker","","-,-","www.innovativefloors.brandsource.biz,","consolidated,johanna"
"MID WISCONSIN FLOORING LLC","(715) 343-5391","","STEVENS POINT","WI","","mikefalk@midwisconsinflooring.com","Mike Faulk , Graham Godfrey","","mikefalk@midwisconsinflooring.com, graham@midwisconsinflooring.com,mikefalk@midwisconsinflooring.com, graham@midwisconsinflooring.com","www.midwisconsinflooring.com/,","consolidated,johanna"
"STRAWN CARPET ETC","(770) 222-7765","","POWDER SPRINGS","GA","","N/A","Ron Strawn","","REStrawn@bellsouth.net,REStrawn@bellsouth.net","http://strawncarpet.interx2.net/,","consolidated,johanna"
"CARPET WEAVERS - DECATUR","(217) 876-9800","","DECATUR","IL","","N/A","Dale Shawgo , Steve Scott","","dshawgo@carpetweavers.net, SSCOTT@CARPETWEAVERS.NET,dshawgo@carpetweavers.net, SSCOTT@CARPETWEAVERS.NET","http://www.carpetweaversflooring.com/,","consolidated,johanna"
"QUALITY FLOORZ AND SUPPLY","(501) 362-1775","","HEBER SPRINGS","AR","","N/A","-","","-,-","http://www.qualityfloorzsupply.com,","consolidated,johanna"
"PRIGGE'S FLOORING CENTER","(507) 732-7345","","ZUMBROTA","MN","","N/A","Bob Prigge","","-,-","http://priggesflooringcenter.interx2.net/Home/tabid/17706/Default.aspx,http://priggesflooringcenter.com/","consolidated,johanna"
"MATTRESS & CARPET PLACE","(703) 256-4007","","ALEXANDRIA","VA","","N/A","Hossein Shaghaghi","","-,-","http://mattressandcarpet.com/,","consolidated,johanna"
"SPECTRUM DESIGN SERVICE","(616) 396-2765","P.O. BOX 58","ZEELAND","MI","","N/A","David Machiela","","-,-","Not found,http://www.carpetbonanza.com/,","consolidated,johanna"
"B & W FURNITURE & FLOOR COVRNG","(660) 425-6712","1312 South 25 Street","BETHANY","MO","","staff@bandwfurniture.com","Sheila Langfitt","","-,-","http://bandwfurnitureandfloorcovering.com/,","consolidated,johanna"
"CARPETS PLUS OUTLET","(262) 883-9494","","KENOSHA","WI","","N/A","Neil & Penny Fuhr","","-,-","http://carpetsplusoutlet.com/,","consolidated,johanna"
"ABOUT ALL FLOORS","(610) 385-7847","","BIRDSBORO","PA","","theffner@aboutallfloors.com","Tom Heffner","","theffner@aboutallfloors.com,theffner@aboutallfloors.com","http://aboutallfloors.brandsource.biz/,","consolidated,johanna"
"FLOORS 4-U","(507) 684-3351","","ELLENDALE","MN","","floors4u@frontier.com","Scott Groth","","-,-","http://www.floors-4-u.net/,","consolidated,johanna"
"CORAOPOLIS FLOOR COVERING INC","(412) 269-0399","","CORAOPOLIS","PA","","N/A","William Cook","","-,-","http://www.coraopolisfloorcovering.com/ -,","consolidated,johanna"
"VIC'S CARPET STORES","(951) 278-1511","","CORONA","CA","","N/A","-","","-,-","http://www.carpetemporium4u.com/,","consolidated,johanna"
"DECOR INDUSTRIES INC","(907) 562-2565","","ANCHORAGE","AK","","decorind@gci.net","Lee Cassel , Don Cassel","","-,-","http://www.decorind.com/,","consolidated,johanna"
"KWK INC DBA THE CARPET BROKER","(480) 899-3329","","CHANDLER","AZ","","N/A","-","","-,-","http://www.thecarpetbrokerdesigncenter.com/,","consolidated,johanna"
"CARPET & DESIGN EMPORIUM LTD","(516) 256-2800","469 SUNRISE HIGHWAY","LYNBROOK","NY","","N/A, cptemps@aol.com","Leslie Torbati","","-,-","www.cptemp.com,NA,carpetanddesignemporium.com/,","consolidated,johanna"
"HARDMAN'S SPLY CO INC 10012","(304) 927-4701","","SPENCER","WV","","info@prat-usa.com","-","","-,-","http://www.prat-usa.com/store-locator.html,http://www.hardmans.com/","consolidated,johanna"
"MR CARPET'S FLOOR SHOP INC","(563) 382-8093","","DECORAH","IA","","mrcarpets@mediacombb.net","Greg Sim","","mrcarpets@alpinecom.ne,mrcarpets@alpinecom.ne","http://www.mrcarpetsfloorshop.com/,","consolidated,johanna"
"HASTY CARPET CO","(904) 824-4311","","SAINT AUGUSTINE","FL","","flooring@hastyscarpet.com","Dominic Mercurio","","-,-","http://www.hastyscarpet.com/index.htm,","consolidated,johanna"
"WILLOWBROOK INTERIORS","(517) 278-9889","","COLDWATER","MI","","feedback@mycoldwater.com","Bob Kline","","-,-","http://www.mycoldwater.com/,http://willowbinteriors.com/","consolidated,johanna"
"FLOORMART OF SAN ANTONIO","(210) 651-5222","","SELMA","TX","","N/A","-","","-,-","http://www.floormartsa.com/,","consolidated,johanna"
"L & P CARPET INC","(618) 833-8913","","ANNA","IL","","james@lpcarpet.com","Kevin Cox","","kevin@lpcarpet.com,kevin@lpcarpet.com","http://www.lpcarpet.com/,","consolidated,johanna"
"CUSTOM FLRING & ACOUSTICS INC","(217) 356-8742","315 S Neil St","CHAMPAIGN","IL","","N/A, tseten707@aol.com","Craig Gharst","","-,-","http://www.custom-flooring.net/,www.custom-flooring.net,http://www.custom-flooring.net/,","consolidated,johanna"
"WILKES FLOOR COVERING","(336) 903-8453","","WILKESBORO","NC","","info@wilkins-floorcovering.com, wilkesfloor@wilkes.net","Eric Goulds","","-,-","http://www.wilkins-floorcovering.com/,http://www.trustworthy-businesses.com/wilkes_floor_coverings","consolidated,johanna"
"WARRENS PAINT & DECORATING","(585) 671-6400","","WEBSTER","NY","","N/A","Donald Warren Sr.","","-,-","http://warrensdecorating.com/,","consolidated,johanna"
"GUYOT LUMBER","(573) 547-4524","","PERRYVILLE","MO","","N/A","-","","-,-","http://www.guyotlumber.com,","consolidated,johanna"
"DRAKES AFFORDABLE FLOORS","(562) 696-0808","","WHITTIER","CA","","N/A","Danny Drake","","-,-","http://www.drakesaffordablefloors.com/,","consolidated,johanna"
"MCKENNEY FLOOR COVERING INC","(859) 887-1012","","NICHOLASVILLE","KY","","linda@mckenneyfloorcovering.com","Joe McKenney , Ronald Wayne McKenney","","-,-","http://www.mckenneyfloorcovering.com/,","consolidated,johanna"
"CARPET STORE THE","(256) 891-2777","","ALBERTVILLE","AL","","N/A","Ken Mozley","","-,-","http://www.mosleyflooring.com/,","consolidated,johanna"
"CARPET CENTER INC","(407) 846-3726","","KISSIMMEE","FL","","Floorsdoneright@aol.com","Rene Couture","","-,-","http://www.carpetandtilecenterinc.com/,","consolidated,johanna"
"JACKSON CARPET","(731) 686-1905","","MILAN","TN","","N/A","Ed Jackson , Carol Jackson","","-,-","www.jcarpet.com,","consolidated,johanna"
"BURROUGHS FLOOR COVERING","(262) 245-6909","","WILLIAMS BAY","WI","","N/A","David Burrough","","-,-","http://www.burroughsflooring.com,","consolidated,johanna"
"MIKE'S CARPET INC","(501) 505-8022","","CONWAY","AR","","N/A, info@mikescarpetinc.com","Diane & Mike Asbury","","-,-","www.mikescarpet.com/,","consolidated,johanna"
"SLOANS FLOORCOVERING INC","(360) 575-8055","","LONGVIEW","WA","","N/A, sloansfloorcovering@hotmail.com","Joe Sloan","","-,-","http://sloansfloorcovering.brandsource.biz/,http://sloansfloorcovering.com","consolidated,johanna"
"CENTENNIAL CARPET INC","(785) 625-2054","","HAYS","KS","","N/A, centcarp@ruraltel.net","Charlie Giebler","","-,-","http://www.centennialcarpetsinc.com,","consolidated,johanna"
"DOOLITTLES CARPET & PAINTS","(507) 238-1155","","FAIRMONT","MN","","Doo_Carpet@Hotmail.com","Jack Doolittle","","doolittles1225@yahoo.com,doolittles1225@yahoo.com","http://www.doolittlescarpetpaints.com/,","consolidated,johanna"
"DRENNERS CARPET GALLERY","(979) 245-9103","5615 7th St","BAY CITY","TX","","frank@drenners.com","Frank Drenner","","frank@drenners.com,frank@drenners.com","http://www.drenners.com,Drenners.com,","consolidated,johanna"
"KINGSTON HARDWOOD FLOORING & T","(604) 852-0951","","ABBOTSFORD","CN","","info@kingstonfloors.com","Calvin Boldt","","calvin@kingstonfloors.com,calvin@kingstonfloors.com","http://www.kingstonfloors.com,","consolidated,johanna"
"CARPET STORE THE","(520) 326-1111","","TUCSON","AZ","","david@charlesvangelder.com, info@thecarpetstoreandmore.com","Larry Hochwert","","-,-","www.carpetstoredayton.com,www.thecarpetstoreandmore.com","consolidated,johanna"
"FABRIC TOWN INTERIORS INC","(304) 736-9241","","HUNTINGTON","WV","","N/A","Randy Dunfee","","-,-","http://www.fabrictowninteriors.com/,","consolidated,johanna"
"BY DESIGN FLOOR COV","(805) 376-9586","","NEWBURY PARK","CA","","decker@bydesignflooring.com, pschuyler@bydesignflooring.com","Decker Warner","","decker@bydesignflooring.com,decker@bydesignflooring.com","http://www.bydesignflooring.com/,","consolidated,johanna"
"MARC WHITE","(704) 829-6254","","BELMONT","NC","","N/A","Mark White","","-,-","http://www.mylife.com/c-151403643481,http://wholesale.brandsource.biz/","consolidated,johanna"
"CARPET SOURCE PLUS INC","(419) 697-4439","","NORTHWOOD","OH","","jack@carpetsourceplus.com","Jack Lynch","","jack@carpetsourceplus.com,jack@carpetsourceplus.com","http://carpetsourceplus.com/,","consolidated,johanna"
"DESIGNER FLOORS","(615) 646-2292","","NASHVILLE","TN","","info@designerfloorsnashville.com","Louise Frost","","louise@designerfloorsnashville.com,louise@designerfloorsnashville.com","http://www.designerfloorsnashville.com/,","consolidated,johanna"
"INDEPENDENT FLOOR COVERING","(810) 984-4196","3842 Pine Grove Ave.","FORT GRATIOT","MI","","N/A","Tom Thiele","","-,-","http://www.independentfloor.com/,www.independentfloor.com,","consolidated,johanna"
"JENSEN ENTERPRISES LLC","(860) 399-6161","1275 BOSTON POST ROAD","WESTBROOK","CT","","N/A","-","","-,-","www.westbrookent.com,Not found,","consolidated,johanna"
"HOME PLACE FLOORS","(512) 556-4007","","LAMPASAS","TX","","homeplacefloors2@sbcglobal.net","Michael Ingram , Mark Ingram","","-,-","http://homeplacefloors.com/laminate.htm,","consolidated,johanna"
"CAROLINA BUILDERS INTERIORS","(919) 828-7471","","RALEIGH","NC","","info@carolinabuilderservices.com","-","","-,-","http://carolinabuilderservices.com/,http://www.floorbiz.com/net0/CompanyWelcome.asp?CompanyID=60399","consolidated,johanna"
"NEW LOOK FLOOR COVERINGS INC","(815) 485-5665","","NEW LENOX","IL","","N/A","Joe Fare","","-,-","http://newlookfloors.net/,","consolidated,johanna"
"CARPET WEAVERS INC","(309) 834-3606","","BLOOMINGTON","IL","","N/A","-","","-,-","www.carpetweaversflooring.com,","consolidated,johanna"
"SHEPARDS FLOORS","(910) 347-2226","","JACKSONVILLE","NC","","shepards_floors@yahoo.com","Perry James Parker","","-,-","shepard.brandsource.biz/,","consolidated,johanna"
"BANOWETZ FLOORCOVERING","(563) 872-4723","","BELLEVUE","IA","","loren@banowetzfloorcovering.com","Loren Banowetz","","loren@banowetzfloorcovering.com,loren@banowetzfloorcovering.com","http://www.banowetzfloorcovering.com/,","consolidated,johanna"
"BOOHER CARPET SALES INC","(937) 254-1010","","DAYTON","OH","","N/A, booher@boohercarpet.com, dan@boohercarpet.com, chuck@boohercarpet.com","Larry Booher Jr.","","-,-","http://www.boohercarpet.com/,","consolidated,johanna"
"SCHNEIDER HOUSE FURN & FLR CVG","(815) 244-2111","","MOUNT CARROLL","IL","","N/A","Tim Schneider","","-,-","http://www.schneiderhousefurniture.com,","consolidated,johanna"
"LENCO ENTERPRISES INC","(618) 344-7060","","COLLINSVILLE","IL","","lennyscarpet@sbcglobal.net","Lenny Mccanless","","lennyscarpet@sbcglobal.net,lennyscarpet@sbcglobal.net","http://www.lennyscarpet.com/,","consolidated,johanna"
"FELLERS-SUMMER CO. INC.","(803) 432-5144","","CAMDEN","SC","","sales.service@fellers.com","Frank Fellers","","-,-","http://www.fellers.com/,","consolidated,johanna"
"MCKIM CARPET SALES","(812) 738-8305","","CORYDON","IN","","The webpage at http://mckimcarpetsales.com/ might be temporarily down or it may have moved permanently to a new web address.","Eldon McKim","","-,-","http://mckimcarpetsales.com/,","consolidated,johanna"
"Steven's World of Flooring","(413) 443-6459","5 Chesire Road","Pittsville","MA","","N/A","Wendy Murray","","-,-","http://www.stevensworldofflooring.com/,http://www.stevensworldofflooring.com/,","consolidated,johanna"
"NATIONWIDE CARPET & RUGS","(201) 226-9676","","ROCHELLE PARK","NJ","","dmc@nationwidecarpetandrugs.com, info@nationwidecarpetandrugs.com","David McMorrow","","dmc@nationwidecarpetandrugs.com,dmc@nationwidecarpetandrugs.com","http://nationwidecarpetandrugs.com,","consolidated,johanna"
"AAA FLOORING SOURCE INC","(805) 445-9811","","CAMARILLO","CA","","n/a","Danny Gingus","","d.gingus@aaaflooringsource.com,d.gingus@aaaflooringsource.com","http://www.aaaflooringsource.com/,","consolidated,johanna"
"PREMIER FLOORING INC","(615) 449-2668","","LEBANON","TN","","RWilley@myflooringsolutions.com","Rick Willey","","RWilley@myflooringsolutions.com,RWilley@myflooringsolutions.com","http://www.myflooringsolutions.com,","consolidated,johanna"
"B & C ENTERPRISES","(253) 853-5833","","GIG HARBOR","WA","","n/a","-","","-,-","http://www.bandcenterprises.com/,","consolidated,johanna"
"HOUSE 2 HOME RETAIL INC","(702) 888-6666","","HENDERSON","NV","","kristy_houtman@ipcmedia.com","-","","-,-","www.housetohome.co.uk/,http://www.house2home.com/","consolidated,johanna"
"MICHIGAN FLOORS INC","(586) 465-6980","","CLINTON TOWNSHIP","MI","","N/A","Chuck Promesso","","-,-","http://www.governmentcontractswon.com/department/defense/michigan_floors_inc_139462287.asp?yr=05,","consolidated,johanna"
"NAMPA FLOORS & INTERIORS","(208) 466-8461","","NAMPA","ID","","N/A","Roger Wilson","","roger@nampafloors.com,roger@nampafloors.com","http://www.nampafloors.com/,","consolidated,johanna"
"RIGGENBACH TILE&LINOLEUM INC","(304) 455-1221","","NEW MARTINSVILLE","WV","","N/A","Don Riggenbach","","donrigg@wvdsl.net,donrigg@wvdsl.net","http://www.riggenbachtile.com/,","consolidated,johanna"
"CARPETS GALORE INC","(262) 376-7500","","GRAFTON","WI","","N/A,  carpets@wi.rr.com","Steven Rubnitz","","-,-","http://www.carpetsgaloreandflooring.com,","consolidated,johanna"
"ACTION KITCHENS","(910) 328-4334","","SURF CITY","NC","","actionremodel@gmail.com","Hiram Williams","","-,-","http://www.actionremodel.com,","consolidated,johanna"
"J B CARPET BARN","(502) 933-8900","","LOUISVILLE","KY","","info@jbscarpetbarn.com.","Bobby J. Caffee Sr.","","-,-","http://www.jbscarpetbarn.com/,","consolidated,johanna"
"PATOMA INC DBA ENDECCA","(219) 322-7744","","SCHERERVILLE","IN","","jcreamer@potomacfloorcovering.com","-","","-,-","http://www.potomacfloorcovering.com,","consolidated,johanna"
"PORT CHESTER RUG&LINO INC","(914) 939-4388","","RYE BROOK","NY","","Portchesterrug@aol.com","John Kiyak","","-,-","http://www.pcrug.com/,","consolidated,johanna"
"Carpet Warehouse of Rutland","(802) 747-3314","164 US Route 4 East","Rutland","VT","","info@carpetwarehousevt.com","Thomas Cohen","","-,-","http://carpetwarehousevt.com,0,","consolidated,johanna"
"WESTCO SERVICES INC","(425) 747-2205","","BELLEVUE","WA","","N/A, sales@westcofloors.com","Bill Bull , William Bull Sr.","","bill@westcofloors.com, billsr@westcofloors.com,bill@westcofloors.com, billsr@westcofloors.com","http://www.westcofloors.com/,","consolidated,johanna"
"SOUTHERN CPTS OF TEXAS","(903) 832-3555","","NASH","TX","","job@postjobfree.com","Richard Barlet","","-,-","http://www.postjobfree.com/jobs/medical/dallas/texas/united-states/3,","consolidated,johanna"
"CONTRACT INTERIORS INC","(716) 773-6995","","GRAND ISLAND","NY","","n/a","David Pelosi","","disolep@yahoo.com,disolep@yahoo.com","www.contractinteriors.net/,","consolidated,johanna"
"CARPET GALLERY & FLOORS","(586) 772-1100","","WARREN","MI","","N/A","Eddie Elsayed","","-,-","http://www.carpetgalleryc1williamsburg.com/,","consolidated,johanna"
"WISCONSIN WOODWORKS INC","(608) 568-7700","","DICKEYVILLE","WI","","N/A","Dan Jansen","","-,-","http://www.wisconsinwoodworksinc.com,","consolidated,johanna"
"MERIDEN DISCOUNT FLOORING LLC","(203) 634-0464","","MERIDEN","CT","","N/A","Jayne Papoosha","","-,-","http://www.discountflooringllc.com/,","consolidated,johanna"
"DUGAN PAINTS INC","(660) 826-0142","","SEDALIA","MO","","chuck@duganpaints.com","Charles Kempton","","chuck@duganpaints.com,chuck@duganpaints.com","www.duganpaints.com,","consolidated,johanna"
"FLOORS AND MORE DESIGNS","(765) 552-3830","","ELWOOD","IN","","N/A","Theresa Clymer","","-,-","http://www.floorsandmoredesign.com/,","consolidated,johanna"
"ELITE FLOORS","(817) 295-5574","","BURLESON","TX","","N/A","Randy James","","-,-","http://www.eliteenterprises.us/,","consolidated,johanna"
"CARLSON'S CARPETS","(830) 980-3434","","SAN ANTONIO","TX","","info(@)carlsonscarpets.com","Jeff Carlson","","-,-","http://www.carlsonscarpets.com,","consolidated,johanna"
"CROWN FLOORS","(703) 817-9600","","CHANTILLY","VA","","N/A, crownfloors1@verizon.net","Willy Amin","","-,-","http://crownfloors.brandsource.biz/,http://www.crownfloors.com","consolidated,johanna"
"F & W FLOOR COVERING","(541) 673-6234","","ROSEBURG","OR","","N/A","Orlkie Van Beek","","-,-","www.fandffloorcovering.com,","consolidated,johanna"
"DEYOUNG FLR CVG & DESIGN CTR","(989) 879-4711","","PINCONNING","MI","","david@charlesvangelder.com","Jim DeYoung","","-,-","www.charlesvangelder.com,","consolidated,johanna"
"CARPET & DECORATING CENTER","(334) 298-0026","","PHENIX CITY","AL","","N/A","Jack Bnedict","","jack@carpetanddecorating.com,jack@carpetanddecorating.com","http://www.carpetanddecorating.com,","consolidated,johanna"
"HIRSHFIELD'S","(631) 728-7359","201 W. MONTAUK HWY","HAMPTON BAYS","NY","","mrh@hirshfields.com","John A Marano","","-,-","http://www.hirshfields.com/,0,www.wellflooru.net","consolidated,johanna"
"VAN HISE LLC D/B/A","(203) 882-0026","","MILFORD","CT","","N/A","Denise & Trevor Van Hise","","denise@tilebythemile.com,denise@tilebythemile.com","http://www.tilebythemile.com/,","consolidated,johanna"
"TOTALLY FLOORED","(336) 665-9229","","GREENSBORO","NC","","totallyfloor@aol.com","Alan Morris","","floorman1500@hotmail.com,floorman1500@hotmail.com","http://www.totallyflooredgreensboro.com/,","consolidated,johanna"
"MATTEO FAMILY KITCHENS INC","(856) 769-2490","","WOODSTOWN","NJ","","everett@matteokitchens.com","Everett Matteo","","everett@matteokitchens.com,everett@matteokitchens.com","http://www.matteokitchens.com/,","consolidated,johanna"
"CARPET CONSULTANTS INC","(410) 321-9771","","TOWSON","MD","","steve@carpetconsults.com, renee@carpetconsults.com","Steve Weidner","","steve@carpetconsults.com,steve@carpetconsults.com","http://www.carpetconsultantsmd.com,","consolidated,johanna"
"LEMCO CARPETS INC","(801) 262-9989","","SALT LAKE CITY","UT","","info@lemcodesign.com","Daivd Seare , Ryan Seare","","ryan@lemcodesign.com,ryan@lemcodesign.com","http://www.lemcodesign.com,","consolidated,johanna"
"ALLEYS CARPET OF GADSDEN","(256) 543-8330","","GADSDEN","AL","","taylormholland@hotmail.com","Lee Alley","","-,-","http://www.alleyscarpet.com,","consolidated,johanna"
"HAW RIVER FLOORING","(336) 578-1809","","HAW RIVER","NC","","mike@hawriverflooring.com","Mike Reavis","","mike@hawriverflooring.com,mike@hawriverflooring.com","http://www.hawriverflooring.com,","consolidated,johanna"
"FLOORING STUDIO LLC THE","(225) 647-6463","","GONZALES","LA","","lspiers@eatel.net","Michael Spriers","","Mspiers@eatel.net,Mspiers@eatel.net","http://www.theflooringstudioinc.com,","consolidated,johanna"
"CENNI AMBROSE TILE & CPT","(847) 872-5300","2770 Sheridan Rd","ZION","IL","","N/A, jambrose@wi.rr.com","Lance Cenni","","-,-","http://www.cenniambrose.com/,www.cenniambrose.com,","consolidated,johanna"
"SMULEKOFF FURNITURE CO INC","(319) 362-2181","","CEDAR RAPIDS","IA","","N/A, smulekoffs@smulekoffs.com","Dennis Kelly","","-,-","http://www.smulekoffs.com/,","consolidated,johanna"
"CHILDRESS BUILDING CENTER","(940) 937-2676","","CHILDRESS","TX","","cci.build@att.net","Charles Glen Baker","","-,-","http://www.cci-cbc.com/childressconstruction.html,","consolidated,johanna"
"FARMERS LUMBER CO INC","(785) 421-2165","","HILL CITY","KS","","N/A","Herb Janssen","","hjanssen@farmerslumber.com,hjanssen@farmerslumber.com","http://www.farmerslumber.com/,","consolidated,johanna"
"WIESER & CAWLEY INC","(740) 373-1676","","MARIETTA","OH","","wiesercawley@suddenlinkmail.com","Jane Wittekind","","-,-","http://www.wieserandcawleyfurniture.com,","consolidated,johanna"
"VALDOSTA CARPET CENTER","(229) 244-1427","","VALDOSTA","GA","","N/A","-","","-,-","www.valdostacarpetcenter.com,","consolidated,johanna"
"OLD WORLD STONE IMPORTS LLC","(801) 431-0137","","OREM","UT","","owsi_orem@hotmail.com","-","","-,-","http://www.oldworldstoneimports.com,","consolidated,johanna"
"CREATIVE CARPETS","(336) 243-2073","","LEXINGTON","NC","","N/A","Frank and Debbie Polston","","-,-","http://www.creativecarpetsdiscountsales.com/,","consolidated,johanna"
"GREEN FAMILY FLOORING","(515) 975-2414","","DES MOINES","IA","","n/a","Bob and Jeni Green","","jeni@greenfamilyflooring.com,jeni@greenfamilyflooring.com","http://www.greenfamilyflooring.com/,","consolidated,johanna"
"FLOOR GALLERY LLC THE","(256) 216-9055","","ATHENS","AL","","steve@floorgalleryathens.com","Wanda and Steve Clutts","","steve@floorgalleryathens.com,steve@floorgalleryathens.com","http://floorgalleryathens.com/index.htm,","consolidated,johanna"
"CARPET KING INC","(626) 820-0550","16438 VALLEY BLVD","LA PUENTE","CA","","tinaz@carpetkingla.com","Wayne Luu","","wluu@carpetkingla.com,wluu@carpetkingla.com","http://www.carpetkingla.com,http://www.carpetkingla.com/en/index.html,","consolidated,johanna"
"PERRY CARPET SHACK","(785) 597-5110","","PERRY","KS","","N/A","Kris and Nadine Robbins","","pcs_nadine@yahoo.com,pcs_nadine@yahoo.com","http://www.perrycarpetshack.com,","consolidated,johanna"
"GRINNELL FURNITURE STORE LLC","(785) 824-3710","","GRINNELL","KS","","uhlmannfurn@iowatelecom.net","-","","-,-","http://www.uhlmannshomefurnishings.com/,","consolidated,johanna"
"PETERSON PAINT & FLOORS","(515) 733-2031","","STORY CITY","IA","","djpetersen@petcaf.com","Gayle Petersen","","gpetersen@petcaf.com,gpetersen@petcaf.com","www.petersenscarpetandflooring.com/.,","consolidated,johanna"
"WILLIAMS CARPET G K INC","(910) 579-7592","","OCEAN ISLE BEACH","NC","","info@redhotflooringdeals.com","-","","williamscarpetgk@atmc.net,williamscarpetgk@atmc.net","http://www.redhotflooringdeals.com/index1.asp,","consolidated,johanna"
"ARMON DECORATING","(507) 526-2797","","BLUE EARTH","MN","","armondec@bevcomm.net","Matt Armon","","-,-","http://www.armondecorating.com/,","consolidated,johanna"
"HOLMAN FLOOR","(256) 234-6071","","ALEXANDER CITY","AL","","N/A","Robert Holman","","rholman@holmanfloorcompany.com,rholman@holmanfloorcompany.com","http://www.holmanfloorcompany.com,","consolidated,johanna"
"Floor Show Inc.","(208) 263-5198","880 Kooteni Cut Off Rd.","Ponderay","ID","","N/A","Chet Whitney","","-,-","http://floorshowsandpoint.com/,http://floorshowsandpoint.com/,","consolidated,johanna"
"BROUWER'S COUNTRY CARPET","(574) 267-8054","","WARSAW","IN","","brouwersfurn@yahoo.com","Brad Brouwer","","Brouwer3333@yahoo.com,Brouwer3333@yahoo.com","http://www.brouwerscarpet.com/,","consolidated,johanna"
"FLOOR CENTER","(907) 260-6646","","SOLDOTNA","AK","","N/A","-","","-,-","www.facebook.com/pages/Floor-Center/163427927015157,","consolidated,johanna"
"R N R CARPET CENTER","(801) 394-0011","","OGDEN","UT","","N/A","Randy Wilson","","-,-","http://www.rnrcarpetcenter.com,","consolidated,johanna"
"INTEGRITY CARPET INC","(504) 712-5485","","KENNER","LA","","N/A","Heysi Fuentes","","heysi@integritycarpetsales.com,heysi@integritycarpetsales.com","http://www.integritycarpetsales.com/,","consolidated,johanna"
"CHISUMS FLOOR COVERING","(805) 646-2440","","OJAI","CA","","chisumsfloorcovering@chisumsfloorcovering.com","Tim and Debbie Kresge","","-,-","http://www.chisumsfloorcovering.com/,","consolidated,johanna"
