name,phone,address,city,state,postal,primary_email,website,owner_first,owner_last,owner,sources_count,sources,source1,source2,source3,source4,source5,source6,source7,contacts_count,contact1_first,contact1_last,contact1,contact2_first,contact2_last,contact2,contact3_first,contact3_last,contact3,other_emails_count,other_email1,other_email2,other_email3
VALUE PLUS FLOORING INC,(603) 472-5221,284 ROUTE 101,BEDFORD,NH,,N/A,"http://www.goedeckepaintanddecorating.com/,",Alan,Goedecke,Alan Goedecke,4,"consolidated,johanna,masland,naics",consolidated,johanna,masland,naics,,,,0,,,,,,,,,,1,alangoedecke@comcast.net,,
WHOLESALE FLOOR COVERINGS,(703) 222-0808,13970 METROTECH DRIVE,CHANTILLY,VA,,info@sullyinteriors.com,"www.sullycarpet.com/index.html,",Farhad,Rashedi,Farhad Rashedi,4,"consolidated,johanna,masland,naics",consolidated,johanna,masland,naics,,,,0,,,,,,,,,,1,farhad@sullyinteriors.com,,
"CARPET CREATIONS/TEXTILE, INC.",(305) 573-8337,31 N.W. 23RD ST,MIAMI,FL,33127,,not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
EVALINE KARGES INTERIORS,(847) 251-1200,1107 GREENLEAF AVE,WILMETTE,IL,60091,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
KERMAN RUG & CARPET CO IN,(317) 251-0350,1025 E 54TH STREET,INDIANAPOLIS,IN,46220,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
RVC FLOOR DECOR LTD,(516) 883-2159,49 MANORHAVEN BLVD,PORT WASHINGTON,NY,11050,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
MARTIN FELD OF SOVEREIGN LTD,(914) 723-2070,785 WHITE PLAINS ROAD,SCARSDALE,NY,10583,,NOT FOUND,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
COMMERCIAL CPT OF AMERICA,(972) 242-2171,1208 S BROADWAY,CARROLLTON,TX,75006,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
REGENT FLOOR COVERING,(847) 934-4670,261 E. HELLEN ROAD,PALATINE,IL,60067,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
ESSIS & SONS,(770) 476-8306,PO BOX 358,DULUTH,GA,30096,,www.atlantaflooringdesign.com,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
GEORGE F. LANG COMPANY,(512) 462-1551,704 S. LAMAR BLVD,AUSTIN,TX,78704,,na,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
CONTRACT FURNITURE OPTIONS INC,(703) 777-7047,707 M1 EAST MARKET STREET,LEESBURG,VA,20176,,not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
PROSOURCE OF OXNARD,(952) 891-5100,6808 151ST ST. W STE 104,APPLE VALLEY,MN,55124,,not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
"CUSTOM CARPET SHOP, INC.",(239) 267-7600,7851 SUPPLY DRIVE,FT. MYERS,FL,33912,,www.customcarpetshop.com/,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
OFFICE OF SGT. OF ARMS,(201) 525-0400,104 JOHNSON AVE,HACKENSACK,NJ,7601,,NOT FOUND,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
DAVID SUMRALL,(847) 295-3737,838 N. WESTERN AVENUE,LAKE FOREST,IL,60045,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
"P. S. SOUTHWEST, INC.",(515) 243-8608,2709 INGERSOLL AVE,DES MOINES,IA,50312,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
K D M RUG INC.,(330) 492-1906,4649 BELDEN VILLAGE STREET,CANTON,OH,44718,,http://www.rameycarpetone.com/,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
CARPET GIANT OF OSSINING INC.,(732) 332-0900,252 BROADWAY,LONG BRANCH,NJ,7740,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
"CINDERELLA SHOWCASE, INC.",(914) 762-5068,139 CROTON AVENUE,OSSINING,NY,10562,,www.cinderellacarpetone.com,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
LUMBER DEALERS SUPPLY,(228) 432-2501,12273A HWY 67,BILOXI,MS,39532,,NOT FOUND,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
WELDON INC.,(337) 234-8098,508 ERASTE LANDRY DRIVE,LAFAYETTE,LA,70506,,not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
ARTEMIS INC.,(408) 356-3114,16463 LOS GATOS BLVD.,LOS GATOS,CA,95032,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
KBM COMMERCIAL FLOOR COVERINGS,(309) 923-5221,317 N. MAIN,ROANOKE,IL,61561,,not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
INTERMOUNTAIN FLOOR & DESIGN,(616) 363-3513,"5282 PLAINFIELD, NE",GRAND RAPIDS,MI,49525,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
LEAVER & COMPANY,(615) 612-7847,1248 GALLATIN PIKE S.,MADISON,TN,37115,,not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
"HIGH TECH CARPETS, INC",(207) 775-2434,277 MARGINAL WAY,PORTLAND,ME,4101,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
526874 ONTARIO LTD.,(508) 651-3500,549 WORCESTER ST,NATICK,MA,1760,,None,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
SHEA HOMES,(405) 634-4136,601 W I-240 SERVICE ROAD,OKLAHOMA CITY,OK,73139,,NOT FOUND,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
"CARPET SPECIALISTS, INC",(973) 543-8110,2 HILLTOP ROAD,MENDHAM,NJ,7945,,not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
"CASUAL ELEGANCE BY KRISTY,INC.",(843) 571-0013,P.O. BOX 31546,CHARLESTON,SC,29407,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
STEIN FINDS,(540) 774-2990,4393 ELECTRIC ROAD,ROANOKE,VA,24014,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
"PULTE HOMES, INC",(501) 835-0492,8111 HWY 107,SHERWOOD,AR,72120,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
GCW CARPET WHOLESALERS,(818) 247-2990,4524 BRAZIL ST. UNIT 8,LOS ANGELES,CA,90039,,na,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
"DESIGNERS EXPO, LLP",(781) 769-3262,80 BROADWAY,NORWOOD,MA,2062,,None,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
SOUTHERN FURNITURE & INTERIORS,(408) 379-5813,730 CAMDEN AVE,CAMPBELL,CA,95008,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
"SCHRADER HOME INTERIOR, INC.",(908) 753-0044,392 SOMERSET STREET,NO. PLAINFIELD,NJ,7060,,not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
G & N FLOORING & WALLCVRNG LLC,(651) 779-0365,3598 LINDEN AVENUE,WHITE BEAR LAKE,MN,55110,,Not found,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
ERSKINE FLOORS INC,(440) 327-2380,33806 CENTER RIDGE RD,NORTH RIDGEVILLE,OH,44039,,NOT FOUND,,,,2,"masland,naics",masland,naics,,,,,,0,,,,,,,,,,0,,,
RITE RUG CO INC,(614) 261-6060,,COLUMBUS,OH,,pr@riterug.com,"http://www.riterug.com/,",Michael,Goldberg,Michael Goldberg,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,mgoldberg@riterug.com,mgoldberg@riterug.com,
AMERICAN CARPET,(956) 421-3623,,HARLINGEN,TX,,N/A,"http://www.intercarpets.com,",Eduardo,Lara,Eduardo Lara,4,"consolidated,johanna,floorscapes,naics",consolidated,johanna,floorscapes,naics,,,,0,,,,,,,,,,2,-,-,
The King Of Carpets - Carpet One,(973) 625-3800,353 Rt 46,Rockaway,NY,,N/A,"www.carpetonerockaway.com,",,,,3,"consolidated,johanna,naics",consolidated,johanna,naics,,,,,0,,,,,,,,,,0,,,
Wilton Floor Covering,(518) 584-4146,400 Ballard Rd,Wilton,NY,,N/A,"http://www.wiltonfloorcovering.com,",,,,3,"consolidated,johanna,naics",consolidated,johanna,naics,,,,,0,,,,,,,,,,0,,,
"LERCHS FLOORING & TILE COMPANY, INC",(360) 753-6581,PO BOX 14457,TUMWATER,Washington,4457,,http://www.lerchsflooring.com,Bob,Lerch,Bob Lerch,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"LES CARPET & DRAPERY INSTALLATION, INC",(808) 935-9690,796 HINANO ST,HILO,Hawaii,96720,,,Leslie,Kumiji,Leslie Kumiji,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"LINOLEUM CITY, INC",(323) 469-0063,4849 SANTA MONICA BLVD,LOS ANGELES,California,90029,,http://www.linoleumcity.com,Frederick,Stifter,Frederick Stifter,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"LONG HUA USA, INC",(206) 438-3025,PO BOX 88153,TUKWILA,Washington,98138,,http://www.ifloor.com,Ling,Qin,Ling Qin,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
MAC CHEYNES CARPETS PLUS,(907) 479-9193,2060 PEGER RD,FAIRBANKS,Alaska,99709,,http://www.macsplus.net,John,MacCheyne,John MacCheyne,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
MARK BISESE,(540) 330-4485,1826 FRINGER TRAIL,BUCHANAN,Virginia,24066,,,Mark,Bisese,Mark Bisese,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
METRO CARPETS,(615) 228-6477,1525 ELM HILL PIKE,NASHVILLE,Tennessee,37210,,http://www.metrocarpets.com,Frank,Jones,Frank Jones,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
MICHAEL CATALDO FLOOR COVERING,(860) 306-8225,54 SKYLINE DR,EAST HAMPTON,Connecticut,6424,,,Michael,Cataldo,Michael Cataldo,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
MR SANDLESS,(908) 534-0401,5 MILL END RD,WHITEHOUSE STATION,New Jersey,8889,,http://www.mrsandless.com,Grant,Telleri,Grant Telleri,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
NAGL FLOOR COVERING,(503) 678-1258,HWY 99 E & LIBERTY,AURORA,Oregon,97002,,http://www.naglfloor.com,David,Deyoung,David Deyoung,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
NASSAU HARDWOOD FLOORING CORP,(516) 637-2412,256 NEW HYDE PARK RD,GARDEN CITY,New York,11530,,,Robert,Hoenig,Robert Hoenig,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
NEMETH FLOOR COVERING,(818) 368-8397,11159 GAYNOR AVE,GRANADA HILLS,California,91344,,,Mark,Nemeth,Mark Nemeth,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"NEW YORK COMMERCIAL FLOORING, INC",(585) 647-1200,1770 EMERSON ST,ROCHESTER,New York,14606,,http://www.nycf.net,Diane,Springer,Diane Springer,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
NORMAN CARPET ONE,(618) 993-3034,PO BOX 73,MARION,Illinois,62959,,http://www.carpetone.com,Brian,Norman,Brian Norman,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"OLSON FLOOR COVERING, INC / CARPET ONE",(715) 359-9221,PO BOX 607,WAUSAU,Wisconsin,607,,http://www.carpetone.com,Galen,Olson,Galen Olson,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
ONSITE DESIGN,(480) 966-4787,1769 W UNIVERSITY DR #177,TEMPE,Arizona,85281,,http://www.onsitedesign.com,Joelyn,Frawley,Joelyn Frawley,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
PANDO FLOORING,(813) 902-8453,6826 S MACDILL AVE,TAMPA,Florida,33611,,http://www.pandoflooring.com,John,Pando,John Pando,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
PARK AVE FLOOR SERVICES,(604) 575-0708,6209 190TH ST,SURREY,British Columbia,V3S 8S4,,,Ed,Labelle,Ed Labelle,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"PARKERS HARDWOOD, INC",(719) 244-6650,906 MAXWELL LN,COLORADO SPRINGS,Colorado,80909,,,Mike,Reissig,Mike Reissig,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
PATRIOT FLOOR COVERING,(407) 814-1777,1839 S ORANGE BLOSSOM TRAIL,APOPKA,Florida,32703,,http://www.patriotfloorcovering.com,Sean,Snovak,Sean Snovak,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
PINNELLS CARPET ONE - ANGELS CAMP,(209) 736-8077,PO BOX 808,ANGELS CAMP,California,95222,,http://www.carpetone.com,Dan,Pinnell,Dan Pinnell,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
POPP ENTERPRISES,(801) 652-1042,"3694 S 500 W, STE C",SALT LAKE CITY,Utah,84115,,,Jeff,Popp,Jeff Popp,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
PROFESSIONAL FLOORING AND DESIGN INC,(925) 671-2556,"5016 FORNI DR, STE F",CONCORD,California,94520,,http://www.professionalflooringconcord.com,Carolyn,Daniels,Carolyn Daniels,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
PROSOURCE OF BREVARD,(321) 254-1488,5095 INDUSTRY DR,MELBOURNE,Florida,32940,,http://www.prosourcefloors.com,Kim,Quinlivan,Kim Quinlivan,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
PROSOURCE OF OXNARD,(805) 983-1314,701 DEL NORTE BLVD STE 225,OXNARD,California,93030,,,Scott,Wening,Scott Wening,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
R & R FLOORS LLC,(516) 239-6822,48 ITHACA AVE,ATLANTIC BEACH,New York,11509,,,Richard,Diamond,Richard Diamond,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"RATHBUN HARDWOOD FLOORS, INC",(303) 648-9184,16640 FIREBRICK DR,PARKER,Colorado,80134,,http://www.rathbunhardwoodfloors.com,Bryan,Rathbun,Bryan Rathbun,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
RAYS CARPETS,(808) 833-7911,7316 NUULOLO ST,HONOLULU,Hawaii,96825,,,Raymond,Hirayama,Raymond Hirayama,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
RIVERSIDE INTERIORS,(253) 929-6541,PO BOX 170,PACIFIC,Washington,98047,,http://www.riversideinteriors.biz,Mike,Gallatin,Mike Gallatin,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"ROD NICHOLAS FINISHING TOUCH, INC",(425) 486-9030,18311 BOTHELL-EVERETT HWY #220,BOTHELL,Washington,5234,,http://www.ftfloors.com,Susan,Nicholas,Susan Nicholas,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
S C S CARPET ONE,(626) 913-0442,17829 VALLEY BLVD,INDUSTRY,California,91744,,http://www.scscarpets.com,Andy,Grinstead,Andy Grinstead,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
SACRAMENTO AREA WOOD SPECIALISTS,(916) 879-1798,4366 SHORTHORN RD,RESCUE,California,95672,,,Dennis,Alexander,Dennis Alexander,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"SERRA TILE & STONE, INC",(831) 460-0312,"212 LAUREL ST, STE 208",SANTA CRUZ,California,7502,,http://www.serratile.com,John,Williams,John Williams,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"SIGNATURE FLOORING, INC",(714) 558-9200,1353 E WILSHIRE AVE,SANTA ANA,California,92705,,http://www.floorsbysignature.com,Jeffery,Grimsley,Jeffery Grimsley,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
SPECTRA CONTRACT FLOORING,(425) 656-5919,17620 W VALLEY HWY,TUKWILA,Washington,98188,,http://www.spectracf.com,Jim,Mitchell,Jim Mitchell,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
ST. FRANCIS FLOORING INC,(707) 539-4790,116 CALISTOGA RD,SANTA ROSA,California,95409,,,Kerry,Brown,Kerry Brown,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
STATE TILE,(602) 264-5705,3820 N 30TH AVE,PHOENIX,Arizona,85017,,,John,Florence,John Florence,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
STUS FLOOR SANDING,(507) 581-2337,105 MIDDLE ST W,CANNON FALLS,Minnesota,55009,,http://www.stusfloorsanding.com,Stu,Erickson,Stu Erickson,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
SUBURBAN FLOORCOVERINGS INC,(301) 773-1600,2120 BEAVER RD,LANDOVER,Maryland,20785,,http://www.suburbanfloorcoverings.com,Steve,Ables,Steve Ables,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
SUSSEX HARDWOOD FLOORING,(416) 409-4399,92 DEPEUTER CRESCENT,BRADFORD,Ontario,L3Z 3A2,,,Phil,Morrison,Phil Morrison,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
TEC FLOOR COVERINGS LTD,(604) 273-6520,5600 CEDARBRIDGE WAY # 120,RICHMOND,British Columbia,V6X 2A7,,http://www.tecfloors.com,Carol,Sollenius,Carol Sollenius,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
TILE INTERIORS,(928) 634-3951,210 N MAIN ST,COTTONWOOD,Arizona,86326,,http://www.tileinteriors.biz,John,"Wabeke, Inspector","John Wabeke, Inspector",1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
TONYS FLOOR SERVICE,(636) 597-3113,1677 HIGHWAY A,TRUXTON,Missouri,63381,,,Tony,Viers,Tony Viers,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
UNIQUE FLOORS INC,(847) 630-8338,3222 W WARNER AVE,CHICAGO,Illinois,60618,,http://www.uniquefloorsinstallers.com,Adrian,Hulea,Adrian Hulea,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
WALLYS CARPETS,(909) 862-2707,26007 E BASE LINE ST,SAN BERNARDINO,California,92410,,http://www.iefloors.com,Eugene,Gleason,Eugene Gleason,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"WEST VALLEY CARPET SERVICE, INC",(408) 946-2447,1605 WATSON CT,MILPITAS,California,95035,,,Gary,Baszak,Gary Baszak,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"WISENBAKER BUILDER SVCS, INC",(281) 233-4000,1703 WESTFIELD LOOP,HOUSTON,Texas,77073,,http://www.wisenbaker.com,Joseph,Chiavone,Joseph Chiavone,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"WORKPLACE SERVICES, INC",(760) 745-6869,610 ALPINE WAY,ESCONDIDO,California,92029,,http://www.workplaceservices.com,John,Boyce,John Boyce,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
WORLD OF CARPET ONE FLOOR & HOME,(707) 524-1450,3023 SANTA ROSA AVE,SANTA ROSA,California,95407,,http://www.worldofcarpetsantarosa.com,Scott,Carston,Scott Carston,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
ASPIRE DESIGN INC.,(623) 516-2700,2043 W LONE CACTUS DR,PHOENIX,Arizona,85027,,,Steve,Shuler,Steve Shuler,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
BEAMS QUALITY FLOORING INC,(208) 734-3068,1475 ELM STREET NORTH,TWIN FALLS,Idaho,83301,,http://www.beamsflooring.com,Mark,Beams,Mark Beams,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
BERGMANNS COUNTRY INTERIORS LLC,(320) 864-6754,7416 80TH ST,GLENCOE,Minnesota,5218,,http://www.bergmannsonline.com,Bruce,Bergmann,Bruce Bergmann,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
BIVIANO CARPET ONE FLOOR & HOME,(330) 545-9968,1828 N STATE ST,GIRARD,Ohio,44420,,http://www.bivianocarpetone.com,David,Biviano,David Biviano,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
CALIFORNIA FLOORING & DESIGN,(858) 408-0047,8266 MIRAMAR RD SUITE A,SAN DIEGO,California,92126,,http://www.cafloordesign.com,Shawn,Hedi,Shawn Hedi,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
CARPET ONE FLOOR & HOME,(336) 599-1339,500-A OLD DURHAM RD,ROXBORO,North Carolina,27573,,http://www.carpetoneroxboro.com,Brian,Horner,Brian Horner,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
CARPET ONE FLOOR & HOME,(850) 785-4938,PO BOX 16222,PANAMA CITY,Florida,32406,,http://www.CarpetOnePanamaCity.com,John,Shepard,John Shepard,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
CARPET TILE & FLOORING DEPOT,(619) 640-2899,"5980 FAIRMOUNT AVE, STE 100",SAN DIEGO,California,92120,,http://www.ctfdepot.com,Anthony,Gomez,Anthony Gomez,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
CENTRAL CARPET & INTERIORS,(937) 426-9311,3397 DAYTON-XENIA RD,BEAVERCREEK,Ohio,45432,,http://www.centralcarpetinteriors.com,Bill,Keller,Bill Keller,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
CHATEAU INTERIORS & DESIGN,(949) 679-3100,10 BUNSEN,IRVINE,California,92618,,http://www.chateauinteriorsanddesign.com,Nancy,Giangeruso,Nancy Giangeruso,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"CONSULT INSPECT DESIGN, INC",(714) 269-5777,220 PINE CONE WAY,SOUTHERN PINES,North Carolina,28387,,,Tony,Robison,Tony Robison,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
CORINTHIAN RUG & CARPET CO,(503) 786-3678,2000 SE MILPORT RD,PORTLAND,Oregon,97222,,http://www.carpetmill-portland.com,Robb,Pickens,Robb Pickens,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"CUSTOM FLOOR COVERING, INC",(320) 762-0292,3809 HWY 29 S,ALEXANDRIA,Minnesota,56308,,,Bill,Schuldt,Bill Schuldt,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
DE/MAR CO,(206) 575-0345,515 STRANDER BLVD,TUKWILA,Washington,98188,,,Chuck,Hawes,Chuck Hawes,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
DOOR COUNTY CARPET ONE,(920) 832-2137,6124 STATE HIGHWAY 57,STURGEON BAY,Wisconsin,54235,,http://www.doorcountycarpetone.com,Jim,Perry,Jim Perry,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"FASHION FLOORS, INC",(925) 754-7006,1802 VERNE ROBERTS CIR,ANTIOCH,California,94509,,,Steve,Siegfried,Steve Siegfried,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
FLOOR COVERINGS OF WINONA,(507) 454-7090,5505 HWY 61 W,WINONA,Minnesota,55987,,http://www.winonafloors.com,Alfred,Quandahl,Alfred Quandahl,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"FLOOR SHOW, INC",(360) 675-0415,33858 STATE ROUTE 20,OAK HARBOR,Washington,98277,,,Mark,Frost,Mark Frost,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
FLOOR SYSTEMS INC,(714) 970-2222,5130 E HUNTER AVE,ANAHEIM,California,92807,,http://www.floor-systems.com,Bill,Freck,Bill Freck,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
FLOORCRAFT,(603) 526-2600,231 NH RT 11,WILMOT,New Hampshire,3287,,http://www.floorcraftnh.com,Carl,Olson,Carl Olson,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
FLOORING AMERICA OF SIOUX FALLS,(605) 498-8000,27107 INDEPENDENCE AVE,SIOUX FALLS,South Dakota,57108,,http://www.flooringamericaofsiouxfalls.com,Dave,Serck,Dave Serck,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
FLOORS DEPOT TX,(817) 222-2274,5505 AIRPORT FWY,HALTOM CITY,Texas,76117,,http://www.floorsdepottx.com,Richard,Courchesne,Richard Courchesne,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
GINAS DESIGN CORNER,(509) 624-2205,ONE N BROWNE ST,SPOKANE,Washington,99201,,http://www.ginasdc.com,Gina,Cook,Gina Cook,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"HARFORD CARPET SALES, INC",(410) 679-5580,1001 EDGEWOOD RD,EDGEWOOD,Maryland,21040,,http://www.harfordcarpet.com,Susan,Dieter,Susan Dieter,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"HOMEOWNERS DESIGN CENTER, INC",(808) 847-0216,1030 KOHOU ST #201,HONOLULU,Hawaii,96817,,http://www.homeownersdesign.com,Lori,Matsushige,Lori Matsushige,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
IRVINE PACIFIC,(949) 720-2309,550 NEWPORT CENTER DR,NEWPORT BEACH,California,7011,,,Bob,Edmonston,Bob Edmonston,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
JERRYS FLOOR STORE,(763) 786-7570,1550 COUNTY HIGHWAY 10,SPRING LAKE PARK,Minnesota,55432,,http://www.jerrysfloorstore.com,Dawn,Iversen,Dawn Iversen,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
KATHY HANSON INTERIORS,(612) 353-4628,"3055 OLD HWY 8, SUITE LL85A",ST ANTHONY,Minnesota,55418,,http://www.khansoninteriors.com,Kathy,Hanson,Kathy Hanson,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
LOEWS CARPET ONE,(712) 732-7328,1424 LAKE AVE,STORM LAKE,Iowa,50588,,http://www.loewscarpetone.com,Jeff,Loew,Jeff Loew,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
"MADISON HARDWOOD FLOORS & SUPPLIES, INC",(203) 878-7085,230 WOODMONT RD 21G,MILFORD,Connecticut,6460,,,Sabrina,Siqueira,Sabrina Siqueira,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
MILLER TECHNICAL SERVICES,(706) 218-7244,PO BOX 6414,DALTON,Georgia,30722,,,Jerry,Miller,Jerry Miller,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
MIRA FLOORS,(604) 856-4799,9785 192 ST,SURREY,British Columbia,V4N 4C7,,http://www.mirafloors.com,Kevin,Bergstresser,Kevin Bergstresser,1,wfca,wfca,,,,,,,0,,,,,,,,,,0,,,
